날짜,지점,강수량(mm)
20190101,동두천,0.0
20190102,동두천,0.0
20190103,동두천,0.0
20190104,동두천,0.0
20190105,동두천,0.0
20190106,동두천,0.0
20190107,동두천,0.0
20190108,동두천,0.0
20190109,동두천,0.0
20190110,동두천,0.0
20190111,동두천,0.0
20190112,동두천,0.0
20190113,동두천,0.0
20190114,동두천,0.0
20190115,동두천,0.0
20190116,동두천,0.0
20190117,동두천,0.0
20190118,동두천,0.0
20190119,동두천,0.0
20190120,동두천,0.0
20190121,동두천,0.0
20190122,동두천,0.0
20190123,동두천,0.0
20190124,동두천,0.0
20190125,동두천,0.0
20190126,동두천,0.0
20190127,동두천,0.0
20190128,동두천,0.4
20190129,동두천,0.0
20190130,동두천,0.0
20190131,동두천,0.0
20190201,동두천,0.0
20190202,동두천,0.0
20190203,동두천,17.9
20190204,동두천,0.0
20190205,동두천,0.0
20190206,동두천,0.0
20190207,동두천,0.6
20190208,동두천,0.0
20190209,동두천,0.0
20190210,동두천,0.0
20190211,동두천,0.0
20190212,동두천,0.0
20190213,동두천,0.0
20190214,동두천,0.0
20190215,동두천,4.4
20190216,동두천,0.0
20190217,동두천,0.0
20190218,동두천,0.0
20190219,동두천,3.8
20190220,동두천,0.0
20190221,동두천,0.0
20190222,동두천,0.0
20190223,동두천,0.0
20190224,동두천,0.0
20190225,동두천,0.0
20190226,동두천,0.0
20190227,동두천,0.0
20190228,동두천,0.0
20190301,동두천,0.0
20190302,동두천,0.0
20190303,동두천,0.0
20190304,동두천,0.0
20190305,동두천,0.0
20190306,동두천,0.0
20190307,동두천,0.0
20190308,동두천,0.0
20190309,동두천,0.0
20190310,동두천,0.0
20190311,동두천,0.0
20190312,동두천,0.8
20190313,동두천,0.2
20190314,동두천,0.0
20190315,동두천,10.4
20190316,동두천,0.0
20190317,동두천,0.0
20190318,동두천,0.0
20190319,동두천,0.0
20190320,동두천,12.6
20190321,동두천,5.1
20190322,동두천,0.0
20190323,동두천,0.6
20190324,동두천,0.0
20190325,동두천,0.0
20190326,동두천,0.0
20190327,동두천,0.0
20190328,동두천,0.0
20190329,동두천,0.0
20190330,동두천,2.8
20190331,동두천,0.0
