날짜,지점,강수량(mm)
20190101,수원,0.0
20190102,수원,0.0
20190103,수원,0.0
20190104,수원,0.0
20190105,수원,0.0
20190106,수원,0.0
20190107,수원,0.0
20190108,수원,0.0
20190109,수원,0.0
20190110,수원,0.0
20190111,수원,0.0
20190112,수원,0.0
20190113,수원,0.0
20190114,수원,0.0
20190115,수원,0.0
20190116,수원,0.0
20190117,수원,0.1
20190118,수원,0.0
20190119,수원,0.0
20190120,수원,0.0
20190121,수원,0.0
20190122,수원,0.0
20190123,수원,0.0
20190124,수원,0.0
20190125,수원,0.0
20190126,수원,0.0
20190127,수원,0.0
20190128,수원,0.4
20190129,수원,0.0
20190130,수원,0.0
20190131,수원,0.0
20190201,수원,0.0
20190202,수원,0.0
20190203,수원,22.7
20190204,수원,0.0
20190205,수원,0.0
20190206,수원,0.0
20190207,수원,0.0
20190208,수원,0.0
20190209,수원,0.0
20190210,수원,0.0
20190211,수원,0.0
20190212,수원,0.0
20190213,수원,0.0
20190214,수원,0.0
20190215,수원,2.6
20190216,수원,0.1
20190217,수원,0.0
20190218,수원,0.0
20190219,수원,8.0
20190220,수원,0.0
20190221,수원,0.0
20190222,수원,0.0
20190223,수원,0.0
20190224,수원,0.0
20190225,수원,0.0
20190226,수원,0.0
20190227,수원,0.0
20190228,수원,0.0
20190301,수원,0.0
20190302,수원,0.0
20190303,수원,0.0
20190304,수원,0.0
20190305,수원,0.0
20190306,수원,0.0
20190307,수원,0.0
20190308,수원,0.0
20190309,수원,0.0
20190310,수원,0.0
20190311,수원,2.7
20190312,수원,0.0
20190313,수원,0.0
20190314,수원,0.0
20190315,수원,2.0
20190316,수원,0.0
20190317,수원,0.0
20190318,수원,0.0
20190319,수원,0.0
20190320,수원,23.6
20190321,수원,4.6
20190322,수원,0.0
20190323,수원,1.5
20190324,수원,0.0
20190325,수원,0.0
20190326,수원,0.0
20190327,수원,0.0
20190328,수원,0.0
20190329,수원,0.0
20190330,수원,4.7
20190331,수원,0.5
20190401,수원,0.0
20190402,수원,0.0
20190403,수원,0.0
20190404,수원,0.0
20190405,수원,0.0
20190406,수원,0.0
20190407,수원,0.0
20190408,수원,0.0
20190409,수원,18.1
20190410,수원,2.8
20190411,수원,0.0
20190412,수원,0.0
20190413,수원,0.0
20190414,수원,0.6
20190415,수원,0.0
20190416,수원,0.0
20190417,수원,0.0
20190418,수원,0.0
20190419,수원,0.0
20190420,수원,0.1
20190421,수원,0.8
20190422,수원,0.0
20190423,수원,0.0
20190424,수원,12.9
20190425,수원,5.8
20190426,수원,1.9
20190427,수원,0.0
20190428,수원,0.0
20190429,수원,0.6
20190430,수원,0.0
20190501,수원,0.0
20190502,수원,0.0
20190503,수원,0.0
20190504,수원,0.0
20190505,수원,0.0
20190506,수원,0.0
20190507,수원,0.0
20190508,수원,0.0
20190509,수원,0.0
20190510,수원,0.0
20190511,수원,0.0
20190512,수원,0.0
20190513,수원,0.0
20190514,수원,0.0
20190515,수원,0.0
20190516,수원,0.0
20190517,수원,0.0
20190518,수원,0.0
20190519,수원,16.5
20190520,수원,2.2
20190521,수원,0.0
20190522,수원,0.0
20190523,수원,0.0
20190524,수원,0.0
20190525,수원,0.0
20190526,수원,0.0
20190527,수원,8.0
20190528,수원,0.0
20190529,수원,0.0
20190530,수원,0.0
20190531,수원,0.0
20190601,수원,0.0
20190602,수원,0.0
20190603,수원,0.0
20190604,수원,0.0
20190605,수원,0.0
20190606,수원,10.7
20190607,수원,38.7
20190608,수원,0.0
20190609,수원,1.2
20190610,수원,10.1
20190611,수원,0.0
20190612,수원,0.0
20190613,수원,0.0
20190614,수원,0.0
20190615,수원,0.3
20190616,수원,0.0
20190617,수원,0.2
20190618,수원,2.2
20190619,수원,0.5
20190620,수원,0.0
20190621,수원,0.0
20190622,수원,0.0
20190623,수원,0.0
20190624,수원,0.0
20190625,수원,0.0
20190626,수원,0.2
20190627,수원,0.1
20190628,수원,0.7
20190629,수원,3.9
20190630,수원,0.0
20190701,수원,0.0
20190702,수원,0.0
20190703,수원,0.0
20190704,수원,0.0
20190705,수원,0.0
20190706,수원,0.0
20190707,수원,0.0
20190708,수원,0.0
20190709,수원,0.0
20190710,수원,12.1
20190711,수원,0.1
20190712,수원,0.0
20190713,수원,2.3
20190714,수원,0.0
