날짜,지점,강수량(mm)
20190101,양평,0.0
20190102,양평,0.0
20190103,양평,0.0
20190104,양평,0.0
20190105,양평,0.0
20190106,양평,0.0
20190107,양평,0.0
20190108,양평,0.0
20190109,양평,0.0
20190110,양평,0.0
20190111,양평,0.0
20190112,양평,0.0
20190113,양평,0.0
20190114,양평,0.0
20190115,양평,0.0
20190116,양평,0.0
20190117,양평,0.0
20190118,양평,0.0
20190119,양평,0.0
20190120,양평,0.0
20190121,양평,0.0
20190122,양평,0.0
20190123,양평,0.0
20190124,양평,0.0
20190125,양평,0.0
20190126,양평,0.0
20190127,양평,0.0
20190128,양평,0.4
20190129,양평,0.0
20190130,양평,0.0
20190131,양평,0.0
20190201,양평,0.0
20190202,양평,0.0
20190203,양평,22.0
20190204,양평,0.0
20190205,양평,0.0
20190206,양평,0.0
20190207,양평,0.4
20190208,양평,0.0
20190209,양평,0.0
20190210,양평,0.0
20190211,양평,0.0
20190212,양평,0.0
20190213,양평,0.0
20190214,양평,0.0
20190215,양평,0.4
20190216,양평,0.0
20190217,양평,0.0
20190218,양평,0.0
20190219,양평,5.5
20190220,양평,0.0
20190221,양평,0.0
20190222,양평,0.0
20190223,양평,0.0
20190224,양평,0.0
20190225,양평,0.0
20190226,양평,0.0
20190227,양평,0.0
20190228,양평,0.0
20190301,양평,0.0
20190302,양평,0.0
20190303,양평,0.0
20190304,양평,0.0
20190305,양평,0.0
20190306,양평,0.0
20190307,양평,0.0
20190308,양평,0.0
20190309,양평,0.0
20190310,양평,0.0
20190311,양평,0.0
20190312,양평,1.0
20190313,양평,0.0
20190314,양평,0.0
20190315,양평,4.0
20190316,양평,0.0
20190317,양평,0.0
20190318,양평,0.0
20190319,양평,0.0
20190320,양평,18.0
20190321,양평,4.5
20190322,양평,0.0
20190323,양평,4.5
20190324,양평,0.0
20190325,양평,0.0
20190326,양평,0.0
20190327,양평,0.0
20190328,양평,0.0
20190329,양평,0.0
20190330,양평,4.0
20190331,양평,1.0
20190401,양평,0.0
20190402,양평,0.0
20190403,양평,0.0
20190404,양평,0.0
20190405,양평,0.0
20190406,양평,0.3
20190407,양평,0.0
20190408,양평,0.0
20190409,양평,23.5
20190410,양평,4.5
20190411,양평,0.0
20190412,양평,0.0
20190413,양평,0.0
20190414,양평,1.5
20190415,양평,0.0
20190416,양평,0.0
20190417,양평,0.0
20190418,양평,0.0
20190419,양평,0.0
20190420,양평,0.0
20190421,양평,0.1
20190422,양평,0.0
20190423,양평,0.0
20190424,양평,8.0
20190425,양평,10.0
20190426,양평,8.0
20190427,양평,0.0
20190428,양평,0.1
20190429,양평,0.0
20190430,양평,0.0
20190501,양평,0.0
20190502,양평,0.0
20190503,양평,0.0
20190504,양평,0.0
20190505,양평,0.0
20190506,양평,0.0
20190507,양평,0.0
20190508,양평,0.0
20190509,양평,0.0
20190510,양평,0.0
20190511,양평,0.0
20190512,양평,0.0
20190513,양평,0.0
20190514,양평,0.0
20190515,양평,0.0
20190516,양평,0.0
20190517,양평,0.0
20190518,양평,0.0
20190519,양평,11.5
20190520,양평,2.0
20190521,양평,0.0
20190522,양평,0.0
20190523,양평,0.0
20190524,양평,0.0
20190525,양평,0.0
20190526,양평,0.0
20190527,양평,12.0
20190528,양평,0.0
20190529,양평,0.0
20190530,양평,0.0
20190531,양평,0.0
20190601,양평,0.0
20190602,양평,0.0
20190603,양평,0.0
20190604,양평,0.0
20190605,양평,0.0
20190606,양평,14.5
20190607,양평,31.0
20190608,양평,0.0
20190609,양평,4.0
20190610,양평,2.5
20190611,양평,0.0
20190612,양평,0.0
20190613,양평,0.0
20190614,양평,0.0
20190615,양평,0.1
20190616,양평,0.0
20190617,양평,0.0
20190618,양평,6.5
20190619,양평,1.0
20190620,양평,0.0
20190621,양평,0.0
20190622,양평,0.0
20190623,양평,0.0
20190624,양평,0.0
20190625,양평,0.0
20190626,양평,0.0
20190627,양평,1.0
20190628,양평,0.0
20190629,양평,1.0
20190630,양평,0.0
20190701,양평,0.0
20190702,양평,0.0
20190703,양평,0.0
20190704,양평,0.0
20190705,양평,1.0
20190706,양평,0.0
20190707,양평,0.0
20190708,양평,0.0
20190709,양평,0.0
20190710,양평,10.5
20190711,양평,1.5
20190712,양평,0.0
20190713,양평,0.0
20190714,양평,21.5
20190715,양평,4.0
