날짜,지점,강수량(mm)
20190101,이천,0.0
20190102,이천,0.0
20190103,이천,0.0
20190104,이천,0.0
20190105,이천,0.0
20190106,이천,0.0
20190107,이천,0.0
20190108,이천,0.0
20190109,이천,0.0
20190110,이천,0.0
20190111,이천,0.0
20190112,이천,0.0
20190113,이천,0.0
20190114,이천,0.0
20190115,이천,0.0
20190116,이천,0.2
20190117,이천,0.3
20190118,이천,0.0
20190119,이천,0.0
20190120,이천,0.0
20190121,이천,0.0
20190122,이천,0.0
20190123,이천,0.0
20190124,이천,0.0
20190125,이천,0.0
20190126,이천,0.0
20190127,이천,0.0
20190128,이천,0.8
20190129,이천,0.0
20190130,이천,0.0
20190131,이천,0.0
20190201,이천,0.0
20190202,이천,0.0
20190203,이천,23.1
20190204,이천,0.0
20190205,이천,0.0
20190206,이천,0.0
20190207,이천,0.0
20190208,이천,0.0
20190209,이천,0.0
20190210,이천,0.0
20190211,이천,0.0
20190212,이천,0.0
20190213,이천,0.0
20190214,이천,0.0
20190215,이천,1.0
20190216,이천,0.1
20190217,이천,0.0
20190218,이천,0.0
20190219,이천,9.9
20190220,이천,0.0
20190221,이천,0.0
20190222,이천,0.0
20190223,이천,0.0
20190224,이천,0.0
20190225,이천,0.0
20190226,이천,0.0
20190227,이천,0.0
20190228,이천,0.0
20190301,이천,0.0
20190302,이천,0.0
20190303,이천,0.0
20190304,이천,0.0
20190305,이천,0.0
20190306,이천,0.0
20190307,이천,0.1
20190308,이천,0.0
20190309,이천,0.0
20190310,이천,0.0
20190311,이천,0.1
20190312,이천,0.3
20190313,이천,0.1
20190314,이천,0.0
20190315,이천,5.5
20190316,이천,0.0
20190317,이천,0.0
20190318,이천,0.0
20190319,이천,0.0
20190320,이천,20.6
20190321,이천,4.0
20190322,이천,0.0
20190323,이천,3.3
20190324,이천,0.0
20190325,이천,0.0
20190326,이천,0.0
20190327,이천,0.0
20190328,이천,0.0
20190329,이천,0.0
20190330,이천,6.2
20190331,이천,0.0
20190401,이천,0.0
20190402,이천,0.0
20190403,이천,0.0
20190404,이천,0.0
20190405,이천,0.0
20190406,이천,0.2
20190407,이천,0.0
20190408,이천,0.0
20190409,이천,22.3
20190410,이천,3.1
20190411,이천,0.0
20190412,이천,0.0
20190413,이천,0.0
20190414,이천,0.8
20190415,이천,0.0
20190416,이천,0.0
20190417,이천,0.0
20190418,이천,0.0
20190419,이천,0.0
20190420,이천,0.0
20190421,이천,0.3
20190422,이천,0.0
20190423,이천,0.0
20190424,이천,5.9
20190425,이천,11.6
20190426,이천,3.8
20190427,이천,0.0
20190428,이천,0.2
20190429,이천,0.6
20190430,이천,0.0
20190501,이천,0.0
20190502,이천,0.0
20190503,이천,0.0
20190504,이천,0.0
20190505,이천,0.0
20190506,이천,0.0
20190507,이천,0.0
20190508,이천,0.0
20190509,이천,0.0
20190510,이천,0.0
20190511,이천,0.0
20190512,이천,0.0
20190513,이천,0.0
20190514,이천,0.0
20190515,이천,0.0
20190516,이천,0.0
20190517,이천,0.0
20190518,이천,0.0
20190519,이천,8.0
20190520,이천,3.1
20190521,이천,0.0
20190522,이천,0.0
20190523,이천,0.0
20190524,이천,0.0
20190525,이천,0.0
20190526,이천,0.0
20190527,이천,6.9
20190528,이천,0.0
20190529,이천,0.0
20190530,이천,0.0
20190531,이천,0.0
20190601,이천,0.0
20190602,이천,0.0
20190603,이천,0.0
20190604,이천,0.0
20190605,이천,0.0
20190606,이천,9.6
20190607,이천,43.8
20190608,이천,0.0
20190609,이천,0.4
20190610,이천,1.1
20190611,이천,0.0
20190612,이천,0.0
20190613,이천,0.0
20190614,이천,0.0
20190615,이천,10.1
20190616,이천,0.0
20190617,이천,0.4
20190618,이천,6.9
20190619,이천,0.2
20190620,이천,0.0
20190621,이천,0.0
20190622,이천,0.0
20190623,이천,0.0
20190624,이천,0.0
20190625,이천,0.0
20190626,이천,4.0
20190627,이천,0.3
20190628,이천,0.0
20190629,이천,1.7
20190630,이천,0.0
20190701,이천,0.0
20190702,이천,0.0
20190703,이천,0.0
20190704,이천,0.0
20190705,이천,5.5
20190706,이천,0.0
20190707,이천,0.0
20190708,이천,0.5
20190709,이천,0.0
20190710,이천,15.1
20190711,이천,2.9
20190712,이천,0.0
20190713,이천,0.0
20190714,이천,0.6
20190715,이천,14.5
20190716,이천,0.0
20190717,이천,0.1
20190718,이천,0.1
20190719,이천,2.7
20190720,이천,2.7
20190721,이천,17.6
20190722,이천,0.1
20190723,이천,0.0
20190724,이천,0.6
20190725,이천,35.6
20190726,이천,63.8
20190727,이천,40.1
20190728,이천,14.9
20190729,이천,0.0
20190730,이천,0.0
20190731,이천,42.5
20190801,이천,24.8
20190802,이천,0.0
20190803,이천,0.0
20190804,이천,0.0
20190805,이천,0.0
20190806,이천,0.8
20190807,이천,20.4
20190808,이천,0.0
20190809,이천,0.0
20190810,이천,0.0
20190811,이천,0.0
20190812,이천,20.1
20190813,이천,0.0
20190814,이천,0.0
20190815,이천,13.1
20190816,이천,0.0
20190817,이천,3.9
20190818,이천,0.0
20190819,이천,0.0
20190820,이천,0.0
20190821,이천,0.0
20190822,이천,0.0
20190823,이천,0.0
20190824,이천,0.0
20190825,이천,0.0
20190826,이천,0.0
20190827,이천,4.3
20190828,이천,0.1
20190829,이천,7.0
20190830,이천,0.0
20190831,이천,0.0
20190901,이천,0.0
20190902,이천,0.0
20190903,이천,0.0
20190904,이천,52.1
20190905,이천,33.7
20190906,이천,1.0
20190907,이천,2.0
20190908,이천,0.3
20190909,이천,2.8
20190910,이천,57.6
20190911,이천,27.6
20190912,이천,0.0
20190913,이천,0.0
20190914,이천,0.2
20190915,이천,0.0
20190916,이천,0.0
20190917,이천,0.0
20190918,이천,0.0
20190919,이천,0.0
20190920,이천,0.0
20190921,이천,25.2
20190922,이천,38.6
20190923,이천,0.0
20190924,이천,0.0
20190925,이천,0.0
20190926,이천,0.0
20190927,이천,0.0
20190928,이천,0.0
20190929,이천,0.0
20190930,이천,0.0
20191001,이천,0.0
20191002,이천,37.5
20191003,이천,28.4
20191004,이천,0.0
20191005,이천,0.0
20191006,이천,0.0
20191007,이천,11.9
20191008,이천,0.0
20191009,이천,0.0
20191010,이천,0.0
20191011,이천,0.0
20191012,이천,0.0
20191013,이천,0.0
20191014,이천,0.0
20191015,이천,0.0
20191016,이천,0.0
20191017,이천,0.0
20191018,이천,0.0
20191019,이천,0.0
20191020,이천,0.0
20191021,이천,0.0
20191022,이천,0.0
20191023,이천,0.0
20191024,이천,0.0
20191025,이천,0.0
20191026,이천,0.0
20191027,이천,0.0
20191028,이천,0.0
20191029,이천,1.8
20191030,이천,0.0
20191031,이천,0.0
20191101,이천,0.0
20191102,이천,0.0
20191103,이천,0.0
20191104,이천,0.0
20191105,이천,0.0
20191106,이천,0.0
20191107,이천,0.0
20191108,이천,0.0
20191109,이천,0.0
20191110,이천,10.7
20191111,이천,0.9
20191112,이천,0.0
20191113,이천,3.4
20191114,이천,0.0
20191115,이천,7.1
20191116,이천,0.0
20191117,이천,49.7
20191118,이천,9.6
20191119,이천,0.0
20191120,이천,0.0
20191121,이천,0.0
20191122,이천,0.0
20191123,이천,0.0
20191124,이천,1.1
20191125,이천,0.0
20191126,이천,0.0
20191127,이천,0.0
20191128,이천,0.0
20191129,이천,0.0
20191130,이천,0.0
20191201,이천,4.8
20191202,이천,0.0
20191203,이천,0.8
20191204,이천,1.0
20191205,이천,0.0
20191206,이천,0.0
20191207,이천,0.0
20191208,이천,0.0
20191209,이천,0.0
20191210,이천,0.1
20191211,이천,0.4
20191212,이천,0.0
20191213,이천,0.0
20191214,이천,2.3
20191215,이천,0.0
20191216,이천,0.0
20191217,이천,3.6
20191218,이천,0.0
20191219,이천,0.0
20191220,이천,0.0
20191221,이천,0.0
20191222,이천,0.0
20191223,이천,1.7
20191224,이천,0.0
20191225,이천,0.0
20191226,이천,2.2
20191227,이천,0.0
20191228,이천,0.0
20191229,이천,1.3
20191230,이천,0.8
20191231,이천,0.0
20200101,이천,0.0
20200102,이천,0.0
20200103,이천,0.0
20200104,이천,0.0
20200105,이천,0.0
20200106,이천,4.4
20200107,이천,64.0
20200108,이천,1.4
20200109,이천,0.0
20200110,이천,0.0
20200111,이천,0.0
20200112,이천,0.0
20200113,이천,0.0
20200114,이천,0.0
20200115,이천,0.0
20200116,이천,0.0
20200117,이천,0.0
20200118,이천,0.0
20200119,이천,0.5
20200120,이천,0.0
20200121,이천,0.0
20200122,이천,0.0
20200123,이천,0.0
20200124,이천,0.0
20200125,이천,0.0
20200126,이천,0.0
20200127,이천,2.1
20200128,이천,0.2
20200129,이천,0.0
20200130,이천,0.0
20200131,이천,0.0
20200201,이천,0.0
20200202,이천,0.0
20200203,이천,0.0
20200204,이천,1.7
20200205,이천,0.0
20200206,이천,0.0
20200207,이천,0.0
20200208,이천,0.0
20200209,이천,0.0
20200210,이천,0.0
20200211,이천,0.0
20200212,이천,14.5
20200213,이천,0.0
20200214,이천,0.0
20200215,이천,0.8
20200216,이천,7.1
20200217,이천,0.8
20200218,이천,0.0
20200219,이천,0.0
20200220,이천,0.0
20200221,이천,2.6
20200222,이천,4.0
20200223,이천,0.0
20200224,이천,0.0
20200225,이천,24.0
20200226,이천,0.0
20200227,이천,0.0
20200228,이천,4.0
20200229,이천,0.0
20200301,이천,0.0
20200302,이천,0.0
20200303,이천,0.0
20200304,이천,0.0
20200305,이천,0.0
20200306,이천,0.0
