날짜,지점,강수량(mm)
20190101,파주,0.0
20190102,파주,0.0
20190103,파주,0.0
20190104,파주,0.0
20190105,파주,0.0
20190106,파주,0.0
20190107,파주,0.0
20190108,파주,0.0
20190109,파주,0.0
20190110,파주,0.0
20190111,파주,0.0
20190112,파주,0.0
20190113,파주,0.0
20190114,파주,0.0
20190115,파주,0.0
20190116,파주,0.0
20190117,파주,0.0
20190118,파주,0.0
20190119,파주,0.0
20190120,파주,0.0
20190121,파주,0.0
20190122,파주,0.0
20190123,파주,0.0
20190124,파주,0.0
20190125,파주,0.0
20190126,파주,0.0
20190127,파주,0.0
20190128,파주,0.2
20190129,파주,0.0
20190130,파주,0.0
20190131,파주,0.0
20190201,파주,0.0
20190202,파주,0.0
20190203,파주,18.3
20190204,파주,0.0
20190205,파주,0.0
20190206,파주,0.0
20190207,파주,0.0
20190208,파주,0.0
20190209,파주,0.0
20190210,파주,0.0
20190211,파주,0.0
20190212,파주,0.0
20190213,파주,0.0
20190214,파주,0.0
20190215,파주,2.5
20190216,파주,0.0
20190217,파주,0.0
20190218,파주,0.0
20190219,파주,2.5
20190220,파주,0.0
20190221,파주,0.0
20190222,파주,0.0
20190223,파주,0.0
20190224,파주,0.0
20190225,파주,0.0
20190226,파주,0.0
20190227,파주,0.0
20190228,파주,0.0
20190301,파주,0.0
20190302,파주,0.0
20190303,파주,0.0
20190304,파주,0.0
20190305,파주,0.0
20190306,파주,0.0
20190307,파주,0.0
20190308,파주,0.0
20190309,파주,0.0
20190310,파주,0.0
20190311,파주,0.1
20190312,파주,0.0
20190313,파주,0.0
20190314,파주,0.1
20190315,파주,4.7
20190316,파주,0.0
20190317,파주,0.0
20190318,파주,0.0
20190319,파주,0.0
20190320,파주,15.0
20190321,파주,3.5
20190322,파주,0.0
20190323,파주,0.0
20190324,파주,0.0
20190325,파주,0.0
20190326,파주,0.0
20190327,파주,0.0
20190328,파주,0.0
20190329,파주,0.0
20190330,파주,1.9
20190331,파주,0.2
20190401,파주,0.0
20190402,파주,0.0
20190403,파주,0.0
20190404,파주,0.0
20190405,파주,0.0
20190406,파주,2.9
20190407,파주,0.0
20190408,파주,0.0
20190409,파주,9.7
20190410,파주,2.9
20190411,파주,0.0
20190412,파주,0.0
20190413,파주,0.0
20190414,파주,3.0
20190415,파주,0.0
20190416,파주,0.0
20190417,파주,0.0
20190418,파주,0.0
20190419,파주,0.0
20190420,파주,0.6
20190421,파주,0.4
20190422,파주,0.0
20190423,파주,0.0
20190424,파주,1.0
20190425,파주,10.8
20190426,파주,7.0
20190427,파주,0.0
20190428,파주,0.3
20190429,파주,0.0
20190430,파주,0.0
20190501,파주,0.0
20190502,파주,0.0
20190503,파주,0.0
20190504,파주,0.0
20190505,파주,0.0
20190506,파주,0.0
20190507,파주,0.0
20190508,파주,0.0
20190509,파주,0.0
20190510,파주,0.0
20190511,파주,0.0
20190512,파주,0.0
20190513,파주,0.0
20190514,파주,0.0
20190515,파주,0.0
20190516,파주,0.0
20190517,파주,0.0
20190518,파주,0.0
20190519,파주,22.0
20190520,파주,7.3
20190521,파주,0.0
20190522,파주,0.0
20190523,파주,0.0
20190524,파주,0.0
20190525,파주,0.0
20190526,파주,0.0
20190527,파주,7.8
20190528,파주,0.0
20190529,파주,0.0
20190530,파주,0.0
20190531,파주,0.0
20190601,파주,0.0
20190602,파주,0.0
20190603,파주,0.0
20190604,파주,0.0
20190605,파주,0.0
20190606,파주,4.2
20190607,파주,24.1
20190608,파주,0.0
20190609,파주,0.0
20190610,파주,9.5
20190611,파주,0.0
20190612,파주,0.0
20190613,파주,0.0
20190614,파주,0.0
20190615,파주,0.0
20190616,파주,0.0
20190617,파주,0.0
20190618,파주,23.6
20190619,파주,0.0
20190620,파주,0.0
20190621,파주,0.0
20190622,파주,0.0
20190623,파주,0.0
20190624,파주,0.0
20190625,파주,0.0
20190626,파주,0.0
20190627,파주,0.0
20190628,파주,0.0
20190629,파주,0.8
20190630,파주,0.0
20190701,파주,0.0
