날짜,지점,강수량(mm)
20190101,인천,0.0
20190102,인천,0.0
20190103,인천,0.0
20190104,인천,0.0
20190105,인천,0.0
20190106,인천,0.0
20190107,인천,0.0
20190108,인천,0.0
20190109,인천,0.0
20190110,인천,0.0
20190111,인천,0.0
20190112,인천,0.0
20190113,인천,0.0
20190114,인천,0.0
20190115,인천,0.0
20190116,인천,0.6
20190117,인천,0.1
20190118,인천,0.0
20190119,인천,0.0
20190120,인천,0.0
20190121,인천,0.0
20190122,인천,0.0
20190123,인천,0.0
20190124,인천,0.0
20190125,인천,0.0
20190126,인천,0.0
20190127,인천,0.0
20190128,인천,0.0
20190129,인천,0.0
20190130,인천,0.0
20190131,인천,0.0
20190201,인천,0.0
20190202,인천,0.0
20190203,인천,19.5
20190204,인천,0.0
20190205,인천,0.0
20190206,인천,0.0
20190207,인천,0.0
20190208,인천,0.0
20190209,인천,0.0
20190210,인천,0.0
20190211,인천,0.0
20190212,인천,0.0
20190213,인천,0.0
20190214,인천,0.0
20190215,인천,2.6
20190216,인천,0.0
20190217,인천,0.0
20190218,인천,0.0
20190219,인천,4.5
20190220,인천,0.0
20190221,인천,0.0
20190222,인천,0.0
20190223,인천,0.0
20190224,인천,0.0
20190225,인천,0.0
20190226,인천,0.0
20190227,인천,0.0
20190228,인천,0.0
20190301,인천,0.0
20190302,인천,0.0
20190303,인천,0.0
20190304,인천,0.0
20190305,인천,0.0
20190306,인천,0.0
20190307,인천,0.0
20190308,인천,0.0
20190309,인천,0.0
20190310,인천,0.0
20190311,인천,0.1
20190312,인천,0.0
20190313,인천,0.0
20190314,인천,0.0
20190315,인천,1.5
20190316,인천,0.0
20190317,인천,0.0
20190318,인천,0.0
20190319,인천,0.0
20190320,인천,16.4
20190321,인천,4.7
20190322,인천,0.0
20190323,인천,2.6
20190324,인천,0.0
20190325,인천,0.0
20190326,인천,0.0
20190327,인천,0.0
20190328,인천,0.0
20190329,인천,0.0
20190330,인천,3.1
20190331,인천,0.0
20190401,인천,0.0
20190402,인천,0.0
20190403,인천,0.0
20190404,인천,0.0
20190405,인천,0.0
20190406,인천,0.0
20190407,인천,0.0
20190408,인천,0.0
20190409,인천,14.9
20190410,인천,3.8
20190411,인천,0.0
20190412,인천,0.0
20190413,인천,0.0
20190414,인천,2.4
20190415,인천,0.0
20190416,인천,0.0
20190417,인천,0.0
20190418,인천,0.0
20190419,인천,0.0
20190420,인천,1.1
20190421,인천,0.7
20190422,인천,0.0
20190423,인천,0.0
20190424,인천,5.9
20190425,인천,9.6
20190426,인천,2.7
20190427,인천,0.0
20190428,인천,0.0
20190429,인천,0.0
20190430,인천,0.0
20190501,인천,0.0
20190502,인천,0.0
20190503,인천,0.0
20190504,인천,0.0
20190505,인천,0.0
20190506,인천,0.0
20190507,인천,0.0
20190508,인천,0.0
20190509,인천,0.0
20190510,인천,0.0
20190511,인천,0.0
20190512,인천,0.0
20190513,인천,0.0
20190514,인천,0.0
20190515,인천,0.0
20190516,인천,0.0
20190517,인천,0.0
20190518,인천,0.0
20190519,인천,14.4
20190520,인천,8.3
20190521,인천,0.0
20190522,인천,0.0
20190523,인천,0.0
20190524,인천,0.0
20190525,인천,0.0
20190526,인천,0.0
20190527,인천,10.5
20190528,인천,0.0
20190529,인천,0.0
20190530,인천,0.0
20190531,인천,0.0
20190601,인천,0.0
20190602,인천,0.0
20190603,인천,0.0
20190604,인천,0.0
20190605,인천,0.0
20190606,인천,5.9
20190607,인천,26.8
20190608,인천,0.0
20190609,인천,0.0
20190610,인천,3.4
20190611,인천,0.0
20190612,인천,0.0
20190613,인천,0.0
20190614,인천,0.0
20190615,인천,0.0
20190616,인천,0.0
20190617,인천,0.2
20190618,인천,4.5
20190619,인천,0.8
20190620,인천,0.0
20190621,인천,0.0
20190622,인천,0.0
20190623,인천,0.0
20190624,인천,0.0
20190625,인천,0.0
20190626,인천,0.0
20190627,인천,0.9
20190628,인천,3.8
20190629,인천,3.2
20190630,인천,0.2
20190701,인천,0.0
20190702,인천,0.0
20190703,인천,0.0
20190704,인천,0.0
20190705,인천,0.0
20190706,인천,0.0
20190707,인천,0.0
20190708,인천,0.0
20190709,인천,0.0
20190710,인천,3.7
20190711,인천,0.1
20190712,인천,0.0
20190713,인천,11.1
20190714,인천,0.0
20190715,인천,0.0
20190716,인천,37.5
20190717,인천,0.0
20190718,인천,0.0
20190719,인천,0.0
20190720,인천,3.8
20190721,인천,6.0
20190722,인천,0.0
20190723,인천,0.0
20190724,인천,1.0
20190725,인천,9.1
20190726,인천,61.1
20190727,인천,4.8
20190728,인천,30.0
20190729,인천,0.2
20190730,인천,2.4
20190731,인천,50.0
20190801,인천,26.0
20190802,인천,0.0
20190803,인천,0.0
20190804,인천,0.0
20190805,인천,0.0
20190806,인천,0.0
20190807,인천,0.0
20190808,인천,0.0
20190809,인천,0.0
20190810,인천,0.0
20190811,인천,10.0
20190812,인천,52.7
20190813,인천,4.1
20190814,인천,2.7
20190815,인천,6.4
20190816,인천,0.0
20190817,인천,0.0
20190818,인천,0.0
20190819,인천,0.0
20190820,인천,0.0
20190821,인천,0.6
20190822,인천,0.0
20190823,인천,0.0
20190824,인천,0.0
20190825,인천,0.0
20190826,인천,0.0
20190827,인천,2.6
20190828,인천,0.0
20190829,인천,38.6
20190830,인천,0.0
20190831,인천,0.0
20190901,인천,0.0
20190902,인천,0.0
20190903,인천,3.2
20190904,인천,58.2
20190905,인천,40.3
20190906,인천,6.9
20190907,인천,1.4
20190908,인천,0.0
20190909,인천,0.0
20190910,인천,88.8
20190911,인천,4.2
20190912,인천,25.2
20190913,인천,0.0
20190914,인천,0.8
20190915,인천,0.0
20190916,인천,0.0
20190917,인천,0.0
20190918,인천,0.0
20190919,인천,0.0
20190920,인천,0.0
20190921,인천,0.0
20190922,인천,0.0
20190923,인천,0.0
20190924,인천,0.0
20190925,인천,0.0
20190926,인천,0.0
20190927,인천,0.0
20190928,인천,0.0
20190929,인천,0.0
20190930,인천,0.0
20191001,인천,0.0
20191002,인천,13.2
20191003,인천,4.2
20191004,인천,0.0
20191005,인천,0.0
20191006,인천,0.0
20191007,인천,13.8
20191008,인천,0.0
20191009,인천,0.0
20191010,인천,0.0
20191011,인천,0.0
20191012,인천,0.0
20191013,인천,0.0
20191014,인천,0.0
20191015,인천,0.0
20191016,인천,0.0
20191017,인천,0.0
20191018,인천,0.0
20191019,인천,0.0
20191020,인천,0.0
20191021,인천,0.0
20191022,인천,0.0
20191023,인천,0.0
20191024,인천,0.0
20191025,인천,0.0
20191026,인천,0.0
20191027,인천,0.0
20191028,인천,0.6
20191029,인천,0.1
20191030,인천,0.0
20191031,인천,0.0
20191101,인천,0.0
20191102,인천,0.0
20191103,인천,0.0
20191104,인천,0.0
20191105,인천,0.0
20191106,인천,0.0
20191107,인천,0.0
20191108,인천,0.0
20191109,인천,0.0
20191110,인천,21.4
20191111,인천,1.3
20191112,인천,0.0
20191113,인천,5.9
20191114,인천,0.0
20191115,인천,23.4
20191116,인천,0.0
20191117,인천,23.7
20191118,인천,9.9
20191119,인천,0.0
20191120,인천,0.0
20191121,인천,0.0
20191122,인천,0.0
20191123,인천,0.0
20191124,인천,3.8
20191125,인천,0.0
20191126,인천,0.0
20191127,인천,0.0
20191128,인천,0.0
20191129,인천,0.0
20191130,인천,0.0
20191201,인천,3.8
20191202,인천,0.0
20191203,인천,1.8
20191204,인천,0.3
20191205,인천,0.0
20191206,인천,0.0
20191207,인천,0.1
20191208,인천,0.0
20191209,인천,0.0
20191210,인천,2.4
20191211,인천,0.0
20191212,인천,0.0
20191213,인천,1.2
20191214,인천,0.0
20191215,인천,0.0
20191216,인천,0.0
20191217,인천,6.7
20191218,인천,0.0
20191219,인천,0.0
20191220,인천,0.0
20191221,인천,2.1
20191222,인천,0.6
20191223,인천,4.8
20191224,인천,0.0
20191225,인천,0.0
20191226,인천,0.2
20191227,인천,0.0
20191228,인천,0.0
20191229,인천,0.9
20191230,인천,0.1
20191231,인천,0.0
20200101,인천,0.0
20200102,인천,0.0
20200103,인천,0.0
20200104,인천,0.0
20200105,인천,0.0
20200106,인천,2.3
20200107,인천,42.2
20200108,인천,3.4
20200109,인천,0.0
20200110,인천,0.0
20200111,인천,0.0
20200112,인천,0.0
20200113,인천,0.0
20200114,인천,0.0
