날짜,지점,강수량(mm)
2019.1.1,119,
2019.1.2,119,
2019.1.3,119,
2019.1.4,119,
2019.1.5,119,
2019.1.6,119,
2019.1.7,119,
2019.1.8,119,
2019.1.9,119,
2019.1.10,119,
2019.1.11,119,
2019.1.12,119,
2019.1.13,119,
2019.1.14,119,
2019.1.15,119,0
2019.1.16,119,0
2019.1.17,119,0.1
2019.1.18,119,
2019.1.19,119,
2019.1.20,119,
2019.1.21,119,0
2019.1.22,119,
2019.1.23,119,
2019.1.24,119,
2019.1.25,119,
2019.1.26,119,
2019.1.27,119,
2019.1.28,119,0.4
2019.1.29,119,
2019.1.30,119,
2019.1.31,119,
2019.2.1,119,0
2019.2.2,119,0
2019.2.3,119,22.7
2019.2.4,119,
2019.2.5,119,
2019.2.6,119,
2019.2.7,119,0
2019.2.8,119,
2019.2.9,119,
2019.2.10,119,
2019.2.11,119,
2019.2.12,119,0
2019.2.13,119,
2019.2.14,119,
2019.2.15,119,2.6
2019.2.16,119,0.1
2019.2.17,119,
2019.2.18,119,
2019.2.19,119,8
2019.2.20,119,0
2019.2.21,119,
2019.2.22,119,
2019.2.23,119,
2019.2.24,119,
2019.2.25,119,
2019.2.26,119,
2019.2.27,119,
2019.2.28,119,
2019.3.1,119,
2019.3.2,119,
2019.3.3,119,
2019.3.4,119,
2019.3.5,119,
2019.3.6,119,
2019.3.7,119,
2019.3.8,119,
2019.3.9,119,
2019.3.10,119,
2019.3.11,119,2.7
2019.3.12,119,
2019.3.13,119,
2019.3.14,119,
2019.3.15,119,2
2019.3.16,119,
2019.3.17,119,
2019.3.18,119,
2019.3.19,119,
2019.3.20,119,23.6
2019.3.21,119,4.6
2019.3.22,119,
2019.3.23,119,1.5
2019.3.24,119,
2019.3.25,119,
2019.3.26,119,
2019.3.27,119,
2019.3.28,119,
2019.3.29,119,
2019.3.30,119,4.7
2019.3.31,119,0.5
2019.4.1,119,
2019.4.2,119,
2019.4.3,119,
2019.4.4,119,
2019.4.5,119,
2019.4.6,119,0
2019.4.7,119,
2019.4.8,119,
2019.4.9,119,18.1
2019.4.10,119,2.8
2019.4.11,119,0
2019.4.12,119,
2019.4.13,119,
2019.4.14,119,0.6
2019.4.15,119,
2019.4.16,119,
2019.4.17,119,
2019.4.18,119,0
2019.4.19,119,
2019.4.20,119,0.1
2019.4.21,119,0.8
2019.4.22,119,
2019.4.23,119,0
2019.4.24,119,12.9
2019.4.25,119,5.8
2019.4.26,119,1.9
2019.4.27,119,
2019.4.28,119,0
2019.4.29,119,0.6
2019.4.30,119,
2019.5.1,119,
2019.5.2,119,
2019.5.3,119,
2019.5.4,119,
2019.5.5,119,
2019.5.6,119,0
2019.5.7,119,
2019.5.8,119,
2019.5.9,119,
2019.5.10,119,
2019.5.11,119,
2019.5.12,119,
2019.5.13,119,0
2019.5.14,119,
2019.5.15,119,
2019.5.16,119,
2019.5.17,119,
2019.5.18,119,0
2019.5.19,119,16.5
2019.5.20,119,2.2
2019.5.21,119,
2019.5.22,119,
2019.5.23,119,
2019.5.24,119,
2019.5.25,119,
2019.5.26,119,
2019.5.27,119,8
2019.5.28,119,
2019.5.29,119,
2019.5.30,119,0
2019.5.31,119,
2019.6.1,119,
2019.6.2,119,
2019.6.3,119,
2019.6.4,119,
2019.6.5,119,
2019.6.6,119,10.7
2019.6.7,119,38.7
2019.6.8,119,
2019.6.9,119,1.2
2019.6.10,119,10.1
2019.6.11,119,
2019.6.12,119,
2019.6.13,119,
2019.6.14,119,
2019.6.15,119,0.3
2019.6.16,119,
2019.6.17,119,0.2
2019.6.18,119,2.2
2019.6.19,119,0.5
2019.6.20,119,
2019.6.21,119,
2019.6.22,119,
2019.6.23,119,0
2019.6.24,119,
2019.6.25,119,
2019.6.26,119,0.2
2019.6.27,119,0.1
2019.6.28,119,0.7
2019.6.29,119,3.9
2019.6.30,119,0
2019.7.1,119,
2019.7.2,119,
2019.7.3,119,0
2019.7.4,119,
2019.7.5,119,
2019.7.6,119,
2019.7.7,119,
2019.7.8,119,0
2019.7.9,119,
2019.7.10,119,12.1
