날짜,지점,강수량(mm)
2019.1.1,99,
2019.1.2,99,
2019.1.3,99,
2019.1.4,99,
2019.1.5,99,
2019.1.6,99,
2019.1.7,99,
2019.1.8,99,
2019.1.9,99,
2019.1.10,99,
2019.1.11,99,
2019.1.12,99,
2019.1.13,99,
2019.1.14,99,
2019.1.15,99,
2019.1.16,99,
2019.1.17,99,
2019.1.18,99,
2019.1.19,99,
2019.1.20,99,
2019.1.21,99,
2019.1.22,99,
2019.1.23,99,
2019.1.24,99,
2019.1.25,99,
2019.1.26,99,
2019.1.27,99,
2019.1.28,99,0.2
2019.1.29,99,
2019.1.30,99,
2019.1.31,99,
2019.2.1,99,
2019.2.2,99,
2019.2.3,99,18.3
2019.2.4,99,
2019.2.5,99,
2019.2.6,99,0
2019.2.7,99,
2019.2.8,99,
2019.2.9,99,
2019.2.10,99,
2019.2.11,99,
2019.2.12,99,
2019.2.13,99,
2019.2.14,99,
2019.2.15,99,2.5
2019.2.16,99,
2019.2.17,99,
2019.2.18,99,
2019.2.19,99,2.5
2019.2.20,99,0
2019.2.21,99,
2019.2.22,99,
2019.2.23,99,
2019.2.24,99,
2019.2.25,99,
2019.2.26,99,
2019.2.27,99,
2019.2.28,99,
2019.3.1,99,
2019.3.2,99,
2019.3.3,99,
2019.3.4,99,
2019.3.5,99,
2019.3.6,99,
2019.3.7,99,
2019.3.8,99,
2019.3.9,99,
2019.3.10,99,
2019.3.11,99,0.1
2019.3.12,99,0
2019.3.13,99,
2019.3.14,99,0.1
2019.3.15,99,4.7
2019.3.16,99,
2019.3.17,99,
2019.3.18,99,
2019.3.19,99,
2019.3.20,99,15
2019.3.21,99,3.5
2019.3.22,99,
2019.3.23,99,0
2019.3.24,99,
2019.3.25,99,
2019.3.26,99,0
2019.3.27,99,
2019.3.28,99,
2019.3.29,99,
2019.3.30,99,1.9
2019.3.31,99,0.2
2019.4.1,99,
2019.4.2,99,
2019.4.3,99,
2019.4.4,99,
2019.4.5,99,
2019.4.6,99,2.9
2019.4.7,99,
2019.4.8,99,
2019.4.9,99,9.7
2019.4.10,99,2.9
2019.4.11,99,0
2019.4.12,99,
2019.4.13,99,
2019.4.14,99,3
2019.4.15,99,
2019.4.16,99,
2019.4.17,99,
2019.4.18,99,0
2019.4.19,99,
2019.4.20,99,0.6
2019.4.21,99,0.4
2019.4.22,99,
2019.4.23,99,
2019.4.24,99,1
2019.4.25,99,10.8
2019.4.26,99,7
2019.4.27,99,
2019.4.28,99,0.3
2019.4.29,99,
2019.4.30,99,
2019.5.1,99,
2019.5.2,99,
2019.5.3,99,
2019.5.4,99,
2019.5.5,99,
2019.5.6,99,
2019.5.7,99,
2019.5.8,99,
2019.5.9,99,
2019.5.10,99,
2019.5.11,99,
2019.5.12,99,
2019.5.13,99,0
2019.5.14,99,
2019.5.15,99,
2019.5.16,99,
2019.5.17,99,
2019.5.18,99,
2019.5.19,99,22
2019.5.20,99,7.3
2019.5.21,99,
2019.5.22,99,
2019.5.23,99,
2019.5.24,99,
2019.5.25,99,
2019.5.26,99,
2019.5.27,99,7.8
2019.5.28,99,
2019.5.29,99,
2019.5.30,99,0
2019.5.31,99,
2019.6.1,99,
2019.6.2,99,
2019.6.3,99,
2019.6.4,99,
2019.6.5,99,
2019.6.6,99,4.2
2019.6.7,99,24.1
2019.6.8,99,
2019.6.9,99,
2019.6.10,99,9.5
2019.6.11,99,
2019.6.12,99,
2019.6.13,99,
2019.6.14,99,
2019.6.15,99,0
2019.6.16,99,
2019.6.17,99,
2019.6.18,99,23.6
2019.6.19,99,0
2019.6.20,99,
2019.6.21,99,
2019.6.22,99,
2019.6.23,99,
2019.6.24,99,
2019.6.25,99,
2019.6.26,99,
2019.6.27,99,
2019.6.28,99,0
2019.6.29,99,0.8
2019.6.30,99,
2019.7.1,99,
2019.7.2,99,
2019.7.3,99,
2019.7.4,99,
2019.7.5,99,
2019.7.6,99,5.5
2019.7.7,99,
2019.7.8,99,
2019.7.9,99,
2019.7.10,99,3.5
2019.7.11,99,3.6
2019.7.12,99,
2019.7.13,99,
2019.7.14,99,
2019.7.15,99,23.9
2019.7.16,99,4.3
2019.7.17,99,
2019.7.18,99,
2019.7.19,99,
2019.7.20,99,0
2019.7.21,99,3.9
2019.7.22,99,
2019.7.23,99,0
2019.7.24,99,8.3
2019.7.25,99,10.8
2019.7.26,99,87.5
2019.7.27,99,0
2019.7.28,99,58.8
2019.7.29,99,
2019.7.30,99,35.9
2019.7.31,99,13.6
2019.8.1,99,62.7
2019.8.2,99,
2019.8.3,99,
2019.8.4,99,
2019.8.5,99,
2019.8.6,99,
2019.8.7,99,0.4
2019.8.8,99,
2019.8.9,99,0
2019.8.10,99,3.1
2019.8.11,99,3.4
2019.8.12,99,59.1
2019.8.13,99,6.8
2019.8.14,99,0
2019.8.15,99,8.6
2019.8.16,99,1.7
2019.8.17,99,
2019.8.18,99,0
2019.8.19,99,
2019.8.20,99,
2019.8.21,99,0.3
2019.8.22,99,
2019.8.23,99,
2019.8.24,99,
2019.8.25,99,
2019.8.26,99,
2019.8.27,99,0.4
2019.8.28,99,
2019.8.29,99,15.4
2019.8.30,99,0
2019.8.31,99,
2019.9.1,99,
2019.9.2,99,
2019.9.3,99,1.9
2019.9.4,99,58.1
2019.9.5,99,37.3
2019.9.6,99,4.7
2019.9.7,99,4.2
2019.9.8,99,0
2019.9.9,99,0
2019.9.10,99,171.9
2019.9.11,99,0.2
2019.9.12,99,3.2
2019.9.13,99,
2019.9.14,99,1.7
2019.9.15,99,
2019.9.16,99,
2019.9.17,99,
2019.9.18,99,
2019.9.19,99,
2019.9.20,99,
2019.9.21,99,
2019.9.22,99,
2019.9.23,99,
2019.9.24,99,
2019.9.25,99,
2019.9.26,99,
2019.9.27,99,
2019.9.28,99,
2019.9.29,99,
2019.9.30,99,
2019.10.1,99,
2019.10.2,99,6.1
2019.10.3,99,1.1
2019.10.4,99,
2019.10.5,99,0.6
2019.10.6,99,
2019.10.7,99,18.1
2019.10.8,99,
2019.10.9,99,
2019.10.10,99,
2019.10.11,99,
2019.10.12,99,
2019.10.13,99,
2019.10.14,99,
2019.10.15,99,
2019.10.16,99,
2019.10.17,99,
2019.10.18,99,
2019.10.19,99,
2019.10.20,99,
2019.10.21,99,
2019.10.22,99,
2019.10.23,99,
2019.10.24,99,
2019.10.25,99,
2019.10.26,99,
2019.10.27,99,
2019.10.28,99,4.5
2019.10.29,99,
2019.10.30,99,
2019.10.31,99,
2019.11.1,99,
2019.11.2,99,
2019.11.3,99,
2019.11.4,99,
2019.11.5,99,
2019.11.6,99,
2019.11.7,99,
2019.11.8,99,
2019.11.9,99,
2019.11.10,99,14.1
2019.11.11,99,0.2
2019.11.12,99,
2019.11.13,99,23
2019.11.14,99,
2019.11.15,99,10.2
2019.11.16,99,
2019.11.17,99,14.6
2019.11.18,99,6.5
2019.11.19,99,
2019.11.20,99,
2019.11.21,99,
2019.11.22,99,
2019.11.23,99,
2019.11.24,99,3.6
2019.11.25,99,
2019.11.26,99,
2019.11.27,99,
2019.11.28,99,
2019.11.29,99,
2019.11.30,99,
2019.12.1,99,2
2019.12.2,99,
2019.12.3,99,0
2019.12.4,99,
2019.12.5,99,
2019.12.6,99,
2019.12.7,99,0.6
2019.12.8,99,
2019.12.9,99,2.8
2019.12.10,99,5.7
2019.12.11,99,0.3
2019.12.12,99,
2019.12.13,99,3.6
2019.12.14,99,0.1
2019.12.15,99,
2019.12.16,99,
2019.12.17,99,9.6
2019.12.18,99,
2019.12.19,99,
2019.12.20,99,
2019.12.21,99,0
2019.12.22,99,1
2019.12.23,99,1.8
2019.12.24,99,
2019.12.25,99,
2019.12.26,99,
2019.12.27,99,
2019.12.28,99,
2019.12.29,99,0.5
2019.12.30,99,0.2
2019.12.31,99,
2020.1.1,99,0.1
2020.1.2,99,
2020.1.3,99,
2020.1.4,99,
2020.1.5,99,
2020.1.6,99,1.1
2020.1.7,99,63.7
