날짜,도로명,평균속도예측
2023-06-01,419로,29.5834226775
2023-07-01,419로,29.41958086332787
2023-08-01,419로,29.28712445385164
2023-09-01,419로,29.395220411514753
2023-10-01,419로,29.403782619719674
2023-11-01,419로,29.518380776004097
2023-12-01,419로,29.61850137869262
2024-01-01,419로,29.690283079332787
2024-02-01,419로,29.667778069655736
2024-03-01,419로,29.646724996086885
2024-04-01,419로,29.624219986409837
2024-04-30,419로,29.603166912840983
2024-05-31,419로,29.580661903163936
2024-06-30,419로,29.558882861540983
2024-07-31,419로,29.536377851863932
2024-08-31,419로,29.513872842186885
2024-09-30,419로,29.492093800563936
2023-06-01,가락로,17.46723278975
2023-07-01,가락로,17.557356496040985
2023-08-01,가락로,17.650484271420744
2023-09-01,가락로,17.74361204482673
2023-10-01,가락로,17.833735701515945
2023-11-01,가락로,17.73243464697349
2023-12-01,가락로,17.84467650662172
2024-01-01,가락로,17.960961714840735
2024-02-01,가락로,18.07724692524305
2024-03-01,가락로,18.186029864006507
2024-04-01,가락로,18.30231507440882
2024-04-30,가락로,18.411098013172275
2024-05-31,가락로,18.527383223574592
2024-06-30,가락로,18.639917298157478
2024-07-31,가락로,18.75620250855979
2024-08-31,가락로,18.87248771896211
2024-09-30,가락로,18.985021793544995
2023-06-01,가로공원로,20.283971261999998
2023-07-01,가로공원로,20.302675246817028
2023-08-01,가로공원로,20.322002697630094
2023-09-01,가로공원로,20.34133015021227
2023-10-01,가로공원로,20.360034137927503
2023-11-01,가로공원로,20.3793615906667
2023-12-01,가로공원로,20.398065576284264
2024-01-01,가로공원로,20.417393028106723
2024-02-01,가로공원로,20.436720479167107
2024-03-01,가로공원로,20.45480099826529
2024-04-01,가로공원로,20.474128449715078
2024-04-30,가로공원로,20.492208968813266
2024-05-31,가로공원로,20.511536420263052
2024-06-30,가로공원로,20.530240405537036
2024-07-31,가로공원로,20.549567856986823
2024-08-31,가로공원로,20.56889530843661
2024-09-30,가로공원로,20.587599293710596
2023-06-01,가로공원로76길,15.403371885
2023-07-01,가로공원로76길,15.415979866462624
