PM25,PM10,지역명,등록일자
19.0,20.0,Seoul_Grand_Park,2024-01-01 00:08:12
21.0,22.0,Seoul_Grand_Park,2024-01-01 00:08:15
24.0,26.0,Seoul_Grand_Park,2024-01-01 00:08:16
19.0,21.0,Seoul_Grand_Park,2024-01-01 00:08:17
21.0,23.0,Seoul_Grand_Park,2024-01-01 01:08:08
23.0,25.0,Seoul_Grand_Park,2024-01-01 01:08:09
21.0,23.0,Seoul_Grand_Park,2024-01-01 01:08:09
22.0,24.0,Seoul_Grand_Park,2024-01-01 01:08:11
27.0,29.0,Seoul_Grand_Park,2024-01-01 02:08:15
24.0,26.0,Seoul_Grand_Park,2024-01-01 02:08:15
27.0,29.0,Seoul_Grand_Park,2024-01-01 02:08:15
26.0,28.0,Seoul_Grand_Park,2024-01-01 02:08:15
27.0,29.0,Seoul_Grand_Park,2024-01-01 03:08:07
31.0,34.0,Seoul_Grand_Park,2024-01-01 03:08:08
31.0,33.0,Seoul_Grand_Park,2024-01-01 03:08:08
30.0,33.0,Seoul_Grand_Park,2024-01-01 03:08:09
26.0,145.0,Seoul_Grand_Park,2024-01-01 04:08:04
29.0,32.0,Seoul_Grand_Park,2024-01-01 04:08:06
35.0,65.0,Seoul_Grand_Park,2024-01-01 04:08:06
31.0,39.0,Seoul_Grand_Park,2024-01-01 04:08:07
31.0,487.0,Seoul_Grand_Park,2024-01-01 05:08:05
22.0,24.0,Seoul_Grand_Park,2024-01-01 05:08:07
28.0,69.0,Seoul_Grand_Park,2024-01-01 05:08:07
29.0,62.0,Seoul_Grand_Park,2024-01-01 05:08:09
30.0,35.0,Seoul_Grand_Park,2024-01-01 06:08:11
38.0,85.0,Seoul_Grand_Park,2024-01-01 06:08:11
27.0,30.0,Seoul_Grand_Park,2024-01-01 06:08:11
36.0,40.0,Seoul_Grand_Park,2024-01-01 06:08:12
39.0,218.0,Seoul_Grand_Park,2024-01-01 07:08:10
27.0,130.0,Seoul_Grand_Park,2024-01-01 07:08:11
28.0,31.0,Seoul_Grand_Park,2024-01-01 07:08:11
34.0,76.0,Seoul_Grand_Park,2024-01-01 07:08:12
24.0,103.0,Seoul_Grand_Park,2024-01-01 08:08:08
25.0,27.0,Seoul_Grand_Park,2024-01-01 08:08:08
33.0,277.0,Seoul_Grand_Park,2024-01-01 08:08:08
28.0,92.0,Seoul_Grand_Park,2024-01-01 08:08:09
17.0,18.0,Seoul_Grand_Park,2024-01-01 09:08:09
33.0,49.0,Seoul_Grand_Park,2024-01-01 09:08:10
25.0,27.0,Seoul_Grand_Park,2024-01-01 09:08:10
25.0,28.0,Seoul_Grand_Park,2024-01-01 09:08:10
21.0,69.0,Seoul_Grand_Park,2024-01-01 10:08:08
22.0,24.0,Seoul_Grand_Park,2024-01-01 10:08:08
33.0,285.0,Seoul_Grand_Park,2024-01-01 10:08:09
24.0,33.0,Seoul_Grand_Park,2024-01-01 10:08:10
33.0,589.0,Seoul_Grand_Park,2024-01-01 11:08:08
23.0,25.0,Seoul_Grand_Park,2024-01-01 11:08:09
21.0,150.0,Seoul_Grand_Park,2024-01-01 11:08:10
26.0,69.0,Seoul_Grand_Park,2024-01-01 11:08:10
23.0,25.0,Seoul_Grand_Park,2024-01-01 12:08:06
28.0,31.0,Seoul_Grand_Park,2024-01-01 12:08:09
36.0,39.0,Seoul_Grand_Park,2024-01-01 12:08:09
29.0,32.0,Seoul_Grand_Park,2024-01-01 12:08:10
19.0,20.0,Seoul_Grand_Park,2024-01-01 13:08:00
16.0,17.0,Seoul_Grand_Park,2024-01-01 13:08:02
13.0,14.0,Seoul_Grand_Park,2024-01-01 13:08:05
15.0,16.0,Seoul_Grand_Park,2024-01-01 13:08:06
13.0,14.0,Seoul_Grand_Park,2024-01-01 14:08:03
15.0,16.0,Seoul_Grand_Park,2024-01-01 14:08:05
18.0,19.0,Seoul_Grand_Park,2024-01-01 14:08:06
12.0,13.0,Seoul_Grand_Park,2024-01-01 14:08:07
21.0,22.0,Seoul_Grand_Park,2024-01-01 15:08:07
16.0,17.0,Seoul_Grand_Park,2024-01-01 15:08:08
14.0,15.0,Seoul_Grand_Park,2024-01-01 15:08:08
17.0,18.0,Seoul_Grand_Park,2024-01-01 15:08:10
22.0,24.0,Seoul_Grand_Park,2024-01-01 16:08:09
17.0,18.0,Seoul_Grand_Park,2024-01-01 16:08:10
16.0,17.0,Seoul_Grand_Park,2024-01-01 16:08:10
19.0,21.0,Seoul_Grand_Park,2024-01-01 16:08:11
25.0,27.0,Seoul_Grand_Park,2024-01-01 17:08:08
19.0,20.0,Seoul_Grand_Park,2024-01-01 17:08:08
17.0,18.0,Seoul_Grand_Park,2024-01-01 17:08:08
20.0,22.0,Seoul_Grand_Park,2024-01-01 17:08:09
23.0,25.0,Seoul_Grand_Park,2024-01-01 18:08:06
19.0,21.0,Seoul_Grand_Park,2024-01-01 18:08:06
17.0,18.0,Seoul_Grand_Park,2024-01-01 18:08:06
18.0,19.0,Seoul_Grand_Park,2024-01-01 18:08:08
22.0,24.0,Seoul_Grand_Park,2024-01-01 19:08:08
17.0,18.0,Seoul_Grand_Park,2024-01-01 19:08:09
19.0,20.0,Seoul_Grand_Park,2024-01-01 19:08:09
19.0,21.0,Seoul_Grand_Park,2024-01-01 19:08:12
17.0,18.0,Seoul_Grand_Park,2024-01-01 20:08:08
23.0,25.0,Seoul_Grand_Park,2024-01-01 20:08:08
20.0,22.0,Seoul_Grand_Park,2024-01-01 20:08:09
20.0,22.0,Seoul_Grand_Park,2024-01-01 20:08:10
24.0,26.0,Seoul_Grand_Park,2024-01-01 21:08:07
17.0,18.0,Seoul_Grand_Park,2024-01-01 21:08:07
18.0,19.0,Seoul_Grand_Park,2024-01-01 21:08:08
21.0,23.0,Seoul_Grand_Park,2024-01-01 21:08:09
22.0,24.0,Seoul_Grand_Park,2024-01-01 22:08:09
26.0,28.0,Seoul_Grand_Park,2024-01-01 22:08:09
19.0,20.0,Seoul_Grand_Park,2024-01-01 22:08:09
22.0,24.0,Seoul_Grand_Park,2024-01-01 22:08:10
24.0,26.0,Seoul_Grand_Park,2024-01-01 23:08:05
28.0,30.0,Seoul_Grand_Park,2024-01-01 23:08:06
32.0,34.0,Seoul_Grand_Park,2024-01-01 23:08:06
28.0,30.0,Seoul_Grand_Park,2024-01-01 23:08:07
31.0,34.0,Seoul_Grand_Park,2024-01-02 00:08:09
32.0,35.0,Seoul_Grand_Park,2024-01-02 00:08:10
36.0,39.0,Seoul_Grand_Park,2024-01-02 00:08:10
31.0,33.0,Seoul_Grand_Park,2024-01-02 00:08:10
35.0,38.0,Seoul_Grand_Park,2024-01-02 01:08:08
40.0,44.0,Seoul_Grand_Park,2024-01-02 01:08:08
34.0,37.0,Seoul_Grand_Park,2024-01-02 01:08:09
36.0,40.0,Seoul_Grand_Park,2024-01-02 01:08:10
41.0,45.0,Seoul_Grand_Park,2024-01-02 03:08:06
48.0,52.0,Seoul_Grand_Park,2024-01-02 03:08:07
40.0,44.0,Seoul_Grand_Park,2024-01-02 03:08:07
42.0,46.0,Seoul_Grand_Park,2024-01-02 03:08:08
42.0,46.0,Seoul_Grand_Park,2024-01-02 04:08:09
39.0,42.0,Seoul_Grand_Park,2024-01-02 04:08:09
49.0,53.0,Seoul_Grand_Park,2024-01-02 04:08:09
42.0,46.0,Seoul_Grand_Park,2024-01-02 04:08:10
39.0,43.0,Seoul_Grand_Park,2024-01-02 05:08:07
45.0,49.0,Seoul_Grand_Park,2024-01-02 05:08:08
40.0,44.0,Seoul_Grand_Park,2024-01-02 05:08:09
42.0,46.0,Seoul_Grand_Park,2024-01-02 05:08:09
27.0,30.0,Seoul_Grand_Park,2024-01-02 06:08:09
38.0,41.0,Seoul_Grand_Park,2024-01-02 06:08:10
45.0,49.0,Seoul_Grand_Park,2024-01-02 06:08:10
39.0,43.0,Seoul_Grand_Park,2024-01-02 06:08:11
31.0,33.0,Seoul_Grand_Park,2024-01-02 07:08:05
35.0,38.0,Seoul_Grand_Park,2024-01-02 07:08:07
28.0,31.0,Seoul_Grand_Park,2024-01-02 07:08:07
28.0,30.0,Seoul_Grand_Park,2024-01-02 07:08:07
32.0,35.0,Seoul_Grand_Park,2024-01-02 08:08:09
28.0,30.0,Seoul_Grand_Park,2024-01-02 08:08:09
33.0,36.0,Seoul_Grand_Park,2024-01-02 08:08:09
29.0,31.0,Seoul_Grand_Park,2024-01-02 08:08:10
37.0,40.0,Seoul_Grand_Park,2024-01-02 09:08:06
38.0,41.0,Seoul_Grand_Park,2024-01-02 09:08:08
32.0,35.0,Seoul_Grand_Park,2024-01-02 09:08:08
35.0,38.0,Seoul_Grand_Park,2024-01-02 09:08:09
38.0,42.0,Seoul_Grand_Park,2024-01-02 10:08:10
49.0,53.0,Seoul_Grand_Park,2024-01-02 10:08:10
37.0,40.0,Seoul_Grand_Park,2024-01-02 10:08:11
41.0,45.0,Seoul_Grand_Park,2024-01-02 10:08:12
37.0,40.0,Seoul_Grand_Park,2024-01-02 11:08:02
39.0,43.0,Seoul_Grand_Park,2024-01-02 11:08:05
48.0,53.0,Seoul_Grand_Park,2024-01-02 11:08:08
