PM25,PM10,지역명,등록일자
18.0,19.0,강남구,2024-01-01 00:07:58
19.0,20.0,강남구,2024-01-01 00:08:00
30.0,32.0,강남구,2024-01-01 00:08:00
2.0,3.0,강남구,2024-01-01 00:08:00
25.0,27.0,강남구,2024-01-01 00:08:00
23.0,46.0,강남구,2024-01-01 00:08:05
19.0,20.0,강남구,2024-01-01 00:08:05
2.0,3.0,강남구,2024-01-01 00:08:05
16.0,17.0,강남구,2024-01-01 00:08:05
15.0,16.0,강남구,2024-01-01 00:08:24
28.0,30.0,강남구,2024-01-01 00:08:24
22.0,24.0,강남구,2024-01-01 00:08:24
1.0,2.0,강남구,2024-01-01 00:08:26
1.0,2.0,강남구,2024-01-01 00:08:26
17.0,18.0,강남구,2024-01-01 00:08:26
1.0,2.0,강남구,2024-01-01 00:08:26
23.0,25.0,강남구,2024-01-01 00:08:27
11.0,17.0,강남구,2024-01-01 00:08:27
14.0,15.0,강남구,2024-01-01 00:08:27
24.0,26.0,강남구,2024-01-01 00:08:27
34.0,37.0,강남구,2024-01-01 00:08:27
0.0,1000.0,강남구,2024-01-01 00:08:27
5.0,5.0,강남구,2024-01-01 00:08:27
21.0,23.0,강남구,2024-01-01 00:08:27
32.0,35.0,강남구,2024-01-01 00:08:27
23.0,25.0,강남구,2024-01-01 00:08:27
13.0,14.0,강남구,2024-01-01 00:08:27
0.0,1000.0,강남구,2024-01-01 00:08:27
26.0,28.0,강남구,2024-01-01 00:08:27
6.0,7.0,강남구,2024-01-01 00:08:28
30.0,32.0,강남구,2024-01-01 00:08:28
21.0,23.0,강남구,2024-01-01 00:08:28
27.0,29.0,강남구,2024-01-01 00:08:28
0.0,1000.0,강남구,2024-01-01 00:08:28
13.0,14.0,강남구,2024-01-01 00:08:28
22.0,32.0,강남구,2024-01-01 00:08:28
21.0,23.0,강남구,2024-01-01 00:08:28
16.0,17.0,강남구,2024-01-01 00:08:28
1.0,2.0,강남구,2024-01-01 00:08:28
19.0,21.0,강남구,2024-01-01 00:08:28
12.0,13.0,강남구,2024-01-01 00:08:28
2.0,3.0,강남구,2024-01-01 00:08:28
20.0,22.0,강남구,2024-01-01 01:07:57
15.0,16.0,강남구,2024-01-01 01:07:57
18.0,19.0,강남구,2024-01-01 01:07:58
26.0,28.0,강남구,2024-01-01 01:07:58
2.0,3.0,강남구,2024-01-01 01:07:58
2.0,3.0,강남구,2024-01-01 01:07:58
26.0,107.0,강남구,2024-01-01 01:07:59
19.0,22.0,강남구,2024-01-01 01:07:59
1.0,2.0,강남구,2024-01-01 01:08:19
39.0,42.0,강남구,2024-01-01 01:08:20
24.0,26.0,강남구,2024-01-01 01:08:20
24.0,26.0,강남구,2024-01-01 01:08:20
33.0,36.0,강남구,2024-01-01 01:08:20
16.0,17.0,강남구,2024-01-01 01:08:20
5.0,5.0,강남구,2024-01-01 01:08:20
13.0,14.0,강남구,2024-01-01 01:08:20
