PM25,PM10,지역명,등록일자
4.0,5.0,강북구,2024-01-01 00:07:29
11.0,12.0,강북구,2024-01-01 00:07:31
8.0,8.0,강북구,2024-01-01 00:07:31
9.0,10.0,강북구,2024-01-01 00:07:31
8.0,9.0,강북구,2024-01-01 00:07:31
7.0,8.0,강북구,2024-01-01 00:07:31
6.0,7.0,강북구,2024-01-01 00:07:31
14.0,15.0,강북구,2024-01-01 00:07:31
1.0,2.0,강북구,2024-01-01 00:07:31
2.0,3.0,강북구,2024-01-01 00:07:32
33.0,36.0,강북구,2024-01-01 00:07:32
7.0,8.0,강북구,2024-01-01 00:07:32
0.0,1000.0,강북구,2024-01-01 00:07:32
18.0,20.0,강북구,2024-01-01 00:07:32
7.0,8.0,강북구,2024-01-01 00:07:32
6.0,7.0,강북구,2024-01-01 00:07:32
11.0,12.0,강북구,2024-01-01 00:07:33
1.0,2.0,강북구,2024-01-01 00:07:33
7.0,8.0,강북구,2024-01-01 00:07:33
22.0,24.0,강북구,2024-01-01 00:07:33
17.0,18.0,강북구,2024-01-01 00:07:33
11.0,12.0,강북구,2024-01-01 00:07:33
13.0,13.0,강북구,2024-01-01 00:07:33
15.0,16.0,강북구,2024-01-01 00:07:34
1.0,2.0,강북구,2024-01-01 00:07:34
26.0,28.0,강북구,2024-01-01 00:07:34
8.0,9.0,강북구,2024-01-01 00:07:34
8.0,9.0,강북구,2024-01-01 00:07:34
11.0,12.0,강북구,2024-01-01 00:07:34
94.0,103.0,강북구,2024-01-01 00:08:06
44.0,48.0,강북구,2024-01-01 00:08:08
2.0,3.0,강북구,2024-01-01 00:08:10
40.0,44.0,강북구,2024-01-01 00:08:10
8.0,9.0,강북구,2024-01-01 00:08:15
1.0,2.0,강북구,2024-01-01 00:08:16
31.0,34.0,강북구,2024-01-01 01:07:28
6.0,7.0,강북구,2024-01-01 01:07:29
16.0,18.0,강북구,2024-01-01 01:07:29
2.0,3.0,강북구,2024-01-01 01:07:29
4.0,5.0,강북구,2024-01-01 01:07:29
1.0,2.0,강북구,2024-01-01 01:07:29
11.0,12.0,강북구,2024-01-01 01:07:29
7.0,8.0,강북구,2024-01-01 01:07:29
8.0,8.0,강북구,2024-01-01 01:07:29
0.0,1000.0,강북구,2024-01-01 01:07:29
9.0,10.0,강북구,2024-01-01 01:07:29
10.0,11.0,강북구,2024-01-01 01:07:29
7.0,8.0,강북구,2024-01-01 01:07:29
14.0,15.0,강북구,2024-01-01 01:07:29
7.0,8.0,강북구,2024-01-01 01:07:29
12.0,13.0,강북구,2024-01-01 01:07:29
