PM25,PM10,지역명,등록일자
14.0,15.0,강서구,2024-01-01 00:07:53
0.0,1000.0,강서구,2024-01-01 00:07:53
31.0,33.0,강서구,2024-01-01 00:07:54
44.0,48.0,강서구,2024-01-01 00:07:55
30.0,33.0,강서구,2024-01-01 00:07:55
34.0,37.0,강서구,2024-01-01 00:07:55
34.0,37.0,강서구,2024-01-01 00:07:55
25.0,27.0,강서구,2024-01-01 00:07:55
15.0,16.0,강서구,2024-01-01 00:07:55
7.0,8.0,강서구,2024-01-01 00:07:55
19.0,21.0,강서구,2024-01-01 00:07:55
19.0,20.0,강서구,2024-01-01 00:07:55
27.0,29.0,강서구,2024-01-01 00:07:56
15.0,16.0,강서구,2024-01-01 00:07:56
42.0,46.0,강서구,2024-01-01 00:07:56
2.0,3.0,강서구,2024-01-01 00:07:56
20.0,22.0,강서구,2024-01-01 00:07:56
37.0,40.0,강서구,2024-01-01 00:07:56
28.0,30.0,강서구,2024-01-01 00:07:56
38.0,41.0,강서구,2024-01-01 00:07:56
26.0,28.0,강서구,2024-01-01 00:07:56
19.0,20.0,강서구,2024-01-01 00:07:57
3.0,4.0,강서구,2024-01-01 00:07:57
2.0,3.0,강서구,2024-01-01 00:07:57
1.0,2.0,강서구,2024-01-01 00:07:57
35.0,38.0,강서구,2024-01-01 00:07:57
20.0,22.0,강서구,2024-01-01 00:07:57
20.0,22.0,강서구,2024-01-01 00:07:57
33.0,36.0,강서구,2024-01-01 00:08:06
15.0,16.0,강서구,2024-01-01 00:08:07
24.0,26.0,강서구,2024-01-01 00:08:08
39.0,43.0,강서구,2024-01-01 00:08:08
23.0,25.0,강서구,2024-01-01 00:08:09
14.0,15.0,강서구,2024-01-01 00:08:09
40.0,44.0,강서구,2024-01-01 00:08:09
28.0,30.0,강서구,2024-01-01 00:08:09
43.0,47.0,강서구,2024-01-01 00:08:09
15.0,16.0,강서구,2024-01-01 00:08:09
17.0,18.0,강서구,2024-01-01 00:08:10
25.0,27.0,강서구,2024-01-01 00:08:10
32.0,34.0,강서구,2024-01-01 00:08:10
