PM25,PM10,지역명,등록일자
19.0,28.0,광진구,2024-01-01 00:07:23
21.0,23.0,광진구,2024-01-01 00:07:37
15.0,17.0,광진구,2024-01-01 00:07:38
16.0,17.0,광진구,2024-01-01 00:07:39
2.0,3.0,광진구,2024-01-01 00:07:40
27.0,29.0,광진구,2024-01-01 00:07:42
36.0,39.0,광진구,2024-01-01 00:07:43
11.0,12.0,광진구,2024-01-01 00:08:08
1.0,2.0,광진구,2024-01-01 00:08:09
1.0,2.0,광진구,2024-01-01 00:08:09
0.0,1000.0,광진구,2024-01-01 00:08:10
0.0,1000.0,광진구,2024-01-01 00:08:11
8.0,9.0,광진구,2024-01-01 00:08:11
24.0,26.0,광진구,2024-01-01 00:08:12
11.0,12.0,광진구,2024-01-01 00:08:12
2.0,3.0,광진구,2024-01-01 00:08:12
2.0,3.0,광진구,2024-01-01 00:08:12
1.0,2.0,광진구,2024-01-01 00:08:12
39.0,42.0,광진구,2024-01-01 00:08:12
26.0,28.0,광진구,2024-01-01 00:08:12
9.0,10.0,광진구,2024-01-01 00:08:12
2.0,3.0,광진구,2024-01-01 00:08:12
1.0,2.0,광진구,2024-01-01 00:08:13
7.0,8.0,광진구,2024-01-01 00:08:13
0.0,1000.0,광진구,2024-01-01 00:08:13
14.0,15.0,광진구,2024-01-01 00:08:13
8.0,9.0,광진구,2024-01-01 00:08:13
8.0,9.0,광진구,2024-01-01 00:08:13
7.0,8.0,광진구,2024-01-01 00:08:14
18.0,27.0,광진구,2024-01-01 01:07:22
13.0,15.0,광진구,2024-01-01 01:07:37
2.0,3.0,광진구,2024-01-01 01:07:37
27.0,29.0,광진구,2024-01-01 01:07:38
20.0,22.0,광진구,2024-01-01 01:07:39
36.0,39.0,광진구,2024-01-01 01:07:39
13.0,110.0,광진구,2024-01-01 01:07:39
8.0,9.0,광진구,2024-01-01 01:08:03
11.0,12.0,광진구,2024-01-01 01:08:05
23.0,25.0,광진구,2024-01-01 01:08:05
26.0,28.0,광진구,2024-01-01 01:08:06
1.0,2.0,광진구,2024-01-01 01:08:06
13.0,14.0,광진구,2024-01-01 01:08:06
9.0,22.0,광진구,2024-01-01 01:08:06
0.0,1000.0,광진구,2024-01-01 01:08:06
1.0,2.0,광진구,2024-01-01 01:08:06
2.0,3.0,광진구,2024-01-01 01:08:07
9.0,10.0,광진구,2024-01-01 01:08:07
1.0,2.0,광진구,2024-01-01 01:08:07
1.0,2.0,광진구,2024-01-01 01:08:07
8.0,9.0,광진구,2024-01-01 01:08:07
0.0,1000.0,광진구,2024-01-01 01:08:07
9.0,10.0,광진구,2024-01-01 01:08:08
1.0,2.0,광진구,2024-01-01 01:08:08
7.0,11.0,광진구,2024-01-01 01:08:08
1.0,2.0,광진구,2024-01-01 01:08:08
0.0,1000.0,광진구,2024-01-01 01:08:08
9.0,10.0,광진구,2024-01-01 01:08:08
12.0,59.0,광진구,2024-01-01 01:08:08
18.0,27.0,광진구,2024-01-01 02:07:28
12.0,22.0,광진구,2024-01-01 02:08:15
0.0,1000.0,광진구,2024-01-01 02:08:15
0.0,1000.0,광진구,2024-01-01 02:08:15
7.0,191.0,광진구,2024-01-01 02:08:15
0.0,1000.0,광진구,2024-01-01 02:08:15
9.0,11.0,광진구,2024-01-01 02:08:15
13.0,159.0,광진구,2024-01-01 02:08:15
2.0,3.0,광진구,2024-01-01 02:08:15
1.0,2.0,광진구,2024-01-01 02:08:15
17.0,44.0,광진구,2024-01-01 03:07:22
2.0,3.0,광진구,2024-01-01 03:07:35
13.0,15.0,광진구,2024-01-01 03:07:35
29.0,32.0,광진구,2024-01-01 03:07:36
35.0,45.0,광진구,2024-01-01 03:07:37
23.0,24.0,광진구,2024-01-01 03:07:37
12.0,106.0,광진구,2024-01-01 03:07:37
7.0,84.0,광진구,2024-01-01 03:08:03
23.0,25.0,광진구,2024-01-01 03:08:04
0.0,1000.0,광진구,2024-01-01 03:08:05
26.0,28.0,광진구,2024-01-01 03:08:05
10.0,11.0,광진구,2024-01-01 03:08:05
1.0,2.0,광진구,2024-01-01 03:08:05
17.0,142.0,광진구,2024-01-01 03:08:06
1.0,2.0,광진구,2024-01-01 03:08:06
1.0,2.0,광진구,2024-01-01 03:08:06
11.0,12.0,광진구,2024-01-01 03:08:06
9.0,10.0,광진구,2024-01-01 03:08:06
2.0,3.0,광진구,2024-01-01 03:08:06
11.0,12.0,광진구,2024-01-01 03:08:06
7.0,310.0,광진구,2024-01-01 03:08:06
1.0,2.0,광진구,2024-01-01 03:08:07
12.0,16.0,광진구,2024-01-01 03:08:07
0.0,1000.0,광진구,2024-01-01 03:08:07
0.0,1000.0,광진구,2024-01-01 03:08:07
13.0,69.0,광진구,2024-01-01 03:08:07
2.0,3.0,광진구,2024-01-01 03:08:07
10.0,11.0,광진구,2024-01-01 03:08:07
1.0,2.0,광진구,2024-01-01 03:08:07
19.0,41.0,광진구,2024-01-01 04:07:21
43.0,47.0,광진구,2024-01-01 04:07:35
16.0,72.0,광진구,2024-01-01 04:07:35
1.0,2.0,광진구,2024-01-01 04:07:36
15.0,16.0,광진구,2024-01-01 04:07:36
29.0,31.0,광진구,2024-01-01 04:07:37
16.0,56.0,광진구,2024-01-01 04:07:37
10.0,11.0,광진구,2024-01-01 04:08:00
2.0,3.0,광진구,2024-01-01 04:08:01
24.0,26.0,광진구,2024-01-01 04:08:02
12.0,13.0,광진구,2024-01-01 04:08:02
22.0,24.0,광진구,2024-01-01 04:08:02
20.0,25.0,광진구,2024-01-01 04:08:03
11.0,12.0,광진구,2024-01-01 04:08:03
16.0,44.0,광진구,2024-01-01 04:08:03
15.0,16.0,광진구,2024-01-01 04:08:03
1.0,2.0,광진구,2024-01-01 04:08:03
2.0,3.0,광진구,2024-01-01 04:08:03
0.0,1000.0,광진구,2024-01-01 04:08:03
13.0,16.0,광진구,2024-01-01 04:08:04
1.0,2.0,광진구,2024-01-01 04:08:04
0.0,1000.0,광진구,2024-01-01 04:08:04
1.0,2.0,광진구,2024-01-01 04:08:04
10.0,11.0,광진구,2024-01-01 04:08:04
15.0,16.0,광진구,2024-01-01 04:08:04
12.0,66.0,광진구,2024-01-01 04:08:04
0.0,1000.0,광진구,2024-01-01 04:08:04
1.0,2.0,광진구,2024-01-01 04:08:05
3.0,4.0,광진구,2024-01-01 04:08:05
