PM25,PM10,지역명,등록일자
36.0,39.0,구로구,2024-01-01 00:07:48
9.0,10.0,구로구,2024-01-01 00:07:49
1.0,2.0,구로구,2024-01-01 00:07:50
30.0,33.0,구로구,2024-01-01 00:07:50
14.0,15.0,구로구,2024-01-01 00:07:51
2.0,3.0,구로구,2024-01-01 00:07:52
25.0,27.0,구로구,2024-01-01 00:07:52
18.0,19.0,구로구,2024-01-01 00:07:52
19.0,20.0,구로구,2024-01-01 00:08:09
37.0,41.0,구로구,2024-01-01 00:08:09
1.0,2.0,구로구,2024-01-01 00:08:11
8.0,9.0,구로구,2024-01-01 00:08:11
57.0,62.0,구로구,2024-01-01 00:08:11
16.0,17.0,구로구,2024-01-01 00:08:12
1.0,2.0,구로구,2024-01-01 00:08:12
0.0,1000.0,구로구,2024-01-01 00:08:12
1.0,2.0,구로구,2024-01-01 00:08:12
15.0,16.0,구로구,2024-01-01 00:08:12
2.0,3.0,구로구,2024-01-01 00:08:13
27.0,30.0,구로구,2024-01-01 00:08:13
22.0,24.0,구로구,2024-01-01 00:08:13
24.0,26.0,구로구,2024-01-01 00:08:13
24.0,26.0,구로구,2024-01-01 00:08:14
11.0,12.0,구로구,2024-01-01 00:08:14
23.0,25.0,구로구,2024-01-01 00:08:14
22.0,24.0,구로구,2024-01-01 00:08:14
2.0,3.0,구로구,2024-01-01 00:08:15
8.0,9.0,구로구,2024-01-01 00:08:15
15.0,16.0,구로구,2024-01-01 01:07:48
2.0,3.0,구로구,2024-01-01 01:07:49
33.0,36.0,구로구,2024-01-01 01:07:49
36.0,39.0,구로구,2024-01-01 01:07:49
10.0,11.0,구로구,2024-01-01 01:07:49
20.0,21.0,구로구,2024-01-01 01:07:49
28.0,30.0,구로구,2024-01-01 01:07:50
1.0,2.0,구로구,2024-01-01 01:07:50
1.0,2.0,구로구,2024-01-01 01:08:03
1.0,2.0,구로구,2024-01-01 01:08:04
26.0,28.0,구로구,2024-01-01 01:08:05
27.0,29.0,구로구,2024-01-01 01:08:06
18.0,19.0,구로구,2024-01-01 01:08:06
25.0,27.0,구로구,2024-01-01 01:08:06
0.0,1000.0,구로구,2024-01-01 01:08:06
41.0,45.0,구로구,2024-01-01 01:08:06
