PM25,PM10,지역명,등록일자
24.0,26.0,금천구,2024-01-01 00:07:49
23.0,25.0,금천구,2024-01-01 00:07:50
24.0,26.0,금천구,2024-01-01 00:07:50
22.0,24.0,금천구,2024-01-01 00:07:51
26.0,28.0,금천구,2024-01-01 00:07:51
27.0,29.0,금천구,2024-01-01 00:07:51
1.0,2.0,금천구,2024-01-01 00:07:51
11.0,12.0,금천구,2024-01-01 00:07:51
13.0,14.0,금천구,2024-01-01 00:07:51
21.0,23.0,금천구,2024-01-01 00:07:51
25.0,27.0,금천구,2024-01-01 00:07:51
18.0,19.0,금천구,2024-01-01 00:07:52
8.0,9.0,금천구,2024-01-01 00:07:52
1.0,2.0,금천구,2024-01-01 00:07:52
13.0,14.0,금천구,2024-01-01 00:07:52
24.0,26.0,금천구,2024-01-01 00:07:52
22.0,24.0,금천구,2024-01-01 00:07:52
1.0,2.0,금천구,2024-01-01 00:07:52
32.0,35.0,금천구,2024-01-01 00:07:52
1.0,2.0,금천구,2024-01-01 00:07:53
25.0,27.0,금천구,2024-01-01 00:07:53
34.0,37.0,금천구,2024-01-01 00:07:53
9.0,10.0,금천구,2024-01-01 00:07:53
21.0,23.0,금천구,2024-01-01 01:07:43
28.0,29.0,금천구,2024-01-01 01:07:44
23.0,25.0,금천구,2024-01-01 01:07:46
26.0,28.0,금천구,2024-01-01 01:07:47
8.0,9.0,금천구,2024-01-01 01:07:49
12.0,13.0,금천구,2024-01-01 01:07:49
1.0,2.0,금천구,2024-01-01 01:07:49
27.0,29.0,금천구,2024-01-01 01:07:49
24.0,26.0,금천구,2024-01-01 01:07:49
24.0,26.0,금천구,2024-01-01 01:07:49
9.0,10.0,금천구,2024-01-01 01:07:49
10.0,11.0,금천구,2024-01-01 01:07:50
1.0,2.0,금천구,2024-01-01 01:07:50
18.0,19.0,금천구,2024-01-01 01:07:50
22.0,24.0,금천구,2024-01-01 01:07:50
37.0,41.0,금천구,2024-01-01 01:07:50
1.0,2.0,금천구,2024-01-01 01:07:50
1.0,2.0,금천구,2024-01-01 01:07:50
28.0,30.0,금천구,2024-01-01 01:07:50
35.0,37.0,금천구,2024-01-01 01:07:51
26.0,28.0,금천구,2024-01-01 01:07:51
13.0,14.0,금천구,2024-01-01 01:07:51
22.0,24.0,금천구,2024-01-01 01:07:51
21.0,23.0,금천구,2024-01-01 03:07:46
13.0,14.0,금천구,2024-01-01 03:07:46
15.0,16.0,금천구,2024-01-01 03:07:47
23.0,25.0,금천구,2024-01-01 03:07:47
20.0,21.0,금천구,2024-01-01 03:07:47
27.0,29.0,금천구,2024-01-01 03:07:47
30.0,33.0,금천구,2024-01-01 03:07:47
28.0,29.0,금천구,2024-01-01 03:07:47
24.0,26.0,금천구,2024-01-01 03:07:48
28.0,30.0,금천구,2024-01-01 03:07:48
1.0,2.0,금천구,2024-01-01 03:07:48
10.0,11.0,금천구,2024-01-01 03:07:48
8.0,9.0,금천구,2024-01-01 03:07:48
10.0,11.0,금천구,2024-01-01 03:07:48
1.0,2.0,금천구,2024-01-01 03:07:49
43.0,47.0,금천구,2024-01-01 03:07:49
1.0,2.0,금천구,2024-01-01 03:07:49
1.0,2.0,금천구,2024-01-01 03:07:49
22.0,24.0,금천구,2024-01-01 03:07:49
22.0,24.0,금천구,2024-01-01 03:07:49
28.0,30.0,금천구,2024-01-01 03:07:49
38.0,41.0,금천구,2024-01-01 03:07:49
28.0,30.0,금천구,2024-01-01 03:07:49
11.0,12.0,금천구,2024-01-01 04:07:43
26.0,29.0,금천구,2024-01-01 04:07:43
25.0,27.0,금천구,2024-01-01 04:07:46
36.0,39.0,금천구,2024-01-01 04:07:46
29.0,31.0,금천구,2024-01-01 04:07:46
21.0,23.0,금천구,2024-01-01 04:07:46
31.0,34.0,금천구,2024-01-01 04:07:46
24.0,26.0,금천구,2024-01-01 04:07:46
23.0,25.0,금천구,2024-01-01 04:07:47
28.0,30.0,금천구,2024-01-01 04:07:47
28.0,30.0,금천구,2024-01-01 04:07:47
13.0,14.0,금천구,2024-01-01 04:07:47
22.0,24.0,금천구,2024-01-01 04:07:47
1.0,2.0,금천구,2024-01-01 04:07:47
30.0,33.0,금천구,2024-01-01 04:07:47
10.0,11.0,금천구,2024-01-01 04:07:47
27.0,29.0,금천구,2024-01-01 04:07:48
1.0,2.0,금천구,2024-01-01 04:07:48
1.0,2.0,금천구,2024-01-01 04:07:48
15.0,16.0,금천구,2024-01-01 04:07:48
1.0,2.0,금천구,2024-01-01 04:07:48
8.0,9.0,금천구,2024-01-01 04:07:48
40.0,43.0,금천구,2024-01-01 04:07:48
24.0,26.0,금천구,2024-01-01 05:07:43
27.0,29.0,금천구,2024-01-01 05:07:47
21.0,23.0,금천구,2024-01-01 05:07:47
1.0,2.0,금천구,2024-01-01 05:07:47
22.0,24.0,금천구,2024-01-01 05:07:47
32.0,35.0,금천구,2024-01-01 05:07:47
26.0,28.0,금천구,2024-01-01 05:07:48
12.0,13.0,금천구,2024-01-01 05:07:48
16.0,17.0,금천구,2024-01-01 05:07:48
10.0,11.0,금천구,2024-01-01 05:07:48
27.0,29.0,금천구,2024-01-01 05:07:48
27.0,29.0,금천구,2024-01-01 05:07:48
35.0,38.0,금천구,2024-01-01 05:07:48
23.0,25.0,금천구,2024-01-01 05:07:48
27.0,29.0,금천구,2024-01-01 05:07:48
39.0,42.0,금천구,2024-01-01 05:07:48
8.0,9.0,금천구,2024-01-01 05:07:49
1.0,2.0,금천구,2024-01-01 05:07:49
1.0,2.0,금천구,2024-01-01 05:07:49
31.0,34.0,금천구,2024-01-01 05:07:49
10.0,11.0,금천구,2024-01-01 05:07:49
25.0,27.0,금천구,2024-01-01 05:07:49
1.0,2.0,금천구,2024-01-01 05:07:49
1.0,2.0,금천구,2024-01-01 06:07:47
11.0,12.0,금천구,2024-01-01 06:07:48
32.0,35.0,금천구,2024-01-01 06:07:49
24.0,26.0,금천구,2024-01-01 06:07:50
31.0,34.0,금천구,2024-01-01 06:07:50
25.0,27.0,금천구,2024-01-01 06:07:50
20.0,22.0,금천구,2024-01-01 06:07:50
22.0,24.0,금천구,2024-01-01 06:07:51
8.0,9.0,금천구,2024-01-01 06:07:51
28.0,30.0,금천구,2024-01-01 06:07:51
11.0,12.0,금천구,2024-01-01 06:07:51
25.0,27.0,금천구,2024-01-01 06:07:51
28.0,30.0,금천구,2024-01-01 06:07:51
16.0,17.0,금천구,2024-01-01 06:07:51
1.0,2.0,금천구,2024-01-01 06:07:51
28.0,30.0,금천구,2024-01-01 06:07:51
1.0,2.0,금천구,2024-01-01 06:07:52
35.0,38.0,금천구,2024-01-01 06:07:52
24.0,26.0,금천구,2024-01-01 06:07:52
10.0,11.0,금천구,2024-01-01 06:07:52
27.0,29.0,금천구,2024-01-01 06:07:52
40.0,44.0,금천구,2024-01-01 06:07:52
1.0,2.0,금천구,2024-01-01 06:07:53
23.0,25.0,금천구,2024-01-01 07:07:47
37.0,40.0,금천구,2024-01-01 07:07:47
31.0,34.0,금천구,2024-01-01 07:07:47
25.0,27.0,금천구,2024-01-01 07:07:48
9.0,10.0,금천구,2024-01-01 07:07:49
26.0,28.0,금천구,2024-01-01 07:07:50
24.0,26.0,금천구,2024-01-01 07:07:50
1.0,2.0,금천구,2024-01-01 07:07:50
19.0,21.0,금천구,2024-01-01 07:07:50
27.0,29.0,금천구,2024-01-01 07:07:50
23.0,25.0,금천구,2024-01-01 07:07:51
29.0,31.0,금천구,2024-01-01 07:07:51
1.0,2.0,금천구,2024-01-01 07:07:51
26.0,28.0,금천구,2024-01-01 07:07:51
10.0,11.0,금천구,2024-01-01 07:07:51
25.0,27.0,금천구,2024-01-01 07:07:51
24.0,26.0,금천구,2024-01-01 07:07:51
33.0,36.0,금천구,2024-01-01 07:07:51
1.0,2.0,금천구,2024-01-01 07:07:52
15.0,16.0,금천구,2024-01-01 07:07:52
1.0,2.0,금천구,2024-01-01 07:07:52
9.0,10.0,금천구,2024-01-01 07:07:52
7.0,8.0,금천구,2024-01-01 07:07:53
10.0,11.0,금천구,2024-01-01 08:07:44
23.0,25.0,금천구,2024-01-01 08:07:46
