PM25,PM10,지역명,등록일자
15.0,16.0,노원구,2024-01-01 00:07:49
25.0,27.0,노원구,2024-01-01 00:07:50
16.0,17.0,노원구,2024-01-01 00:07:52
0.0,1000.0,노원구,2024-01-01 00:07:52
13.0,14.0,노원구,2024-01-01 00:07:52
1.0,2.0,노원구,2024-01-01 00:07:53
10.0,11.0,노원구,2024-01-01 00:07:53
1.0,2.0,노원구,2024-01-01 00:07:53
,,노원구,2024-01-01 00:07:53
2.0,3.0,노원구,2024-01-01 00:07:53
1.0,2.0,노원구,2024-01-01 00:07:54
1.0,2.0,노원구,2024-01-01 00:07:54
15.0,17.0,노원구,2024-01-01 00:07:54
5.0,6.0,노원구,2024-01-01 00:07:54
10.0,11.0,노원구,2024-01-01 00:07:54
16.0,17.0,노원구,2024-01-01 00:07:54
7.0,8.0,노원구,2024-01-01 00:07:54
3.0,4.0,노원구,2024-01-01 00:07:54
1.0,2.0,노원구,2024-01-01 00:07:54
8.0,9.0,노원구,2024-01-01 00:07:54
10.0,11.0,노원구,2024-01-01 00:07:56
42.0,42.0,노원구,2024-01-01 00:07:57
17.0,18.0,노원구,2024-01-01 00:07:58
11.0,12.0,노원구,2024-01-01 00:07:58
13.0,14.0,노원구,2024-01-01 00:07:59
2.0,3.0,노원구,2024-01-01 00:07:59
1.0,2.0,노원구,2024-01-01 00:07:59
11.0,12.0,노원구,2024-01-01 00:07:59
13.0,14.0,노원구,2024-01-01 00:07:59
7.0,8.0,노원구,2024-01-01 00:07:59
13.0,14.0,노원구,2024-01-01 00:07:59
23.0,25.0,노원구,2024-01-01 00:07:59
10.0,11.0,노원구,2024-01-01 00:07:59
11.0,12.0,노원구,2024-01-01 01:07:49
16.0,17.0,노원구,2024-01-01 01:07:50
25.0,27.0,노원구,2024-01-01 01:07:50
0.0,1000.0,노원구,2024-01-01 01:07:50
1.0,2.0,노원구,2024-01-01 01:07:50
16.0,17.0,노원구,2024-01-01 01:07:51
10.0,11.0,노원구,2024-01-01 01:07:51
6.0,7.0,노원구,2024-01-01 01:07:51
1.0,2.0,노원구,2024-01-01 01:07:51
11.0,12.0,노원구,2024-01-01 01:07:51
8.0,9.0,노원구,2024-01-01 01:07:51
10.0,11.0,노원구,2024-01-01 01:07:52
15.0,16.0,노원구,2024-01-01 01:07:52
8.0,9.0,노원구,2024-01-01 01:07:52
14.0,15.0,노원구,2024-01-01 01:07:52
,,노원구,2024-01-01 01:07:52
1.0,2.0,노원구,2024-01-01 01:07:52
2.0,3.0,노원구,2024-01-01 01:07:52
1.0,2.0,노원구,2024-01-01 01:07:52
3.0,4.0,노원구,2024-01-01 01:07:52
1.0,2.0,노원구,2024-01-01 01:07:52
11.0,12.0,노원구,2024-01-01 01:07:54
15.0,16.0,노원구,2024-01-01 01:07:54
8.0,11.0,노원구,2024-01-01 01:07:54
36.0,37.0,노원구,2024-01-01 01:07:56
10.0,11.0,노원구,2024-01-01 01:07:56
14.0,15.0,노원구,2024-01-01 01:07:56
1.0,2.0,노원구,2024-01-01 01:07:56
12.0,13.0,노원구,2024-01-01 01:07:56
14.0,15.0,노원구,2024-01-01 01:07:57
10.0,11.0,노원구,2024-01-01 01:07:57
1.0,2.0,노원구,2024-01-01 01:07:57
19.0,21.0,노원구,2024-01-01 01:07:57
39.0,39.0,노원구,2024-01-01 02:08:02
1.0,2.0,노원구,2024-01-01 02:08:02
10.0,11.0,노원구,2024-01-01 02:08:02
1.0,2.0,노원구,2024-01-01 02:08:02
8.0,9.0,노원구,2024-01-01 02:08:02
14.0,15.0,노원구,2024-01-01 02:08:02
9.0,10.0,노원구,2024-01-01 02:08:02
19.0,21.0,노원구,2024-01-01 02:08:02
14.0,15.0,노원구,2024-01-01 02:08:02
13.0,14.0,노원구,2024-01-01 02:08:02
11.0,12.0,노원구,2024-01-01 02:08:15
13.0,14.0,노원구,2024-01-01 02:08:15
23.0,25.0,노원구,2024-01-01 03:07:46
1.0,2.0,노원구,2024-01-01 03:07:48
0.0,1000.0,노원구,2024-01-01 03:07:48
,,노원구,2024-01-01 03:07:49
10.0,11.0,노원구,2024-01-01 03:07:49
15.0,16.0,노원구,2024-01-01 03:07:50
1.0,2.0,노원구,2024-01-01 03:07:50
1.0,2.0,노원구,2024-01-01 03:07:50
10.0,11.0,노원구,2024-01-01 03:07:50
16.0,17.0,노원구,2024-01-01 03:07:50
9.0,10.0,노원구,2024-01-01 03:07:50
