PM25,PM10,지역명,등록일자
2.0,3.0,도봉구,2024-01-01 00:07:50
19.0,20.0,도봉구,2024-01-01 00:07:51
19.0,20.0,도봉구,2024-01-01 00:07:52
26.0,28.0,도봉구,2024-01-01 00:07:52
10.0,11.0,도봉구,2024-01-01 00:07:52
13.0,14.0,도봉구,2024-01-01 00:07:52
13.0,14.0,도봉구,2024-01-01 00:07:52
2.0,3.0,도봉구,2024-01-01 00:07:53
10.0,11.0,도봉구,2024-01-01 00:07:54
12.0,13.0,도봉구,2024-01-01 00:07:54
17.0,18.0,도봉구,2024-01-01 00:07:54
14.0,15.0,도봉구,2024-01-01 00:07:54
9.0,10.0,도봉구,2024-01-01 00:07:54
20.0,22.0,도봉구,2024-01-01 00:07:54
16.0,17.0,도봉구,2024-01-01 00:07:54
9.0,10.0,도봉구,2024-01-01 00:07:54
15.0,16.0,도봉구,2024-01-01 00:07:55
1.0,2.0,도봉구,2024-01-01 00:07:57
8.0,9.0,도봉구,2024-01-01 00:07:58
4.0,5.0,도봉구,2024-01-01 00:07:59
12.0,13.0,도봉구,2024-01-01 00:07:59
10.0,11.0,도봉구,2024-01-01 00:07:59
10.0,11.0,도봉구,2024-01-01 00:07:59
3.0,4.0,도봉구,2024-01-01 00:07:59
6.0,6.0,도봉구,2024-01-01 00:07:59
4.0,5.0,도봉구,2024-01-01 00:07:59
15.0,16.0,도봉구,2024-01-01 00:08:00
1.0,2.0,도봉구,2024-01-01 00:08:00
1.0,2.0,도봉구,2024-01-01 00:08:00
5.0,6.0,도봉구,2024-01-01 00:08:00
13.0,14.0,도봉구,2024-01-01 00:08:00
1.0,2.0,도봉구,2024-01-01 00:08:05
5.0,6.0,도봉구,2024-01-01 00:08:05
5.0,6.0,도봉구,2024-01-01 00:08:05
8.0,9.0,도봉구,2024-01-01 00:08:05
1.0,2.0,도봉구,2024-01-01 00:08:05
6.0,7.0,도봉구,2024-01-01 00:08:05
12.0,13.0,도봉구,2024-01-01 00:08:05
15.0,16.0,도봉구,2024-01-01 00:08:05
11.0,12.0,도봉구,2024-01-01 00:08:05
18.0,19.0,도봉구,2024-01-01 01:07:44
1.0,2.0,도봉구,2024-01-01 01:07:49
19.0,20.0,도봉구,2024-01-01 01:07:49
27.0,29.0,도봉구,2024-01-01 01:07:50
13.0,14.0,도봉구,2024-01-01 01:07:51
12.0,13.0,도봉구,2024-01-01 01:07:52
14.0,15.0,도봉구,2024-01-01 01:07:52
10.0,11.0,도봉구,2024-01-01 01:07:52
1.0,2.0,도봉구,2024-01-01 01:07:52
21.0,23.0,도봉구,2024-01-01 01:07:52
10.0,11.0,도봉구,2024-01-01 01:07:53
10.0,11.0,도봉구,2024-01-01 01:07:53
16.0,17.0,도봉구,2024-01-01 01:07:53
14.0,15.0,도봉구,2024-01-01 01:07:53
17.0,18.0,도봉구,2024-01-01 01:07:53
16.0,17.0,도봉구,2024-01-01 01:07:53
5.0,5.0,도봉구,2024-01-01 01:07:53
10.0,11.0,도봉구,2024-01-01 01:07:53
4.0,5.0,도봉구,2024-01-01 01:07:54
10.0,11.0,도봉구,2024-01-01 01:07:56
1.0,2.0,도봉구,2024-01-01 01:07:57
6.0,7.0,도봉구,2024-01-01 01:07:57
1.0,2.0,도봉구,2024-01-01 01:07:57
11.0,12.0,도봉구,2024-01-01 01:07:57
4.0,5.0,도봉구,2024-01-01 01:07:57
10.0,11.0,도봉구,2024-01-01 01:07:57
1.0,2.0,도봉구,2024-01-01 01:07:57
14.0,15.0,도봉구,2024-01-01 01:07:57
1.0,2.0,도봉구,2024-01-01 01:07:58
13.0,14.0,도봉구,2024-01-01 01:07:58
12.0,13.0,도봉구,2024-01-01 01:07:58
5.0,6.0,도봉구,2024-01-01 01:07:58
8.0,9.0,도봉구,2024-01-01 01:07:58
5.0,6.0,도봉구,2024-01-01 01:07:58
14.0,15.0,도봉구,2024-01-01 01:07:58
1.0,2.0,도봉구,2024-01-01 01:07:58
5.0,6.0,도봉구,2024-01-01 01:07:58
8.0,9.0,도봉구,2024-01-01 01:07:58
