PM25,PM10,지역명,등록일자
13.0,14.0,동대문구,2024-01-01 00:07:59
9.0,10.0,동대문구,2024-01-01 00:08:05
15.0,16.0,동대문구,2024-01-01 00:08:05
12.0,13.0,동대문구,2024-01-01 00:08:05
72.0,78.0,동대문구,2024-01-01 00:08:05
23.0,25.0,동대문구,2024-01-01 00:08:05
18.0,19.0,동대문구,2024-01-01 00:08:05
12.0,13.0,동대문구,2024-01-01 00:08:05
16.0,17.0,동대문구,2024-01-01 00:08:06
23.0,25.0,동대문구,2024-01-01 00:08:06
16.0,17.0,동대문구,2024-01-01 00:08:06
1.0,2.0,동대문구,2024-01-01 00:08:06
14.0,15.0,동대문구,2024-01-01 00:08:06
12.0,13.0,동대문구,2024-01-01 00:08:06
19.0,20.0,동대문구,2024-01-01 00:08:06
28.0,30.0,동대문구,2024-01-01 00:08:06
0.0,1000.0,동대문구,2024-01-01 00:08:06
15.0,16.0,동대문구,2024-01-01 00:08:06
1.0,2.0,동대문구,2024-01-01 00:08:06
22.0,24.0,동대문구,2024-01-01 00:08:06
2.0,3.0,동대문구,2024-01-01 00:08:06
28.0,30.0,동대문구,2024-01-01 00:08:07
24.0,26.0,동대문구,2024-01-01 00:08:07
13.0,14.0,동대문구,2024-01-01 00:08:07
49.0,53.0,동대문구,2024-01-01 00:08:08
9.0,10.0,동대문구,2024-01-01 01:07:57
2.0,3.0,동대문구,2024-01-01 01:07:58
22.0,24.0,동대문구,2024-01-01 01:07:58
11.0,12.0,동대문구,2024-01-01 01:07:59
12.0,13.0,동대문구,2024-01-01 01:07:59
18.0,19.0,동대문구,2024-01-01 01:08:00
0.0,1000.0,동대문구,2024-01-01 01:08:00
1.0,2.0,동대문구,2024-01-01 01:08:00
12.0,13.0,동대문구,2024-01-01 01:08:00
15.0,16.0,동대문구,2024-01-01 01:08:01
22.0,24.0,동대문구,2024-01-01 01:08:01
15.0,16.0,동대문구,2024-01-01 01:08:01
15.0,16.0,동대문구,2024-01-01 01:08:01
27.0,29.0,동대문구,2024-01-01 01:08:01
14.0,15.0,동대문구,2024-01-01 01:08:01
23.0,25.0,동대문구,2024-01-01 01:08:02
14.0,15.0,동대문구,2024-01-01 01:08:02
17.0,18.0,동대문구,2024-01-01 01:08:02
12.0,13.0,동대문구,2024-01-01 01:08:02
27.0,29.0,동대문구,2024-01-01 01:08:02
10.0,11.0,동대문구,2024-01-01 01:08:02
20.0,22.0,동대문구,2024-01-01 01:08:02
14.0,15.0,동대문구,2024-01-01 01:08:02
1.0,2.0,동대문구,2024-01-01 01:08:03
43.0,47.0,동대문구,2024-01-01 01:08:04
14.0,15.0,동대문구,2024-01-01 03:07:58
0.0,1000.0,동대문구,2024-01-01 03:07:58
17.0,18.0,동대문구,2024-01-01 03:07:59
19.0,21.0,동대문구,2024-01-01 03:07:59
11.0,12.0,동대문구,2024-01-01 03:07:59
17.0,18.0,동대문구,2024-01-01 03:07:59
12.0,13.0,동대문구,2024-01-01 03:07:59
12.0,13.0,동대문구,2024-01-01 03:07:59
16.0,17.0,동대문구,2024-01-01 03:08:00
28.0,30.0,동대문구,2024-01-01 03:08:00
18.0,19.0,동대문구,2024-01-01 03:08:00
28.0,31.0,동대문구,2024-01-01 03:08:00
13.0,14.0,동대문구,2024-01-01 03:08:00
10.0,11.0,동대문구,2024-01-01 03:08:00
15.0,16.0,동대문구,2024-01-01 03:08:00
1.0,2.0,동대문구,2024-01-01 03:08:00
30.0,33.0,동대문구,2024-01-01 03:08:00
11.0,12.0,동대문구,2024-01-01 03:08:00
2.0,3.0,동대문구,2024-01-01 03:08:01
20.0,22.0,동대문구,2024-01-01 03:08:01
1.0,2.0,동대문구,2024-01-01 03:08:01
15.0,16.0,동대문구,2024-01-01 03:08:01
17.0,18.0,동대문구,2024-01-01 03:08:01
25.0,27.0,동대문구,2024-01-01 03:08:02
46.0,51.0,동대문구,2024-01-01 03:08:04
23.0,25.0,동대문구,2024-01-01 04:07:54
1.0,2.0,동대문구,2024-01-01 04:07:57
29.0,32.0,동대문구,2024-01-01 04:07:57
19.0,20.0,동대문구,2024-01-01 04:07:57
34.0,37.0,동대문구,2024-01-01 04:07:57
13.0,14.0,동대문구,2024-01-01 04:07:57
12.0,13.0,동대문구,2024-01-01 04:07:57
12.0,13.0,동대문구,2024-01-01 04:07:57
0.0,1000.0,동대문구,2024-01-01 04:07:57
16.0,17.0,동대문구,2024-01-01 04:07:57
25.0,27.0,동대문구,2024-01-01 04:07:57
17.0,18.0,동대문구,2024-01-01 04:07:58
12.0,13.0,동대문구,2024-01-01 04:07:58
33.0,35.0,동대문구,2024-01-01 04:07:58
33.0,36.0,동대문구,2024-01-01 04:07:58
13.0,16.0,동대문구,2024-01-01 04:07:58
20.0,22.0,동대문구,2024-01-01 04:07:58
2.0,3.0,동대문구,2024-01-01 04:07:58
24.0,39.0,동대문구,2024-01-01 04:07:58
18.0,20.0,동대문구,2024-01-01 04:07:58
18.0,20.0,동대문구,2024-01-01 04:07:58
17.0,18.0,동대문구,2024-01-01 04:07:58
28.0,30.0,동대문구,2024-01-01 04:07:59
1.0,2.0,동대문구,2024-01-01 04:07:59
50.0,54.0,동대문구,2024-01-01 04:08:00
14.0,15.0,동대문구,2024-01-01 05:07:55
27.0,29.0,동대문구,2024-01-01 05:07:57
19.0,20.0,동대문구,2024-01-01 05:07:57
30.0,32.0,동대문구,2024-01-01 05:07:57
24.0,26.0,동대문구,2024-01-01 05:07:58
15.0,16.0,동대문구,2024-01-01 05:07:58
12.0,13.0,동대문구,2024-01-01 05:07:59
1.0,2.0,동대문구,2024-01-01 05:07:59
0.0,1000.0,동대문구,2024-01-01 05:07:59
13.0,14.0,동대문구,2024-01-01 05:07:59
22.0,24.0,동대문구,2024-01-01 05:07:59
22.0,24.0,동대문구,2024-01-01 05:07:59
20.0,21.0,동대문구,2024-01-01 05:07:59
17.0,18.0,동대문구,2024-01-01 05:08:00
14.0,15.0,동대문구,2024-01-01 05:08:00
1.0,2.0,동대문구,2024-01-01 05:08:00
31.0,34.0,동대문구,2024-01-01 05:08:00
30.0,33.0,동대문구,2024-01-01 05:08:00
15.0,16.0,동대문구,2024-01-01 05:08:00
22.0,24.0,동대문구,2024-01-01 05:08:00
2.0,3.0,동대문구,2024-01-01 05:08:00
23.0,25.0,동대문구,2024-01-01 05:08:00
17.0,18.0,동대문구,2024-01-01 05:08:01
19.0,20.0,동대문구,2024-01-01 05:08:01
41.0,46.0,동대문구,2024-01-01 05:08:03
16.0,17.0,동대문구,2024-01-01 06:07:59
14.0,15.0,동대문구,2024-01-01 06:08:01
16.0,17.0,동대문구,2024-01-01 06:08:02
10.0,11.0,동대문구,2024-01-01 06:08:02
