PM25,PM10,지역명,등록일자
30.0,33.0,동작구,2024-01-01 00:08:05
34.0,37.0,동작구,2024-01-01 00:08:05
10.0,11.0,동작구,2024-01-01 00:08:06
2.0,3.0,동작구,2024-01-01 00:08:06
44.0,48.0,동작구,2024-01-01 00:08:07
32.0,35.0,동작구,2024-01-01 00:08:08
1.0,2.0,동작구,2024-01-01 00:08:25
20.0,22.0,동작구,2024-01-01 00:08:26
21.0,23.0,동작구,2024-01-01 00:08:26
11.0,12.0,동작구,2024-01-01 00:08:26
32.0,35.0,동작구,2024-01-01 00:08:27
1.0,2.0,동작구,2024-01-01 00:08:27
25.0,27.0,동작구,2024-01-01 00:08:27
28.0,30.0,동작구,2024-01-01 00:08:27
20.0,22.0,동작구,2024-01-01 00:08:28
5.0,6.0,동작구,2024-01-01 00:08:28
22.0,24.0,동작구,2024-01-01 00:08:28
1.0,2.0,동작구,2024-01-01 00:08:28
16.0,17.0,동작구,2024-01-01 00:08:28
24.0,26.0,동작구,2024-01-01 00:08:28
1.0,2.0,동작구,2024-01-01 00:08:28
,,동작구,2024-01-01 00:08:28
17.0,18.0,동작구,2024-01-01 00:08:28
17.0,18.0,동작구,2024-01-01 00:08:28
1.0,2.0,동작구,2024-01-01 00:08:28
1.0,2.0,동작구,2024-01-01 00:08:28
24.0,26.0,동작구,2024-01-01 00:08:28
30.0,46.0,동작구,2024-01-01 00:08:28
35.0,38.0,동작구,2024-01-01 01:07:59
32.0,35.0,동작구,2024-01-01 01:08:01
10.0,11.0,동작구,2024-01-01 01:08:02
43.0,47.0,동작구,2024-01-01 01:08:03
1.0,2.0,동작구,2024-01-01 01:08:03
30.0,33.0,동작구,2024-01-01 01:08:03
1.0,2.0,동작구,2024-01-01 01:08:20
20.0,22.0,동작구,2024-01-01 01:08:20
1.0,2.0,동작구,2024-01-01 01:08:20
1.0,2.0,동작구,2024-01-01 01:08:20
30.0,46.0,동작구,2024-01-01 01:08:20
33.0,36.0,동작구,2024-01-01 01:08:20
28.0,30.0,동작구,2024-01-01 01:08:20
17.0,18.0,동작구,2024-01-01 01:08:20
30.0,33.0,동작구,2024-01-01 01:08:20
27.0,29.0,동작구,2024-01-01 01:08:20
1.0,2.0,동작구,2024-01-01 01:08:20
1.0,2.0,동작구,2024-01-01 01:08:20
5.0,6.0,동작구,2024-01-01 01:08:20
17.0,18.0,동작구,2024-01-01 01:08:20
22.0,24.0,동작구,2024-01-01 01:08:20
11.0,12.0,동작구,2024-01-01 01:08:20
23.0,25.0,동작구,2024-01-01 01:08:20
20.0,21.0,동작구,2024-01-01 01:08:20
16.0,17.0,동작구,2024-01-01 01:08:20
1.0,2.0,동작구,2024-01-01 01:08:20
,,동작구,2024-01-01 01:08:20
11.0,12.0,동작구,2024-01-01 03:08:01
33.0,36.0,동작구,2024-01-01 03:08:01
33.0,36.0,동작구,2024-01-01 03:08:01
35.0,39.0,동작구,2024-01-01 03:08:01
45.0,49.0,동작구,2024-01-01 03:08:01
1.0,2.0,동작구,2024-01-01 03:08:01
11.0,12.0,동작구,2024-01-01 03:08:20
1.0,2.0,동작구,2024-01-01 03:08:20
38.0,41.0,동작구,2024-01-01 03:08:20
24.0,26.0,동작구,2024-01-01 03:08:20
1.0,2.0,동작구,2024-01-01 03:08:20
1.0,2.0,동작구,2024-01-01 03:08:20
30.0,33.0,동작구,2024-01-01 03:08:20
17.0,18.0,동작구,2024-01-01 03:08:20
17.0,18.0,동작구,2024-01-01 03:08:20
15.0,16.0,동작구,2024-01-01 03:08:20
20.0,22.0,동작구,2024-01-01 03:08:20
2.0,3.0,동작구,2024-01-01 03:08:20
13.0,14.0,동작구,2024-01-01 03:08:20
20.0,22.0,동작구,2024-01-01 03:08:20
