PM25,PM10,지역명,등록일자
15.0,16.0,서대문구,2024-01-01 00:08:22
2.0,3.0,서대문구,2024-01-01 00:08:23
21.0,23.0,서대문구,2024-01-01 00:08:24
23.0,25.0,서대문구,2024-01-01 00:08:25
13.0,14.0,서대문구,2024-01-01 00:08:25
15.0,16.0,서대문구,2024-01-01 00:08:25
11.0,12.0,서대문구,2024-01-01 00:08:25
16.0,18.0,서대문구,2024-01-01 00:08:25
29.0,31.0,서대문구,2024-01-01 00:08:26
25.0,27.0,서대문구,2024-01-01 00:08:26
17.0,18.0,서대문구,2024-01-01 00:08:26
16.0,17.0,서대문구,2024-01-01 00:08:26
15.0,16.0,서대문구,2024-01-01 00:08:26
38.0,41.0,서대문구,2024-01-01 00:08:26
17.0,18.0,서대문구,2024-01-01 00:08:26
1.0,2.0,서대문구,2024-01-01 00:08:26
19.0,20.0,서대문구,2024-01-01 00:08:26
26.0,28.0,서대문구,2024-01-01 00:08:26
18.0,20.0,서대문구,2024-01-01 00:08:26
12.0,13.0,서대문구,2024-01-01 00:08:26
0.0,1000.0,서대문구,2024-01-01 00:08:26
16.0,17.0,서대문구,2024-01-01 00:08:26
17.0,18.0,서대문구,2024-01-01 00:08:26
11.0,12.0,서대문구,2024-01-01 00:08:26
37.0,40.0,서대문구,2024-01-01 00:08:27
0.0,1000.0,서대문구,2024-01-01 00:08:27
15.0,16.0,서대문구,2024-01-01 00:08:27
23.0,25.0,서대문구,2024-01-01 00:08:27
8.0,9.0,서대문구,2024-01-01 01:08:17
38.0,42.0,서대문구,2024-01-01 01:08:18
15.0,16.0,서대문구,2024-01-01 01:08:19
9.0,10.0,서대문구,2024-01-01 01:08:19
28.0,30.0,서대문구,2024-01-01 01:08:19
1.0,2.0,서대문구,2024-01-01 01:08:19
22.0,24.0,서대문구,2024-01-01 01:08:19
12.0,13.0,서대문구,2024-01-01 01:08:19
16.0,18.0,서대문구,2024-01-01 01:08:19
19.0,20.0,서대문구,2024-01-01 01:08:19
36.0,39.0,서대문구,2024-01-01 01:08:19
14.0,15.0,서대문구,2024-01-01 01:08:19
20.0,21.0,서대문구,2024-01-01 01:08:19
24.0,26.0,서대문구,2024-01-01 01:08:19
13.0,14.0,서대문구,2024-01-01 01:08:19
11.0,12.0,서대문구,2024-01-01 01:08:19
2.0,3.0,서대문구,2024-01-01 01:08:19
17.0,18.0,서대문구,2024-01-01 01:08:19
19.0,23.0,서대문구,2024-01-01 01:08:19
16.0,17.0,서대문구,2024-01-01 01:08:19
0.0,1000.0,서대문구,2024-01-01 01:08:19
14.0,15.0,서대문구,2024-01-01 01:08:19
64.0,70.0,서대문구,2024-01-01 01:08:19
13.0,14.0,서대문구,2024-01-01 01:08:19
0.0,1000.0,서대문구,2024-01-01 01:08:19
15.0,16.0,서대문구,2024-01-01 01:08:19
18.0,19.0,서대문구,2024-01-01 01:08:19
23.0,25.0,서대문구,2024-01-01 01:08:20
13.0,14.0,서대문구,2024-01-01 03:08:15
26.0,29.0,서대문구,2024-01-01 03:08:16
10.0,11.0,서대문구,2024-01-01 03:08:17
14.0,15.0,서대문구,2024-01-01 03:08:18
23.0,25.0,서대문구,2024-01-01 03:08:18
1.0,2.0,서대문구,2024-01-01 03:08:18
0.0,1000.0,서대문구,2024-01-01 03:08:18
42.0,45.0,서대문구,2024-01-01 03:08:18
13.0,14.0,서대문구,2024-01-01 03:08:18
15.0,16.0,서대문구,2024-01-01 03:08:18
16.0,17.0,서대문구,2024-01-01 03:08:18
20.0,21.0,서대문구,2024-01-01 03:08:18
18.0,19.0,서대문구,2024-01-01 03:08:19
18.0,19.0,서대문구,2024-01-01 03:08:19
22.0,24.0,서대문구,2024-01-01 03:08:19
17.0,18.0,서대문구,2024-01-01 03:08:19
11.0,12.0,서대문구,2024-01-01 03:08:19
11.0,12.0,서대문구,2024-01-01 03:08:19
2.0,3.0,서대문구,2024-01-01 03:08:19
17.0,19.0,서대문구,2024-01-01 03:08:19
0.0,1000.0,서대문구,2024-01-01 03:08:19
17.0,18.0,서대문구,2024-01-01 03:08:19
19.0,20.0,서대문구,2024-01-01 03:08:19
21.0,24.0,서대문구,2024-01-01 03:08:19
33.0,36.0,서대문구,2024-01-01 03:08:19
10.0,11.0,서대문구,2024-01-01 03:08:19
21.0,23.0,서대문구,2024-01-01 03:08:19
27.0,29.0,서대문구,2024-01-01 03:08:20
1.0,2.0,서대문구,2024-01-01 04:08:14
44.0,49.0,서대문구,2024-01-01 04:08:14
8.0,9.0,서대문구,2024-01-01 04:08:16
13.0,15.0,서대문구,2024-01-01 04:08:17
0.0,1000.0,서대문구,2024-01-01 04:08:17
21.0,23.0,서대문구,2024-01-01 04:08:17
14.0,15.0,서대문구,2024-01-01 04:08:17
17.0,18.0,서대문구,2024-01-01 04:08:17
14.0,15.0,서대문구,2024-01-01 04:08:17
20.0,22.0,서대문구,2024-01-01 04:08:17
13.0,14.0,서대문구,2024-01-01 04:08:17
25.0,27.0,서대문구,2024-01-01 04:08:17
18.0,19.0,서대문구,2024-01-01 04:08:17
11.0,12.0,서대문구,2024-01-01 04:08:17
44.0,48.0,서대문구,2024-01-01 04:08:17
16.0,17.0,서대문구,2024-01-01 04:08:17
13.0,14.0,서대문구,2024-01-01 04:08:17
23.0,25.0,서대문구,2024-01-01 04:08:17
22.0,24.0,서대문구,2024-01-01 04:08:17
0.0,1000.0,서대문구,2024-01-01 04:08:17
19.0,20.0,서대문구,2024-01-01 04:08:17
19.0,20.0,서대문구,2024-01-01 04:08:17
2.0,3.0,서대문구,2024-01-01 04:08:17
32.0,35.0,서대문구,2024-01-01 04:08:17
25.0,27.0,서대문구,2024-01-01 04:08:17
10.0,11.0,서대문구,2024-01-01 04:08:17
15.0,16.0,서대문구,2024-01-01 04:08:17
26.0,28.0,서대문구,2024-01-01 04:08:18
17.0,18.0,서대문구,2024-01-01 05:08:17
14.0,15.0,서대문구,2024-01-01 05:08:17
9.0,10.0,서대문구,2024-01-01 05:08:17
11.0,12.0,서대문구,2024-01-01 05:08:18
38.0,42.0,서대문구,2024-01-01 05:08:18
15.0,16.0,서대문구,2024-01-01 05:08:18
10.0,11.0,서대문구,2024-01-01 05:08:18
13.0,14.0,서대문구,2024-01-01 05:08:18
23.0,25.0,서대문구,2024-01-01 05:08:18
0.0,1000.0,서대문구,2024-01-01 05:08:18
17.0,18.0,서대문구,2024-01-01 05:08:18
22.0,24.0,서대문구,2024-01-01 05:08:18
1.0,2.0,서대문구,2024-01-01 05:08:18
18.0,19.0,서대문구,2024-01-01 05:08:18
25.0,27.0,서대문구,2024-01-01 05:08:18
13.0,14.0,서대문구,2024-01-01 05:08:18
18.0,19.0,서대문구,2024-01-01 05:08:18
21.0,23.0,서대문구,2024-01-01 05:08:18
33.0,36.0,서대문구,2024-01-01 05:08:18
16.0,17.0,서대문구,2024-01-01 05:08:18
19.0,21.0,서대문구,2024-01-01 05:08:18
1.0,2.0,서대문구,2024-01-01 05:08:18
25.0,27.0,서대문구,2024-01-01 05:08:18
16.0,17.0,서대문구,2024-01-01 05:08:18
15.0,16.0,서대문구,2024-01-01 05:08:18
0.0,1000.0,서대문구,2024-01-01 05:08:18
11.0,12.0,서대문구,2024-01-01 05:08:18
24.0,26.0,서대문구,2024-01-01 05:08:19
0.0,1000.0,서대문구,2024-01-01 06:08:20
