PM25,PM10,지역명,등록일자
23.0,25.0,서초구,2024-01-01 00:08:06
76.0,83.0,서초구,2024-01-01 00:08:07
37.0,40.0,서초구,2024-01-01 00:08:11
40.0,44.0,서초구,2024-01-01 00:08:15
26.0,28.0,서초구,2024-01-01 00:08:16
6.0,7.0,서초구,2024-01-01 00:08:17
1.0,2.0,서초구,2024-01-01 00:08:17
20.0,21.0,서초구,2024-01-01 00:08:22
8.0,9.0,서초구,2024-01-01 00:08:25
33.0,36.0,서초구,2024-01-01 00:08:25
26.0,28.0,서초구,2024-01-01 00:08:25
21.0,23.0,서초구,2024-01-01 00:08:25
24.0,26.0,서초구,2024-01-01 00:08:25
9.0,10.0,서초구,2024-01-01 00:08:26
17.0,18.0,서초구,2024-01-01 00:08:26
41.0,45.0,서초구,2024-01-01 00:08:26
16.0,17.0,서초구,2024-01-01 00:08:26
24.0,26.0,서초구,2024-01-01 00:08:26
11.0,12.0,서초구,2024-01-01 00:08:26
3.0,4.0,서초구,2024-01-01 00:08:27
0.0,1000.0,서초구,2024-01-01 00:08:27
32.0,35.0,서초구,2024-01-01 00:08:27
22.0,24.0,서초구,2024-01-01 00:08:27
25.0,27.0,서초구,2024-01-01 00:08:27
27.0,29.0,서초구,2024-01-01 00:08:27
26.0,28.0,서초구,2024-01-01 00:08:27
1.0,2.0,서초구,2024-01-01 00:08:27
36.0,39.0,서초구,2024-01-01 00:08:27
29.0,32.0,서초구,2024-01-01 00:08:27
22.0,24.0,서초구,2024-01-01 00:08:27
68.0,74.0,서초구,2024-01-01 00:08:27
36.0,39.0,서초구,2024-01-01 00:08:27
5.0,6.0,서초구,2024-01-01 00:08:27
2.0,3.0,서초구,2024-01-01 00:08:27
16.0,17.0,서초구,2024-01-01 00:08:27
21.0,23.0,서초구,2024-01-01 00:08:27
16.0,17.0,서초구,2024-01-01 00:08:27
33.0,36.0,서초구,2024-01-01 00:08:28
88.0,96.0,서초구,2024-01-01 01:08:00
28.0,30.0,서초구,2024-01-01 01:08:03
40.0,44.0,서초구,2024-01-01 01:08:05
38.0,41.0,서초구,2024-01-01 01:08:09
7.0,8.0,서초구,2024-01-01 01:08:10
1.0,2.0,서초구,2024-01-01 01:08:10
32.0,34.0,서초구,2024-01-01 01:08:10
2.0,3.0,서초구,2024-01-01 01:08:18
24.0,26.0,서초구,2024-01-01 01:08:18
26.0,28.0,서초구,2024-01-01 01:08:19
17.0,18.0,서초구,2024-01-01 01:08:19
29.0,32.0,서초구,2024-01-01 01:08:19
24.0,26.0,서초구,2024-01-01 01:08:19
21.0,23.0,서초구,2024-01-01 01:08:19
