PM25,PM10,지역명,등록일자
10.0,11.0,성북구,2024-01-01 00:08:15
16.0,17.0,성북구,2024-01-01 00:08:15
9.0,10.0,성북구,2024-01-01 00:08:15
17.0,19.0,성북구,2024-01-01 00:08:16
1.0,2.0,성북구,2024-01-01 00:08:18
13.0,14.0,성북구,2024-01-01 00:08:19
14.0,15.0,성북구,2024-01-01 00:08:19
30.0,33.0,성북구,2024-01-01 00:08:19
1.0,2.0,성북구,2024-01-01 00:08:19
32.0,35.0,성북구,2024-01-01 00:08:19
14.0,15.0,성북구,2024-01-01 00:08:19
15.0,17.0,성북구,2024-01-01 00:08:20
19.0,21.0,성북구,2024-01-01 00:08:20
1.0,2.0,성북구,2024-01-01 00:08:20
9.0,10.0,성북구,2024-01-01 00:08:20
6.0,7.0,성북구,2024-01-01 00:08:20
1.0,2.0,성북구,2024-01-01 00:08:20
1.0,2.0,성북구,2024-01-01 00:08:20
1.0,2.0,성북구,2024-01-01 00:08:20
10.0,11.0,성북구,2024-01-01 00:08:21
8.0,9.0,성북구,2024-01-01 00:08:21
12.0,13.0,성북구,2024-01-01 00:08:21
13.0,14.0,성북구,2024-01-01 00:08:22
28.0,30.0,성북구,2024-01-01 00:08:22
22.0,24.0,성북구,2024-01-01 00:08:22
15.0,16.0,성북구,2024-01-01 00:08:22
2.0,3.0,성북구,2024-01-01 00:08:22
10.0,11.0,성북구,2024-01-01 01:08:10
11.0,12.0,성북구,2024-01-01 01:08:11
14.0,15.0,성북구,2024-01-01 01:08:11
12.0,13.0,성북구,2024-01-01 01:08:11
15.0,16.0,성북구,2024-01-01 01:08:11
12.0,13.0,성북구,2024-01-01 01:08:12
13.0,14.0,성북구,2024-01-01 01:08:12
11.0,12.0,성북구,2024-01-01 01:08:12
19.0,20.0,성북구,2024-01-01 01:08:12
16.0,17.0,성북구,2024-01-01 01:08:12
13.0,14.0,성북구,2024-01-01 01:08:13
9.0,10.0,성북구,2024-01-01 01:08:13
2.0,3.0,성북구,2024-01-01 01:08:13
14.0,15.0,성북구,2024-01-01 01:08:13
6.0,7.0,성북구,2024-01-01 01:08:13
21.0,23.0,성북구,2024-01-01 01:08:13
2.0,3.0,성북구,2024-01-01 01:08:13
8.0,9.0,성북구,2024-01-01 01:08:14
29.0,31.0,성북구,2024-01-01 01:08:14
1.0,2.0,성북구,2024-01-01 01:08:14
2.0,3.0,성북구,2024-01-01 01:08:14
1.0,2.0,성북구,2024-01-01 01:08:14
1.0,2.0,성북구,2024-01-01 01:08:14
1.0,2.0,성북구,2024-01-01 01:08:14
6.0,7.0,성북구,2024-01-01 01:08:14
28.0,30.0,성북구,2024-01-01 01:08:14
10.0,11.0,성북구,2024-01-01 01:08:14
2.0,3.0,성북구,2024-01-01 02:08:15
12.0,13.0,성북구,2024-01-01 02:08:15
1.0,2.0,성북구,2024-01-01 02:08:15
17.0,18.0,성북구,2024-01-01 02:08:15
11.0,12.0,성북구,2024-01-01 02:08:15
13.0,15.0,성북구,2024-01-01 02:08:29
14.0,15.0,성북구,2024-01-01 02:08:29
10.0,11.0,성북구,2024-01-01 03:08:09
