PM25,PM10,지역명,등록일자
36.0,39.0,송파구,2024-01-01 00:07:27
19.0,20.0,송파구,2024-01-01 00:07:36
20.0,22.0,송파구,2024-01-01 00:08:17
1.0,2.0,송파구,2024-01-01 00:08:18
23.0,25.0,송파구,2024-01-01 00:08:18
1.0,2.0,송파구,2024-01-01 00:08:19
24.0,26.0,송파구,2024-01-01 00:08:19
32.0,35.0,송파구,2024-01-01 00:08:20
16.0,17.0,송파구,2024-01-01 00:08:20
28.0,30.0,송파구,2024-01-01 00:08:20
17.0,18.0,송파구,2024-01-01 00:08:21
14.0,15.0,송파구,2024-01-01 00:08:21
9.0,10.0,송파구,2024-01-01 00:08:21
23.0,25.0,송파구,2024-01-01 00:08:21
12.0,13.0,송파구,2024-01-01 00:08:21
12.0,13.0,송파구,2024-01-01 00:08:21
0.0,1000.0,송파구,2024-01-01 00:08:22
10.0,10.0,송파구,2024-01-01 00:08:22
25.0,27.0,송파구,2024-01-01 00:08:22
16.0,17.0,송파구,2024-01-01 00:08:22
5.0,6.0,송파구,2024-01-01 00:08:22
19.0,21.0,송파구,2024-01-01 00:08:22
12.0,13.0,송파구,2024-01-01 00:08:22
11.0,12.0,송파구,2024-01-01 00:08:22
18.0,19.0,송파구,2024-01-01 00:08:22
22.0,24.0,송파구,2024-01-01 00:08:22
17.0,18.0,송파구,2024-01-01 00:08:22
5.0,6.0,송파구,2024-01-01 00:08:22
15.0,16.0,송파구,2024-01-01 00:08:22
10.0,11.0,송파구,2024-01-01 00:08:22
10.0,11.0,송파구,2024-01-01 00:08:23
18.0,19.0,송파구,2024-01-01 00:08:23
11.0,12.0,송파구,2024-01-01 00:08:23
14.0,15.0,송파구,2024-01-01 00:08:23
1.0,2.0,송파구,2024-01-01 00:08:23
13.0,14.0,송파구,2024-01-01 00:08:23
26.0,28.0,송파구,2024-01-01 00:08:23
1.0,2.0,송파구,2024-01-01 00:08:23
1.0,2.0,송파구,2024-01-01 00:08:23
7.0,8.0,송파구,2024-01-01 00:08:24
