PM25,PM10,지역명,등록일자
18.0,19.0,영등포구,2024-01-01 00:07:28
20.0,22.0,영등포구,2024-01-01 00:07:28
0.0,1000.0,영등포구,2024-01-01 00:07:28
18.0,18.0,영등포구,2024-01-01 00:07:28
38.0,41.0,영등포구,2024-01-01 00:07:28
26.0,28.0,영등포구,2024-01-01 00:07:28
26.0,26.0,영등포구,2024-01-01 00:07:29
1.0,2.0,영등포구,2024-01-01 00:07:29
21.0,23.0,영등포구,2024-01-01 00:07:29
19.0,20.0,영등포구,2024-01-01 00:07:29
19.0,20.0,영등포구,2024-01-01 00:07:29
30.0,33.0,영등포구,2024-01-01 00:07:29
36.0,39.0,영등포구,2024-01-01 00:07:29
20.0,21.0,영등포구,2024-01-01 00:07:29
16.0,17.0,영등포구,2024-01-01 00:07:29
19.0,20.0,영등포구,2024-01-01 00:07:29
7.0,8.0,영등포구,2024-01-01 00:07:30
23.0,25.0,영등포구,2024-01-01 00:07:30
1.0,2.0,영등포구,2024-01-01 00:07:30
24.0,26.0,영등포구,2024-01-01 00:07:30
9.0,10.0,영등포구,2024-01-01 00:07:30
19.0,20.0,영등포구,2024-01-01 00:07:30
18.0,19.0,영등포구,2024-01-01 00:07:30
22.0,24.0,영등포구,2024-01-01 00:07:30
19.0,20.0,영등포구,2024-01-01 00:07:31
19.0,20.0,영등포구,2024-01-01 00:07:31
23.0,25.0,영등포구,2024-01-01 00:07:32
28.0,30.0,영등포구,2024-01-01 00:07:32
1.0,2.0,영등포구,2024-01-01 00:07:32
17.0,18.0,영등포구,2024-01-01 01:07:26
38.0,42.0,영등포구,2024-01-01 01:07:26
22.0,24.0,영등포구,2024-01-01 01:07:26
0.0,1000.0,영등포구,2024-01-01 01:07:26
19.0,19.0,영등포구,2024-01-01 01:07:26
19.0,20.0,영등포구,2024-01-01 01:07:26
20.0,22.0,영등포구,2024-01-01 01:07:27
33.0,36.0,영등포구,2024-01-01 01:07:27
19.0,20.0,영등포구,2024-01-01 01:07:27
18.0,20.0,영등포구,2024-01-01 01:07:27
21.0,23.0,영등포구,2024-01-01 01:07:27
28.0,30.0,영등포구,2024-01-01 01:07:27
1.0,2.0,영등포구,2024-01-01 01:07:27
27.0,27.0,영등포구,2024-01-01 01:07:27
19.0,21.0,영등포구,2024-01-01 01:07:27
9.0,10.0,영등포구,2024-01-01 01:07:27
37.0,40.0,영등포구,2024-01-01 01:07:27
21.0,23.0,영등포구,2024-01-01 01:07:28
22.0,24.0,영등포구,2024-01-01 01:07:28
1.0,2.0,영등포구,2024-01-01 01:07:28
17.0,18.0,영등포구,2024-01-01 01:07:28
7.0,8.0,영등포구,2024-01-01 01:07:28
24.0,26.0,영등포구,2024-01-01 01:07:28
23.0,25.0,영등포구,2024-01-01 01:07:28
24.0,26.0,영등포구,2024-01-01 01:07:28
20.0,22.0,영등포구,2024-01-01 01:07:29
1.0,2.0,영등포구,2024-01-01 01:07:29
20.0,22.0,영등포구,2024-01-01 01:07:29
28.0,30.0,영등포구,2024-01-01 01:07:29
18.0,18.0,영등포구,2024-01-01 03:07:26
14.0,15.0,영등포구,2024-01-01 03:07:26
21.0,23.0,영등포구,2024-01-01 03:07:26
35.0,38.0,영등포구,2024-01-01 03:07:26
0.0,1000.0,영등포구,2024-01-01 03:07:26
15.0,16.0,영등포구,2024-01-01 03:07:27
25.0,27.0,영등포구,2024-01-01 03:07:27
26.0,47.0,영등포구,2024-01-01 03:07:27
5.0,6.0,영등포구,2024-01-01 03:07:27
18.0,19.0,영등포구,2024-01-01 03:07:27
1.0,2.0,영등포구,2024-01-01 03:07:27
