PM25,PM10,지역명,등록일자
16.0,17.0,용산구,2024-01-01 00:07:32
17.0,18.0,용산구,2024-01-01 00:07:34
29.0,32.0,용산구,2024-01-01 00:07:34
30.0,32.0,용산구,2024-01-01 00:07:34
16.0,17.0,용산구,2024-01-01 00:07:34
21.0,23.0,용산구,2024-01-01 00:07:34
20.0,21.0,용산구,2024-01-01 00:07:35
41.0,45.0,용산구,2024-01-01 00:07:35
32.0,35.0,용산구,2024-01-01 00:07:35
19.0,20.0,용산구,2024-01-01 00:07:35
11.0,12.0,용산구,2024-01-01 00:07:35
22.0,24.0,용산구,2024-01-01 00:07:35
58.0,63.0,용산구,2024-01-01 00:07:36
12.0,13.0,용산구,2024-01-01 00:07:36
49.0,53.0,용산구,2024-01-01 00:07:36
23.0,25.0,용산구,2024-01-01 00:07:36
26.0,29.0,용산구,2024-01-01 00:07:36
1.0,2.0,용산구,2024-01-01 00:07:36
25.0,27.0,용산구,2024-01-01 00:07:36
35.0,38.0,용산구,2024-01-01 00:07:36
19.0,20.0,용산구,2024-01-01 00:07:36
43.0,47.0,용산구,2024-01-01 00:07:41
54.0,59.0,용산구,2024-01-01 00:08:07
24.0,26.0,용산구,2024-01-01 01:07:31
15.0,16.0,용산구,2024-01-01 01:07:31
16.0,17.0,용산구,2024-01-01 01:07:31
18.0,20.0,용산구,2024-01-01 01:07:31
17.0,18.0,용산구,2024-01-01 01:07:32
22.0,24.0,용산구,2024-01-01 01:07:32
12.0,13.0,용산구,2024-01-01 01:07:32
21.0,23.0,용산구,2024-01-01 01:07:32
10.0,11.0,용산구,2024-01-01 01:07:33
1.0,2.0,용산구,2024-01-01 01:07:33
17.0,18.0,용산구,2024-01-01 01:07:33
25.0,27.0,용산구,2024-01-01 01:07:33
34.0,37.0,용산구,2024-01-01 01:07:33
21.0,23.0,용산구,2024-01-01 01:07:33
31.0,34.0,용산구,2024-01-01 01:07:33
25.0,27.0,용산구,2024-01-01 01:07:33
41.0,45.0,용산구,2024-01-01 01:07:33
22.0,23.0,용산구,2024-01-01 01:07:33
28.0,30.0,용산구,2024-01-01 01:07:33
25.0,27.0,용산구,2024-01-01 01:07:33
47.0,51.0,용산구,2024-01-01 01:07:33
48.0,53.0,용산구,2024-01-01 01:07:39
63.0,68.0,용산구,2024-01-01 01:08:03
15.0,16.0,용산구,2024-01-01 03:07:29
15.0,16.0,용산구,2024-01-01 03:07:30
24.0,27.0,용산구,2024-01-01 03:07:30
15.0,16.0,용산구,2024-01-01 03:07:30
29.0,32.0,용산구,2024-01-01 03:07:31
16.0,20.0,용산구,2024-01-01 03:07:31
26.0,28.0,용산구,2024-01-01 03:07:31
22.0,24.0,용산구,2024-01-01 03:07:31
12.0,13.0,용산구,2024-01-01 03:07:31
33.0,36.0,용산구,2024-01-01 03:07:31
46.0,50.0,용산구,2024-01-01 03:07:31
9.0,10.0,용산구,2024-01-01 03:07:31
1.0,2.0,용산구,2024-01-01 03:07:32
24.0,27.0,용산구,2024-01-01 03:07:32
17.0,18.0,용산구,2024-01-01 03:07:32
22.0,24.0,용산구,2024-01-01 03:07:32
21.0,24.0,용산구,2024-01-01 03:07:32
23.0,25.0,용산구,2024-01-01 03:07:32
20.0,22.0,용산구,2024-01-01 03:07:32
32.0,35.0,용산구,2024-01-01 03:07:32
17.0,21.0,용산구,2024-01-01 03:07:32
44.0,48.0,용산구,2024-01-01 03:07:37
67.0,73.0,용산구,2024-01-01 03:08:02
35.0,38.0,용산구,2024-01-01 04:07:29
19.0,21.0,용산구,2024-01-01 04:07:30
24.0,26.0,용산구,2024-01-01 04:07:30
15.0,16.0,용산구,2024-01-01 04:07:30
29.0,31.0,용산구,2024-01-01 04:07:30
35.0,38.0,용산구,2024-01-01 04:07:30
16.0,17.0,용산구,2024-01-01 04:07:31
17.0,18.0,용산구,2024-01-01 04:07:31
26.0,28.0,용산구,2024-01-01 04:07:31
21.0,25.0,용산구,2024-01-01 04:07:32
52.0,56.0,용산구,2024-01-01 04:07:32
20.0,23.0,용산구,2024-01-01 04:07:32
28.0,31.0,용산구,2024-01-01 04:07:32
1.0,2.0,용산구,2024-01-01 04:07:32
25.0,27.0,용산구,2024-01-01 04:07:32
32.0,35.0,용산구,2024-01-01 04:07:32
45.0,49.0,용산구,2024-01-01 04:07:32
10.0,11.0,용산구,2024-01-01 04:07:32
23.0,29.0,용산구,2024-01-01 04:07:32
21.0,23.0,용산구,2024-01-01 04:07:32
13.0,14.0,용산구,2024-01-01 04:07:32
44.0,48.0,용산구,2024-01-01 04:07:35
82.0,89.0,용산구,2024-01-01 04:08:01
16.0,17.0,용산구,2024-01-01 05:07:29
20.0,22.0,용산구,2024-01-01 05:07:29
29.0,31.0,용산구,2024-01-01 05:07:30
17.0,18.0,용산구,2024-01-01 05:07:30
18.0,20.0,용산구,2024-01-01 05:07:30
14.0,15.0,용산구,2024-01-01 05:07:30
22.0,24.0,용산구,2024-01-01 05:07:31
22.0,24.0,용산구,2024-01-01 05:07:31
50.0,55.0,용산구,2024-01-01 05:07:31
20.0,22.0,용산구,2024-01-01 05:07:31
11.0,12.0,용산구,2024-01-01 05:07:31
35.0,38.0,용산구,2024-01-01 05:07:31
1.0,2.0,용산구,2024-01-01 05:07:31
26.0,28.0,용산구,2024-01-01 05:07:31
25.0,27.0,용산구,2024-01-01 05:07:31
27.0,29.0,용산구,2024-01-01 05:07:31
33.0,36.0,용산구,2024-01-01 05:07:31
70.0,76.0,용산구,2024-01-01 05:07:31
29.0,32.0,용산구,2024-01-01 05:07:31
24.0,26.0,용산구,2024-01-01 05:07:31
37.0,40.0,용산구,2024-01-01 05:07:32
46.0,50.0,용산구,2024-01-01 05:07:36
83.0,90.0,용산구,2024-01-01 05:08:03
17.0,18.0,용산구,2024-01-01 06:07:32
28.0,31.0,용산구,2024-01-01 06:07:33
17.0,18.0,용산구,2024-01-01 06:07:33
63.0,69.0,용산구,2024-01-01 06:07:33
26.0,28.0,용산구,2024-01-01 06:07:33
16.0,17.0,용산구,2024-01-01 06:07:33
53.0,59.0,용산구,2024-01-01 06:07:34
25.0,27.0,용산구,2024-01-01 06:07:34
34.0,37.0,용산구,2024-01-01 06:07:34
21.0,23.0,용산구,2024-01-01 06:07:35
21.0,23.0,용산구,2024-01-01 06:07:35
26.0,28.0,용산구,2024-01-01 06:07:35
1.0,2.0,용산구,2024-01-01 06:07:35
31.0,34.0,용산구,2024-01-01 06:07:35
22.0,24.0,용산구,2024-01-01 06:07:35
35.0,38.0,용산구,2024-01-01 06:07:35
21.0,23.0,용산구,2024-01-01 06:07:35
28.0,30.0,용산구,2024-01-01 06:07:35
10.0,11.0,용산구,2024-01-01 06:07:35
23.0,25.0,용산구,2024-01-01 06:07:35
14.0,15.0,용산구,2024-01-01 06:07:35
45.0,49.0,용산구,2024-01-01 06:07:41
71.0,78.0,용산구,2024-01-01 06:08:07
17.0,18.0,용산구,2024-01-01 07:07:31
17.0,18.0,용산구,2024-01-01 07:07:31
29.0,31.0,용산구,2024-01-01 07:07:31
