PM25,PM10,지역명,등록일자
14.0,20.0,은평구,2024-01-01 00:07:23
13.0,19.0,은평구,2024-01-01 00:07:23
12.0,17.0,은평구,2024-01-01 00:07:23
16.0,24.0,은평구,2024-01-01 00:07:26
11.0,17.0,은평구,2024-01-01 00:07:26
14.0,15.0,은평구,2024-01-01 00:07:39
17.0,18.0,은평구,2024-01-01 00:07:40
31.0,34.0,은평구,2024-01-01 00:07:41
12.0,13.0,은평구,2024-01-01 00:07:41
2.0,3.0,은평구,2024-01-01 00:07:41
27.0,29.0,은평구,2024-01-01 00:07:41
7.0,8.0,은평구,2024-01-01 00:07:41
12.0,13.0,은평구,2024-01-01 00:07:41
45.0,49.0,은평구,2024-01-01 00:07:42
11.0,12.0,은평구,2024-01-01 00:07:42
11.0,12.0,은평구,2024-01-01 00:07:42
15.0,16.0,은평구,2024-01-01 00:07:42
6.0,7.0,은평구,2024-01-01 00:07:42
1.0,2.0,은평구,2024-01-01 00:07:42
4.0,5.0,은평구,2024-01-01 00:07:42
16.0,17.0,은평구,2024-01-01 00:07:42
32.0,35.0,은평구,2024-01-01 00:07:42
6.0,7.0,은평구,2024-01-01 00:07:43
12.0,13.0,은평구,2024-01-01 00:07:43
18.0,19.0,은평구,2024-01-01 00:07:43
16.0,17.0,은평구,2024-01-01 00:07:43
27.0,30.0,은평구,2024-01-01 00:07:43
18.0,19.0,은평구,2024-01-01 00:07:44
16.0,17.0,은평구,2024-01-01 00:07:44
22.0,24.0,은평구,2024-01-01 00:07:44
18.0,19.0,은평구,2024-01-01 00:07:45
14.0,21.0,은평구,2024-01-01 01:07:22
14.0,21.0,은평구,2024-01-01 01:07:22
13.0,19.0,은평구,2024-01-01 01:07:22
16.0,24.0,은평구,2024-01-01 01:07:24
12.0,18.0,은평구,2024-01-01 01:07:25
14.0,15.0,은평구,2024-01-01 01:07:36
16.0,17.0,은평구,2024-01-01 01:07:37
29.0,32.0,은평구,2024-01-01 01:07:37
6.0,7.0,은평구,2024-01-01 01:07:38
19.0,21.0,은평구,2024-01-01 01:07:38
13.0,14.0,은평구,2024-01-01 01:07:38
14.0,15.0,은평구,2024-01-01 01:07:38
6.0,7.0,은평구,2024-01-01 01:07:39
10.0,11.0,은평구,2024-01-01 01:07:39
1.0,2.0,은평구,2024-01-01 01:07:39
15.0,16.0,은평구,2024-01-01 01:07:39
13.0,14.0,은평구,2024-01-01 01:07:39
46.0,50.0,은평구,2024-01-01 01:07:39
12.0,13.0,은평구,2024-01-01 01:07:39
11.0,12.0,은평구,2024-01-01 01:07:39
28.0,30.0,은평구,2024-01-01 01:07:39
6.0,7.0,은평구,2024-01-01 01:07:40
32.0,35.0,은평구,2024-01-01 01:07:40
2.0,3.0,은평구,2024-01-01 01:07:40
20.0,22.0,은평구,2024-01-01 01:07:40
7.0,8.0,은평구,2024-01-01 01:07:40
14.0,15.0,은평구,2024-01-01 01:07:40
26.0,28.0,은평구,2024-01-01 01:07:41
16.0,17.0,은평구,2024-01-01 01:07:41
23.0,25.0,은평구,2024-01-01 01:07:41
19.0,20.0,은평구,2024-01-01 01:07:42
14.0,21.0,은평구,2024-01-01 02:07:28
14.0,20.0,은평구,2024-01-01 02:07:28
14.0,20.0,은평구,2024-01-01 02:07:28
2.0,3.0,은평구,2024-01-01 02:07:49
