PM25,PM10,지역명,등록일자
15.0,16.0,중구,2024-01-01 00:07:24
18.0,19.0,중구,2024-01-01 00:07:24
13.0,14.0,중구,2024-01-01 00:07:24
1.0,2.0,중구,2024-01-01 00:07:24
1.0,2.0,중구,2024-01-01 00:07:25
1.0,2.0,중구,2024-01-01 00:07:25
30.0,33.0,중구,2024-01-01 00:07:25
10.0,11.0,중구,2024-01-01 00:07:25
18.0,19.0,중구,2024-01-01 00:07:25
18.0,20.0,중구,2024-01-01 00:07:25
21.0,22.0,중구,2024-01-01 00:07:25
9.0,10.0,중구,2024-01-01 00:07:25
5.0,6.0,중구,2024-01-01 00:07:25
0.0,1000.0,중구,2024-01-01 00:07:25
10.0,11.0,중구,2024-01-01 00:07:25
20.0,22.0,중구,2024-01-01 00:07:25
0.0,1000.0,중구,2024-01-01 00:07:25
23.0,25.0,중구,2024-01-01 00:07:25
11.0,12.0,중구,2024-01-01 00:07:25
34.0,37.0,중구,2024-01-01 00:07:25
1.0,2.0,중구,2024-01-01 00:07:26
13.0,14.0,중구,2024-01-01 00:07:26
22.0,24.0,중구,2024-01-01 00:07:26
2.0,3.0,중구,2024-01-01 00:07:26
0.0,1000.0,중구,2024-01-01 00:07:26
2.0,3.0,중구,2024-01-01 00:07:26
30.0,32.0,중구,2024-01-01 00:07:26
23.0,25.0,중구,2024-01-01 00:07:26
26.0,28.0,중구,2024-01-01 00:07:26
3.0,3.0,중구,2024-01-01 00:07:26
1.0,2.0,중구,2024-01-01 00:07:27
19.0,20.0,중구,2024-01-01 00:07:27
19.0,20.0,중구,2024-01-01 00:07:27
38.0,41.0,중구,2024-01-01 00:07:28
31.0,34.0,중구,2024-01-01 00:07:28
34.0,37.0,중구,2024-01-01 00:07:28
27.0,30.0,중구,2024-01-01 00:07:28
,,중구,2024-01-01 00:07:28
16.0,17.0,중구,2024-01-01 00:07:28
21.0,23.0,중구,2024-01-01 00:07:38
9.0,10.0,중구,2024-01-01 01:07:23
1.0,2.0,중구,2024-01-01 01:07:23
19.0,21.0,중구,2024-01-01 01:07:23
8.0,9.0,중구,2024-01-01 01:07:23
29.0,32.0,중구,2024-01-01 01:07:23
22.0,24.0,중구,2024-01-01 01:07:23
30.0,33.0,중구,2024-01-01 01:07:23
9.0,10.0,중구,2024-01-01 01:07:23
0.0,1000.0,중구,2024-01-01 01:07:23
0.0,1000.0,중구,2024-01-01 01:07:23
1.0,2.0,중구,2024-01-01 01:07:23
11.0,12.0,중구,2024-01-01 01:07:23
19.0,20.0,중구,2024-01-01 01:07:23
1.0,2.0,중구,2024-01-01 01:07:23
22.0,23.0,중구,2024-01-01 01:07:23
13.0,14.0,중구,2024-01-01 01:07:23
15.0,16.0,중구,2024-01-01 01:07:23
28.0,31.0,중구,2024-01-01 01:07:23
5.0,6.0,중구,2024-01-01 01:07:23
17.0,18.0,중구,2024-01-01 01:07:23
31.0,33.0,중구,2024-01-01 01:07:24
1.0,2.0,중구,2024-01-01 01:07:24
1.0,2.0,중구,2024-01-01 01:07:24
0.0,1000.0,중구,2024-01-01 01:07:24
13.0,14.0,중구,2024-01-01 01:07:24
1.0,2.0,중구,2024-01-01 01:07:25
17.0,18.0,중구,2024-01-01 01:07:25
15.0,16.0,중구,2024-01-01 01:07:25
24.0,26.0,중구,2024-01-01 01:07:25
4.0,4.0,중구,2024-01-01 01:07:25
1.0,2.0,중구,2024-01-01 01:07:25
21.0,23.0,중구,2024-01-01 01:07:25
34.0,37.0,중구,2024-01-01 01:07:25
,,중구,2024-01-01 01:07:26
32.0,34.0,중구,2024-01-01 01:07:26
36.0,39.0,중구,2024-01-01 01:07:26
33.0,36.0,중구,2024-01-01 01:07:26
33.0,36.0,중구,2024-01-01 01:07:26
16.0,17.0,중구,2024-01-01 01:07:26
21.0,22.0,중구,2024-01-01 01:07:33
13.0,14.0,중구,2024-01-01 02:07:49
28.0,31.0,중구,2024-01-01 02:07:49
1.0,2.0,중구,2024-01-01 02:07:49
3.0,3.0,중구,2024-01-01 02:07:49
18.0,19.0,중구,2024-01-01 02:07:49
1.0,2.0,중구,2024-01-01 02:07:49
0.0,1000.0,중구,2024-01-01 02:07:49
1.0,2.0,중구,2024-01-01 02:07:49
23.0,25.0,중구,2024-01-01 02:07:49
21.0,23.0,중구,2024-01-01 03:07:23
8.0,9.0,중구,2024-01-01 03:07:23
1.0,2.0,중구,2024-01-01 03:07:23
0.0,1000.0,중구,2024-01-01 03:07:23
18.0,19.0,중구,2024-01-01 03:07:23
10.0,11.0,중구,2024-01-01 03:07:23
15.0,16.0,중구,2024-01-01 03:07:23
13.0,14.0,중구,2024-01-01 03:07:23
10.0,11.0,중구,2024-01-01 03:07:23
21.0,23.0,중구,2024-01-01 03:07:23
15.0,16.0,중구,2024-01-01 03:07:23
20.0,21.0,중구,2024-01-01 03:07:23
13.0,14.0,중구,2024-01-01 03:07:23
5.0,6.0,중구,2024-01-01 03:07:23
1.0,2.0,중구,2024-01-01 03:07:23
0.0,1000.0,중구,2024-01-01 03:07:23
31.0,34.0,중구,2024-01-01 03:07:23
1.0,2.0,중구,2024-01-01 03:07:23
29.0,32.0,중구,2024-01-01 03:07:23
9.0,10.0,중구,2024-01-01 03:07:23
20.0,22.0,중구,2024-01-01 03:07:24
3.0,3.0,중구,2024-01-01 03:07:24
30.0,33.0,중구,2024-01-01 03:07:24
24.0,26.0,중구,2024-01-01 03:07:24
16.0,17.0,중구,2024-01-01 03:07:24
14.0,15.0,중구,2024-01-01 03:07:25
1.0,2.0,중구,2024-01-01 03:07:25
1.0,2.0,중구,2024-01-01 03:07:25
23.0,25.0,중구,2024-01-01 03:07:25
1.0,2.0,중구,2024-01-01 03:07:25
1.0,2.0,중구,2024-01-01 03:07:25
0.0,1000.0,중구,2024-01-01 03:07:25
15.0,16.0,중구,2024-01-01 03:07:25
,,중구,2024-01-01 03:07:25
37.0,40.0,중구,2024-01-01 03:07:26
26.0,29.0,중구,2024-01-01 03:07:26
29.0,31.0,중구,2024-01-01 03:07:26
28.0,31.0,중구,2024-01-01 03:07:26
16.0,17.0,중구,2024-01-01 03:07:26
19.0,21.0,중구,2024-01-01 03:07:33
18.0,19.0,중구,2024-01-01 04:07:22
0.0,1000.0,중구,2024-01-01 04:07:23
23.0,25.0,중구,2024-01-01 04:07:23
1.0,2.0,중구,2024-01-01 04:07:23
9.0,10.0,중구,2024-01-01 04:07:23
1.0,2.0,중구,2024-01-01 04:07:23
12.0,13.0,중구,2024-01-01 04:07:23
27.0,29.0,중구,2024-01-01 04:07:23
34.0,38.0,중구,2024-01-01 04:07:23
0.0,1000.0,중구,2024-01-01 04:07:23
19.0,21.0,중구,2024-01-01 04:07:23
29.0,31.0,중구,2024-01-01 04:07:23
17.0,18.0,중구,2024-01-01 04:07:23
12.0,13.0,중구,2024-01-01 04:07:23
1.0,2.0,중구,2024-01-01 04:07:23
7.0,8.0,중구,2024-01-01 04:07:23
13.0,14.0,중구,2024-01-01 04:07:23
19.0,20.0,중구,2024-01-01 04:07:23
22.0,24.0,중구,2024-01-01 04:07:23
15.0,16.0,중구,2024-01-01 04:07:23
23.0,25.0,중구,2024-01-01 04:07:24
3.0,3.0,중구,2024-01-01 04:07:24
21.0,23.0,중구,2024-01-01 04:07:24
0.0,1000.0,중구,2024-01-01 04:07:24
1.0,2.0,중구,2024-01-01 04:07:25
30.0,33.0,중구,2024-01-01 04:07:25
1.0,2.0,중구,2024-01-01 04:07:25
41.0,44.0,중구,2024-01-01 04:07:25
1.0,2.0,중구,2024-01-01 04:07:25
18.0,19.0,중구,2024-01-01 04:07:25
16.0,17.0,중구,2024-01-01 04:07:25
1.0,2.0,중구,2024-01-01 04:07:25
21.0,23.0,중구,2024-01-01 04:07:25
19.0,20.0,중구,2024-01-01 04:07:25
,,중구,2024-01-01 04:07:25
34.0,37.0,중구,2024-01-01 04:07:26
30.0,32.0,중구,2024-01-01 04:07:26
20.0,22.0,중구,2024-01-01 04:07:26
32.0,35.0,중구,2024-01-01 04:07:26
23.0,25.0,중구,2024-01-01 04:07:35
10.0,11.0,중구,2024-01-01 05:07:22
21.0,23.0,중구,2024-01-01 05:07:22
14.0,15.0,중구,2024-01-01 05:07:22
14.0,15.0,중구,2024-01-01 05:07:22
25.0,27.0,중구,2024-01-01 05:07:22
29.0,32.0,중구,2024-01-01 05:07:22
0.0,1000.0,중구,2024-01-01 05:07:22
6.0,7.0,중구,2024-01-01 05:07:22
14.0,15.0,중구,2024-01-01 05:07:22
12.0,13.0,중구,2024-01-01 05:07:22
20.0,22.0,중구,2024-01-01 05:07:22
26.0,28.0,중구,2024-01-01 05:07:22
1.0,2.0,중구,2024-01-01 05:07:22
23.0,25.0,중구,2024-01-01 05:07:22
17.0,18.0,중구,2024-01-01 05:07:22
21.0,23.0,중구,2024-01-01 05:07:22
0.0,1000.0,중구,2024-01-01 05:07:22
1.0,2.0,중구,2024-01-01 05:07:22
34.0,37.0,중구,2024-01-01 05:07:22
1.0,2.0,중구,2024-01-01 05:07:22
34.0,37.0,중구,2024-01-01 05:07:23
0.0,1000.0,중구,2024-01-01 05:07:23
19.0,20.0,중구,2024-01-01 05:07:23
1.0,2.0,중구,2024-01-01 05:07:24
28.0,31.0,중구,2024-01-01 05:07:24
23.0,25.0,중구,2024-01-01 05:07:24
1.0,2.0,중구,2024-01-01 05:07:24
1.0,2.0,중구,2024-01-01 05:07:24
17.0,19.0,중구,2024-01-01 05:07:24
21.0,23.0,중구,2024-01-01 05:07:24
24.0,26.0,중구,2024-01-01 05:07:24
1.0,2.0,중구,2024-01-01 05:07:24
3.0,3.0,중구,2024-01-01 05:07:24
34.0,37.0,중구,2024-01-01 05:07:24
40.0,44.0,중구,2024-01-01 05:07:25
,,중구,2024-01-01 05:07:25
32.0,35.0,중구,2024-01-01 05:07:25
35.0,38.0,중구,2024-01-01 05:07:25
22.0,24.0,중구,2024-01-01 05:07:25
23.0,25.0,중구,2024-01-01 05:07:33
15.0,16.0,중구,2024-01-01 06:07:24
1.0,2.0,중구,2024-01-01 06:07:24
13.0,14.0,중구,2024-01-01 06:07:24
1.0,2.0,중구,2024-01-01 06:07:25
0.0,1000.0,중구,2024-01-01 06:07:25
25.0,27.0,중구,2024-01-01 06:07:25
13.0,14.0,중구,2024-01-01 06:07:25
