PM25,PM10,지역명,등록일자
12.0,13.0,중랑구,2024-01-01 00:07:23
11.0,17.0,중랑구,2024-01-01 00:07:23
16.0,17.0,중랑구,2024-01-01 00:07:23
35.0,38.0,중랑구,2024-01-01 00:07:23
22.0,26.0,중랑구,2024-01-01 00:07:23
31.0,34.0,중랑구,2024-01-01 00:07:23
0.0,1000.0,중랑구,2024-01-01 00:07:23
22.0,24.0,중랑구,2024-01-01 00:07:23
23.0,25.0,중랑구,2024-01-01 00:07:23
15.0,16.0,중랑구,2024-01-01 00:07:23
13.0,14.0,중랑구,2024-01-01 00:07:23
20.0,22.0,중랑구,2024-01-01 00:07:23
12.0,13.0,중랑구,2024-01-01 00:07:23
17.0,18.0,중랑구,2024-01-01 00:07:23
18.0,20.0,중랑구,2024-01-01 00:07:23
35.0,38.0,중랑구,2024-01-01 00:07:30
17.0,18.0,중랑구,2024-01-01 00:07:44
1.0,2.0,중랑구,2024-01-01 00:07:45
13.0,14.0,중랑구,2024-01-01 00:07:47
14.0,15.0,중랑구,2024-01-01 00:07:47
13.0,14.0,중랑구,2024-01-01 00:07:48
14.0,15.0,중랑구,2024-01-01 00:07:48
25.0,27.0,중랑구,2024-01-01 00:07:49
1.0,2.0,중랑구,2024-01-01 00:07:49
12.0,13.0,중랑구,2024-01-01 00:07:49
13.0,14.0,중랑구,2024-01-01 00:07:49
23.0,25.0,중랑구,2024-01-01 00:07:50
11.0,63.0,중랑구,2024-01-01 01:07:22
32.0,35.0,중랑구,2024-01-01 01:07:22
21.0,33.0,중랑구,2024-01-01 01:07:22
20.0,22.0,중랑구,2024-01-01 01:07:22
0.0,1000.0,중랑구,2024-01-01 01:07:22
17.0,18.0,중랑구,2024-01-01 01:07:22
20.0,22.0,중랑구,2024-01-01 01:07:22
15.0,16.0,중랑구,2024-01-01 01:07:22
8.0,34.0,중랑구,2024-01-01 01:07:22
31.0,34.0,중랑구,2024-01-01 01:07:22
10.0,12.0,중랑구,2024-01-01 01:07:22
17.0,18.0,중랑구,2024-01-01 01:07:22
20.0,22.0,중랑구,2024-01-01 01:07:22
13.0,14.0,중랑구,2024-01-01 01:07:22
15.0,16.0,중랑구,2024-01-01 01:07:22
32.0,35.0,중랑구,2024-01-01 01:07:27
29.0,31.0,중랑구,2024-01-01 01:07:41
13.0,14.0,중랑구,2024-01-01 01:07:44
15.0,16.0,중랑구,2024-01-01 01:07:45
19.0,20.0,중랑구,2024-01-01 01:07:45
14.0,15.0,중랑구,2024-01-01 01:07:45
2.0,3.0,중랑구,2024-01-01 01:07:46
14.0,15.0,중랑구,2024-01-01 01:07:46
29.0,31.0,중랑구,2024-01-01 01:07:47
1.0,2.0,중랑구,2024-01-01 01:07:47
10.0,11.0,중랑구,2024-01-01 01:07:47
15.0,16.0,중랑구,2024-01-01 01:07:47
11.0,85.0,중랑구,2024-01-01 02:07:28
19.0,20.0,중랑구,2024-01-01 02:07:28
7.0,177.0,중랑구,2024-01-01 02:07:28
17.0,19.0,중랑구,2024-01-01 02:07:28
0.0,1000.0,중랑구,2024-01-01 02:07:28
18.0,19.0,중랑구,2024-01-01 02:07:28
14.0,15.0,중랑구,2024-01-01 02:07:28
9.0,10.0,중랑구,2024-01-01 02:07:28
34.0,37.0,중랑구,2024-01-01 02:07:28
28.0,30.0,중랑구,2024-01-01 02:07:28
13.0,15.0,중랑구,2024-01-01 02:07:28
137.0,150.0,중랑구,2024-01-01 02:07:28
17.0,59.0,중랑구,2024-01-01 02:07:28
12.0,13.0,중랑구,2024-01-01 02:07:28
14.0,15.0,중랑구,2024-01-01 02:07:28
10.0,93.0,중랑구,2024-01-01 03:07:22
0.0,1000.0,중랑구,2024-01-01 03:07:22
17.0,18.0,중랑구,2024-01-01 03:07:22
14.0,83.0,중랑구,2024-01-01 03:07:22
10.0,11.0,중랑구,2024-01-01 03:07:22
22.0,24.0,중랑구,2024-01-01 03:07:22
9.0,26.0,중랑구,2024-01-01 03:07:22
32.0,35.0,중랑구,2024-01-01 03:07:22
58.0,64.0,중랑구,2024-01-01 03:07:22
21.0,23.0,중랑구,2024-01-01 03:07:22
17.0,18.0,중랑구,2024-01-01 03:07:22
14.0,17.0,중랑구,2024-01-01 03:07:22
13.0,14.0,중랑구,2024-01-01 03:07:22
16.0,17.0,중랑구,2024-01-01 03:07:22
32.0,35.0,중랑구,2024-01-01 03:07:22
32.0,35.0,중랑구,2024-01-01 03:07:27
