ds,자치구,기온,상대습도,초미세먼지,미세먼지
2024-01-01,Seoul_Grand_Park,,,19.0,20.0
2024-01-01,Seoul_Grand_Park,-0.7,100.0,21.0,22.0
2024-01-01,Seoul_Grand_Park,-2.5,100.0,24.0,26.0
2024-01-01,Seoul_Grand_Park,-1.3,98.0,19.0,21.0
2024-01-01,Seoul_Grand_Park,,,21.0,23.0
2024-01-01,Seoul_Grand_Park,-2.7,100.0,23.0,25.0
2024-01-01,Seoul_Grand_Park,-0.9,100.0,21.0,23.0
2024-01-01,Seoul_Grand_Park,-1.6,98.0,22.0,24.0
2024-01-01,Seoul_Grand_Park,,,27.0,29.0
2024-01-01,Seoul_Grand_Park,-1.0,100.0,24.0,26.0
2024-01-01,Seoul_Grand_Park,-2.8,100.0,27.0,29.0
2024-01-01,Seoul_Grand_Park,-1.8,98.0,26.0,28.0
2024-01-01,Seoul_Grand_Park,-1.1,100.0,27.0,29.0
2024-01-01,Seoul_Grand_Park,-2.9,100.0,31.0,34.0
2024-01-01,Seoul_Grand_Park,,,31.0,33.0
2024-01-01,Seoul_Grand_Park,-1.9,97.0,30.0,33.0
2024-01-01,Seoul_Grand_Park,,,26.0,145.0
2024-01-01,Seoul_Grand_Park,-0.6,100.0,29.0,32.0
2024-01-01,Seoul_Grand_Park,-2.1,100.0,35.0,65.0
2024-01-01,Seoul_Grand_Park,-1.5,98.0,31.0,39.0
2024-01-01,Seoul_Grand_Park,-1.1,100.0,31.0,487.0
2024-01-01,Seoul_Grand_Park,-0.2,100.0,22.0,24.0
2024-01-01,Seoul_Grand_Park,,,28.0,69.0
2024-01-01,Seoul_Grand_Park,-0.5,98.0,29.0,62.0
2024-01-01,Seoul_Grand_Park,,,30.0,35.0
2024-01-01,Seoul_Grand_Park,-0.7,100.0,38.0,85.0
2024-01-01,Seoul_Grand_Park,0.2,100.0,27.0,30.0
2024-01-01,Seoul_Grand_Park,-0.1,97.0,36.0,40.0
2024-01-01,Seoul_Grand_Park,-0.7,100.0,39.0,218.0
2024-01-01,Seoul_Grand_Park,,,27.0,130.0
2024-01-01,Seoul_Grand_Park,0.3,100.0,28.0,31.0
2024-01-01,Seoul_Grand_Park,-0.4,97.0,34.0,76.0
2024-01-01,Seoul_Grand_Park,,,24.0,103.0
2024-01-01,Seoul_Grand_Park,-0.3,100.0,25.0,27.0
2024-01-01,Seoul_Grand_Park,-1.3,100.0,33.0,277.0
2024-01-01,Seoul_Grand_Park,-1.2,98.0,28.0,92.0
2024-01-01,Seoul_Grand_Park,,,17.0,18.0
2024-01-01,Seoul_Grand_Park,-1.6,100.0,33.0,49.0
2024-01-01,Seoul_Grand_Park,-0.6,100.0,25.0,27.0
2024-01-01,Seoul_Grand_Park,-1.5,98.0,25.0,28.0
2024-01-01,Seoul_Grand_Park,,,21.0,69.0
2024-01-01,Seoul_Grand_Park,0.5,100.0,22.0,24.0
2024-01-01,Seoul_Grand_Park,-0.6,100.0,33.0,285.0
2024-01-01,Seoul_Grand_Park,1.5,96.0,24.0,33.0
2024-01-01,Seoul_Grand_Park,1.3,100.0,33.0,589.0
2024-01-01,Seoul_Grand_Park,2.6,100.0,23.0,25.0
2024-01-01,Seoul_Grand_Park,,,21.0,150.0
2024-01-01,Seoul_Grand_Park,2.9,93.0,26.0,69.0
2024-01-01,Seoul_Grand_Park,,,23.0,25.0
2024-01-01,Seoul_Grand_Park,6.2,100.0,28.0,31.0
2024-01-01,Seoul_Grand_Park,4.5,100.0,36.0,39.0
2024-01-01,Seoul_Grand_Park,6.8,76.0,29.0,32.0
2024-01-01,Seoul_Grand_Park,6.9,100.0,19.0,20.0
2024-01-01,Seoul_Grand_Park,6.9,64.0,16.0,17.0
2024-01-01,Seoul_Grand_Park,,,13.0,14.0
2024-01-01,Seoul_Grand_Park,8.3,100.0,15.0,16.0
2024-01-01,Seoul_Grand_Park,7.8,100.0,13.0,14.0
2024-01-01,Seoul_Grand_Park,6.7,61.0,15.0,16.0
2024-01-01,Seoul_Grand_Park,7.4,98.0,18.0,19.0
2024-01-01,Seoul_Grand_Park,,,12.0,13.0
2024-01-01,Seoul_Grand_Park,6.8,99.0,21.0,22.0
2024-01-01,Seoul_Grand_Park,7.5,100.0,16.0,17.0
2024-01-01,Seoul_Grand_Park,,,14.0,15.0
2024-01-01,Seoul_Grand_Park,6.4,63.0,17.0,18.0
2024-01-01,Seoul_Grand_Park,5.9,100.0,22.0,24.0
2024-01-01,Seoul_Grand_Park,6.7,100.0,17.0,18.0
2024-01-01,Seoul_Grand_Park,,,16.0,17.0
2024-01-01,Seoul_Grand_Park,6.3,64.0,19.0,21.0
2024-01-01,Seoul_Grand_Park,5.8,100.0,25.0,27.0
2024-01-01,Seoul_Grand_Park,6.6,100.0,19.0,20.0
2024-01-01,Seoul_Grand_Park,,,17.0,18.0
2024-01-01,Seoul_Grand_Park,5.9,68.0,20.0,22.0
2024-01-01,Seoul_Grand_Park,4.2,100.0,23.0,25.0
2024-01-01,Seoul_Grand_Park,5.4,100.0,19.0,21.0
2024-01-01,Seoul_Grand_Park,,,17.0,18.0
2024-01-01,Seoul_Grand_Park,3.4,82.0,18.0,19.0
2024-01-01,Seoul_Grand_Park,2.4,100.0,22.0,24.0
2024-01-01,Seoul_Grand_Park,,,17.0,18.0
2024-01-01,Seoul_Grand_Park,3.6,100.0,19.0,20.0
2024-01-01,Seoul_Grand_Park,1.9,89.0,19.0,21.0
2024-01-01,Seoul_Grand_Park,,,17.0,18.0
2024-01-01,Seoul_Grand_Park,2.1,100.0,23.0,25.0
2024-01-01,Seoul_Grand_Park,3.1,100.0,20.0,22.0
2024-01-01,Seoul_Grand_Park,1.8,91.0,20.0,22.0
2024-01-01,Seoul_Grand_Park,2.2,100.0,24.0,26.0
2024-01-01,Seoul_Grand_Park,,,17.0,18.0
2024-01-01,Seoul_Grand_Park,3.1,100.0,18.0,19.0
2024-01-01,Seoul_Grand_Park,2.0,91.0,21.0,23.0
2024-01-01,Seoul_Grand_Park,,,22.0,24.0
2024-01-01,Seoul_Grand_Park,2.2,100.0,26.0,28.0
2024-01-01,Seoul_Grand_Park,3.0,100.0,19.0,20.0
2024-01-01,Seoul_Grand_Park,2.1,90.0,22.0,24.0
2024-01-01,Seoul_Grand_Park,3.0,100.0,24.0,26.0
2024-01-01,Seoul_Grand_Park,,,28.0,30.0
2024-01-01,Seoul_Grand_Park,2.2,100.0,32.0,34.0
2024-01-01,Seoul_Grand_Park,2.2,90.0,28.0,30.0
2024-01-02,Seoul_Grand_Park,2.2,91.0,31.0,34.0
2024-01-02,Seoul_Grand_Park,,,32.0,35.0
2024-01-02,Seoul_Grand_Park,2.1,100.0,36.0,39.0
2024-01-02,Seoul_Grand_Park,3.3,100.0,31.0,33.0
2024-01-02,Seoul_Grand_Park,,,35.0,38.0
2024-01-02,Seoul_Grand_Park,2.0,100.0,40.0,44.0
2024-01-02,Seoul_Grand_Park,2.9,100.0,34.0,37.0
2024-01-02,Seoul_Grand_Park,1.9,94.0,36.0,40.0
2024-01-02,Seoul_Grand_Park,,,41.0,45.0
2024-01-02,Seoul_Grand_Park,1.8,100.0,48.0,52.0
2024-01-02,Seoul_Grand_Park,2.9,100.0,40.0,44.0
2024-01-02,Seoul_Grand_Park,1.9,95.0,42.0,46.0
2024-01-02,Seoul_Grand_Park,2.9,100.0,42.0,46.0
2024-01-02,Seoul_Grand_Park,,,39.0,42.0
2024-01-02,Seoul_Grand_Park,1.5,100.0,49.0,53.0
2024-01-02,Seoul_Grand_Park,1.6,95.0,42.0,46.0
2024-01-02,Seoul_Grand_Park,,,39.0,43.0
2024-01-02,Seoul_Grand_Park,0.9,100.0,45.0,49.0
2024-01-02,Seoul_Grand_Park,2.2,100.0,40.0,44.0
2024-01-02,Seoul_Grand_Park,1.0,95.0,42.0,46.0
2024-01-02,Seoul_Grand_Park,,,27.0,30.0
2024-01-02,Seoul_Grand_Park,1.4,100.0,38.0,41.0
2024-01-02,Seoul_Grand_Park,0.0,100.0,45.0,49.0
2024-01-02,Seoul_Grand_Park,0.4,95.0,39.0,43.0
2024-01-02,Seoul_Grand_Park,1.5,100.0,31.0,33.0
2024-01-02,Seoul_Grand_Park,0.4,100.0,35.0,38.0
2024-01-02,Seoul_Grand_Park,,,28.0,31.0
2024-01-02,Seoul_Grand_Park,0.7,96.0,28.0,30.0
2024-01-02,Seoul_Grand_Park,0.8,100.0,32.0,35.0
2024-01-02,Seoul_Grand_Park,1.8,100.0,28.0,30.0
2024-01-02,Seoul_Grand_Park,,,33.0,36.0
2024-01-02,Seoul_Grand_Park,1.1,95.0,29.0,31.0
2024-01-02,Seoul_Grand_Park,,,37.0,40.0
2024-01-02,Seoul_Grand_Park,1.2,100.0,38.0,41.0
2024-01-02,Seoul_Grand_Park,2.1,100.0,32.0,35.0
2024-01-02,Seoul_Grand_Park,1.3,94.0,35.0,38.0
2024-01-02,Seoul_Grand_Park,3.2,100.0,38.0,42.0
2024-01-02,Seoul_Grand_Park,2.5,100.0,49.0,53.0
2024-01-02,Seoul_Grand_Park,,,37.0,40.0
2024-01-02,Seoul_Grand_Park,2.8,89.0,41.0,45.0
2024-01-02,Seoul_Grand_Park,,,37.0,40.0
2024-01-02,Seoul_Grand_Park,4.0,70.0,39.0,43.0
2024-01-02,Seoul_Grand_Park,3.7,100.0,48.0,53.0
2024-01-02,Seoul_Grand_Park,4.6,100.0,34.0,37.0
2024-01-02,Seoul_Grand_Park,4.1,100.0,38.0,42.0
2024-01-02,Seoul_Grand_Park,4.4,100.0,25.0,27.0
2024-01-02,Seoul_Grand_Park,,,32.0,35.0
2024-01-02,Seoul_Grand_Park,4.7,66.0,33.0,36.0
2024-01-02,Seoul_Grand_Park,4.1,100.0,21.0,22.0
2024-01-02,Seoul_Grand_Park,,,24.0,26.0
2024-01-02,Seoul_Grand_Park,3.6,100.0,29.0,32.0
2024-01-02,Seoul_Grand_Park,4.3,66.0,23.0,25.0
2024-01-02,Seoul_Grand_Park,4.0,100.0,30.0,33.0
2024-01-02,Seoul_Grand_Park,4.5,100.0,23.0,24.0
2024-01-02,Seoul_Grand_Park,,,25.0,27.0
2024-01-02,Seoul_Grand_Park,4.7,64.0,25.0,27.0
2024-01-02,Seoul_Grand_Park,4.3,98.0,22.0,23.0
2024-01-02,Seoul_Grand_Park,,,20.0,21.0
2024-01-02,Seoul_Grand_Park,4.8,100.0,16.0,17.0
2024-01-02,Seoul_Grand_Park,4.6,61.0,19.0,20.0
2024-01-02,Seoul_Grand_Park,4.4,59.0,13.0,14.0
2024-01-02,Seoul_Grand_Park,4.0,94.0,18.0,19.0
2024-01-02,Seoul_Grand_Park,,,13.0,14.0
2024-01-02,Seoul_Grand_Park,4.5,100.0,15.0,16.0
2024-01-02,Seoul_Grand_Park,4.4,100.0,17.0,18.0
2024-01-02,Seoul_Grand_Park,3.7,99.0,22.0,24.0
2024-01-02,Seoul_Grand_Park,,,18.0,19.0
2024-01-02,Seoul_Grand_Park,4.1,62.0,17.0,18.0
2024-01-02,Seoul_Grand_Park,2.2,100.0,18.0,19.0
2024-01-02,Seoul_Grand_Park,2.9,100.0,15.0,16.0
2024-01-02,Seoul_Grand_Park,,,15.0,16.0
2024-01-02,Seoul_Grand_Park,1.8,79.0,13.0,14.0
2024-01-02,Seoul_Grand_Park,0.8,100.0,17.0,18.0
2024-01-02,Seoul_Grand_Park,1.6,100.0,14.0,15.0
2024-01-02,Seoul_Grand_Park,,,15.0,16.0
2024-01-02,Seoul_Grand_Park,0.5,84.0,14.0,15.0
2024-01-02,Seoul_Grand_Park,0.2,100.0,18.0,19.0
2024-01-02,Seoul_Grand_Park,,,14.0,15.0
