ds,자치구,기온,상대습도,초미세먼지,미세먼지
2024-01-01,광진구,2.5,87.0,19.0,28.0
2024-01-01,광진구,-1.2,100.0,21.0,23.0
2024-01-01,광진구,-0.2,100.0,15.0,17.0
2024-01-01,광진구,1.2,90.0,16.0,17.0
2024-01-01,광진구,2.7,87.0,2.0,3.0
2024-01-01,광진구,1.1,100.0,27.0,29.0
2024-01-01,광진구,2.6,100.0,36.0,39.0
2024-01-01,광진구,3.7,81.0,11.0,12.0
2024-01-01,광진구,2.7,82.0,1.0,2.0
2024-01-01,광진구,3.0,86.0,1.0,2.0
2024-01-01,광진구,3.8,82.0,0.0,1000.0
2024-01-01,광진구,2.5,86.0,0.0,1000.0
2024-01-01,광진구,3.2,85.0,8.0,9.0
2024-01-01,광진구,3.6,83.0,24.0,26.0
2024-01-01,광진구,,,11.0,12.0
2024-01-01,광진구,3.9,82.0,2.0,3.0
2024-01-01,광진구,1.8,90.0,2.0,3.0
2024-01-01,광진구,3.2,86.0,1.0,2.0
2024-01-01,광진구,2.2,88.0,39.0,42.0
2024-01-01,광진구,1.5,90.0,26.0,28.0
2024-01-01,광진구,3.7,84.0,9.0,10.0
2024-01-01,광진구,4.1,83.0,2.0,3.0
2024-01-01,광진구,2.8,86.0,1.0,2.0
2024-01-01,광진구,4.6,76.0,7.0,8.0
2024-01-01,광진구,3.7,83.0,0.0,1000.0
2024-01-01,광진구,1.8,87.0,14.0,15.0
2024-01-01,광진구,3.3,85.0,8.0,9.0
2024-01-01,광진구,2.7,87.0,8.0,9.0
2024-01-01,광진구,3.0,85.0,7.0,8.0
2024-01-01,광진구,2.0,88.0,18.0,27.0
2024-01-01,광진구,0.5,90.0,13.0,15.0
2024-01-01,광진구,2.5,87.0,2.0,3.0
2024-01-01,광진구,0.5,100.0,27.0,29.0
2024-01-01,광진구,-1.3,100.0,20.0,22.0
2024-01-01,광진구,2.0,100.0,36.0,39.0
2024-01-01,광진구,-1.0,100.0,13.0,110.0
2024-01-01,광진구,4.5,76.0,8.0,9.0
2024-01-01,광진구,3.0,83.0,11.0,12.0
2024-01-01,광진구,3.3,83.0,23.0,25.0
2024-01-01,광진구,1.3,90.0,26.0,28.0
2024-01-01,광진구,3.3,83.0,1.0,2.0
2024-01-01,광진구,1.7,89.0,13.0,14.0
2024-01-01,광진구,,,9.0,22.0
2024-01-01,광진구,2.8,83.0,0.0,1000.0
2024-01-01,광진구,3.1,84.0,1.0,2.0
2024-01-01,광진구,1.3,89.0,2.0,3.0
2024-01-01,광진구,2.2,87.0,9.0,10.0
2024-01-01,광진구,2.1,83.0,1.0,2.0
2024-01-01,광진구,3.0,86.0,1.0,2.0
2024-01-01,광진구,2.1,87.0,8.0,9.0
2024-01-01,광진구,3.4,83.0,0.0,1000.0
2024-01-01,광진구,3.0,85.0,9.0,10.0
2024-01-01,광진구,1.2,89.0,1.0,2.0
2024-01-01,광진구,2.6,86.0,7.0,11.0
2024-01-01,광진구,2.5,86.0,1.0,2.0
2024-01-01,광진구,1.3,87.0,0.0,1000.0
2024-01-01,광진구,3.1,84.0,9.0,10.0
2024-01-01,광진구,1.1,89.0,12.0,59.0
2024-01-01,광진구,1.0,89.0,18.0,27.0
2024-01-01,광진구,1.9,86.0,12.0,22.0
2024-01-01,광진구,2.0,84.0,0.0,1000.0
2024-01-01,광진구,0.7,90.0,0.0,1000.0
2024-01-01,광진구,1.2,89.0,7.0,191.0
2024-01-01,광진구,2.0,85.0,0.0,1000.0
2024-01-01,광진구,1.9,87.0,9.0,11.0
2024-01-01,광진구,1.1,91.0,13.0,159.0
2024-01-01,광진구,0.8,92.0,2.0,3.0
2024-01-01,광진구,1.8,87.0,1.0,2.0
2024-01-01,광진구,0.3,93.0,17.0,44.0
2024-01-01,광진구,0.8,91.0,2.0,3.0
2024-01-01,광진구,0.3,92.0,13.0,15.0
2024-01-01,광진구,-0.4,100.0,29.0,32.0
2024-01-01,광진구,0.7,100.0,35.0,45.0
2024-01-01,광진구,-1.2,100.0,23.0,24.0
2024-01-01,광진구,-1.0,100.0,12.0,106.0
2024-01-01,광진구,1.7,91.0,7.0,84.0
2024-01-01,광진구,2.2,85.0,23.0,25.0
2024-01-01,광진구,1.8,86.0,0.0,1000.0
2024-01-01,광진구,1.6,89.0,26.0,28.0
2024-01-01,광진구,1.3,87.0,10.0,11.0
2024-01-01,광진구,2.5,84.0,1.0,2.0
2024-01-01,광진구,,,17.0,142.0
2024-01-01,광진구,1.8,89.0,1.0,2.0
2024-01-01,광진구,1.6,85.0,1.0,2.0
2024-01-01,광진구,0.8,93.0,11.0,12.0
2024-01-01,광진구,3.3,79.0,9.0,10.0
2024-01-01,광진구,0.9,92.0,2.0,3.0
2024-01-01,광진구,1.8,88.0,11.0,12.0
2024-01-01,광진구,1.1,91.0,7.0,310.0
2024-01-01,광진구,1.3,90.0,1.0,2.0
2024-01-01,광진구,1.5,89.0,12.0,16.0
2024-01-01,광진구,0.9,91.0,0.0,1000.0
2024-01-01,광진구,1.9,87.0,0.0,1000.0
2024-01-01,광진구,1.2,91.0,13.0,69.0
2024-01-01,광진구,0.9,93.0,2.0,3.0
2024-01-01,광진구,1.6,89.0,10.0,11.0
2024-01-01,광진구,1.2,89.0,1.0,2.0
2024-01-01,광진구,0.5,93.0,19.0,41.0
2024-01-01,광진구,0.9,100.0,43.0,47.0
2024-01-01,광진구,-1.1,100.0,16.0,72.0
2024-01-01,광진구,1.3,92.0,1.0,2.0
2024-01-01,광진구,0.8,92.0,15.0,16.0
2024-01-01,광진구,-0.6,100.0,29.0,31.0
2024-01-01,광진구,-0.6,100.0,16.0,56.0
2024-01-01,광진구,4.6,76.0,10.0,11.0
2024-01-01,광진구,1.1,92.0,2.0,3.0
2024-01-01,광진구,1.5,88.0,24.0,26.0
2024-01-01,광진구,2.1,89.0,12.0,13.0
2024-01-01,광진구,2.1,86.0,22.0,24.0
2024-01-01,광진구,,,20.0,25.0
2024-01-01,광진구,1.6,87.0,11.0,12.0
2024-01-01,광진구,1.7,90.0,16.0,44.0
2024-01-01,광진구,1.5,93.0,15.0,16.0
2024-01-01,광진구,2.5,84.0,1.0,2.0
2024-01-01,광진구,2.1,89.0,2.0,3.0
2024-01-01,광진구,1.4,90.0,0.0,1000.0
2024-01-01,광진구,2.3,89.0,13.0,16.0
2024-01-01,광진구,2.0,85.0,1.0,2.0
2024-01-01,광진구,2.2,86.0,0.0,1000.0
2024-01-01,광진구,1.5,89.0,1.0,2.0
2024-01-01,광진구,1.4,90.0,10.0,11.0
2024-01-01,광진구,2.1,89.0,15.0,16.0
2024-01-01,광진구,1.7,91.0,12.0,66.0
2024-01-01,광진구,2.3,86.0,0.0,1000.0
2024-01-01,광진구,1.6,90.0,1.0,2.0
2024-01-01,광진구,1.5,92.0,3.0,4.0
2024-01-01,광진구,0.7,92.0,18.0,26.0
2024-01-01,광진구,0.5,92.0,14.0,15.0
2024-01-01,광진구,1.3,92.0,2.0,3.0
2024-01-01,광진구,-0.7,100.0,13.0,89.0
2024-01-01,광진구,-0.7,100.0,20.0,22.0
2024-01-01,광진구,0.1,100.0,31.0,34.0
2024-01-01,광진구,1.1,100.0,46.0,50.0
2024-01-01,광진구,2.3,88.0,14.0,15.0
2024-01-01,광진구,2.3,89.0,12.0,19.0
2024-01-01,광진구,2.0,88.0,26.0,28.0
2024-01-01,광진구,4.2,77.0,8.0,9.0
2024-01-01,광진구,,,21.0,24.0
2024-01-01,광진구,2.5,85.0,24.0,26.0
2024-01-01,광진구,1.3,91.0,14.0,55.0
2024-01-01,광진구,2.2,86.0,11.0,12.0
2024-01-01,광진구,2.2,86.0,1.0,2.0
2024-01-01,광진구,2.5,85.0,1.0,2.0
2024-01-01,광진구,2.4,88.0,1.0,2.0
2024-01-01,광진구,2.4,85.0,0.0,1000.0
2024-01-01,광진구,2.0,89.0,1.0,2.0
2024-01-01,광진구,1.2,92.0,13.0,14.0
2024-01-01,광진구,1.2,92.0,2.0,3.0
2024-01-01,광진구,1.6,91.0,9.0,107.0
2024-01-01,광진구,1.7,89.0,2.0,3.0
2024-01-01,광진구,1.5,89.0,0.0,1000.0
2024-01-01,광진구,2.1,86.0,0.0,1000.0
2024-01-01,광진구,1.5,91.0,3.0,4.0
2024-01-01,광진구,2.2,89.0,13.0,14.0
2024-01-01,광진구,1.8,90.0,11.0,12.0
2024-01-01,광진구,0.9,91.0,17.0,25.0
2024-01-01,광진구,0.6,93.0,16.0,17.0
2024-01-01,광진구,0.2,100.0,29.0,31.0
2024-01-01,광진구,1.3,92.0,2.0,3.0
2024-01-01,광진구,-0.1,100.0,24.0,26.0
2024-01-01,광진구,-0.5,100.0,19.0,41.0
2024-01-01,광진구,1.2,100.0,47.0,51.0
2024-01-01,광진구,1.5,91.0,2.0,3.0
2024-01-01,광진구,2.5,87.0,28.0,30.0
2024-01-01,광진구,4.1,76.0,7.0,8.0
2024-01-01,광진구,2.5,84.0,11.0,12.0
2024-01-01,광진구,2.7,84.0,24.0,26.0
2024-01-01,광진구,2.3,88.0,13.0,15.0
2024-01-01,광진구,2.3,85.0,1.0,2.0
2024-01-01,광진구,2.3,84.0,0.0,1000.0
2024-01-01,광진구,,,20.0,23.0
2024-01-01,광진구,2.4,88.0,1.0,2.0
2024-01-01,광진구,1.3,92.0,12.0,13.0
2024-01-01,광진구,1.6,90.0,1.0,2.0
2024-01-01,광진구,1.2,92.0,2.0,3.0
2024-01-01,광진구,2.1,86.0,1.0,2.0
2024-01-01,광진구,1.5,90.0,18.0,23.0
2024-01-01,광진구,2.2,88.0,10.0,11.0
2024-01-01,광진구,2.4,86.0,0.0,1000.0
2024-01-01,광진구,2.3,88.0,16.0,17.0
2024-01-01,광진구,1.4,89.0,0.0,1000.0
2024-01-01,광진구,2.0,88.0,1.0,2.0
2024-01-01,광진구,1.7,90.0,10.0,12.0
2024-01-01,광진구,2.3,89.0,13.0,14.0
2024-01-01,광진구,1.2,89.0,17.0,25.0
2024-01-01,광진구,0.0,100.0,25.0,27.0
2024-01-01,광진구,1.3,91.0,2.0,3.0
2024-01-01,광진구,0.9,93.0,14.0,16.0
2024-01-01,광진구,-0.3,100.0,23.0,25.0
