ds,자치구,기온,상대습도,초미세먼지,미세먼지
2024-01-01,금천구,0.9,88.0,24.0,26.0
2024-01-01,금천구,2.4,84.0,23.0,25.0
2024-01-01,금천구,3.2,83.0,24.0,26.0
2024-01-01,금천구,2.1,86.0,22.0,24.0
2024-01-01,금천구,2.0,90.0,26.0,28.0
2024-01-01,금천구,3.8,83.0,27.0,29.0
2024-01-01,금천구,3.5,83.0,1.0,2.0
2024-01-01,금천구,4.4,78.0,11.0,12.0
2024-01-01,금천구,1.6,87.0,13.0,14.0
2024-01-01,금천구,3.0,81.0,21.0,23.0
2024-01-01,금천구,3.3,84.0,25.0,27.0
2024-01-01,금천구,1.3,91.0,18.0,19.0
2024-01-01,금천구,4.2,76.0,8.0,9.0
2024-01-01,금천구,3.3,83.0,1.0,2.0
2024-01-01,금천구,3.9,81.0,13.0,14.0
2024-01-01,금천구,3.7,78.0,24.0,26.0
2024-01-01,금천구,2.4,100.0,22.0,24.0
2024-01-01,금천구,4.4,79.0,1.0,2.0
2024-01-01,금천구,1.2,88.0,32.0,35.0
2024-01-01,금천구,3.4,82.0,1.0,2.0
2024-01-01,금천구,4.3,77.0,25.0,27.0
2024-01-01,금천구,4.3,77.0,34.0,37.0
2024-01-01,금천구,6.4,71.0,9.0,10.0
2024-01-01,금천구,2.4,83.0,21.0,23.0
2024-01-01,금천구,3.4,83.0,28.0,29.0
2024-01-01,금천구,2.1,85.0,23.0,25.0
2024-01-01,금천구,3.3,84.0,26.0,28.0
2024-01-01,금천구,3.7,78.0,8.0,9.0
2024-01-01,금천구,1.3,87.0,12.0,13.0
2024-01-01,금천구,3.1,84.0,1.0,2.0
2024-01-01,금천구,1.6,90.0,27.0,29.0
2024-01-01,금천구,0.7,88.0,24.0,26.0
2024-01-01,금천구,2.8,84.0,24.0,26.0
2024-01-01,금천구,6.2,72.0,9.0,10.0
2024-01-01,금천구,3.8,79.0,10.0,11.0
2024-01-01,금천구,2.6,85.0,1.0,2.0
2024-01-01,금천구,1.0,91.0,18.0,19.0
2024-01-01,금천구,2.1,100.0,22.0,24.0
2024-01-01,금천구,4.3,76.0,37.0,41.0
2024-01-01,금천구,2.8,83.0,1.0,2.0
2024-01-01,금천구,3.4,82.0,1.0,2.0
2024-01-01,금천구,3.7,79.0,28.0,30.0
2024-01-01,금천구,1.2,88.0,35.0,37.0
2024-01-01,금천구,3.5,78.0,26.0,28.0
2024-01-01,금천구,3.2,82.0,13.0,14.0
2024-01-01,금천구,1.7,87.0,22.0,24.0
2024-01-01,금천구,2.3,82.0,21.0,23.0
2024-01-01,금천구,1.1,87.0,13.0,14.0
2024-01-01,금천구,2.7,83.0,15.0,16.0
2024-01-01,금천구,1.7,85.0,23.0,25.0
2024-01-01,금천구,0.5,92.0,20.0,21.0
2024-01-01,금천구,3.0,84.0,27.0,29.0
2024-01-01,금천구,1.3,91.0,30.0,33.0
2024-01-01,금천구,3.0,83.0,28.0,29.0
