ds,자치구,기온,상대습도,초미세먼지,미세먼지
2024-01-01,도봉구,1.9,100.0,2.0,3.0
2024-01-01,도봉구,1.3,100.0,19.0,20.0
2024-01-01,도봉구,2.1,100.0,19.0,20.0
2024-01-01,도봉구,-1.4,100.0,26.0,28.0
2024-01-01,도봉구,1.5,100.0,10.0,11.0
2024-01-01,도봉구,1.5,100.0,13.0,14.0
2024-01-01,도봉구,0.2,100.0,13.0,14.0
2024-01-01,도봉구,-40.0,94.0,2.0,3.0
2024-01-01,도봉구,-4.7,100.0,10.0,11.0
2024-01-01,도봉구,1.1,93.0,12.0,13.0
2024-01-01,도봉구,1.9,86.0,17.0,18.0
2024-01-01,도봉구,0.4,100.0,14.0,15.0
2024-01-01,도봉구,-0.2,100.0,9.0,10.0
2024-01-01,도봉구,-5.4,100.0,20.0,22.0
2024-01-01,도봉구,0.5,85.0,16.0,17.0
2024-01-01,도봉구,2.6,100.0,9.0,10.0
2024-01-01,도봉구,-40.0,100.0,15.0,16.0
2024-01-01,도봉구,0.6,84.0,1.0,2.0
2024-01-01,도봉구,0.5,87.0,8.0,9.0
2024-01-01,도봉구,2.3,84.0,4.0,5.0
2024-01-01,도봉구,3.1,81.0,12.0,13.0
2024-01-01,도봉구,1.0,86.0,10.0,11.0
2024-01-01,도봉구,2.7,84.0,10.0,11.0
2024-01-01,도봉구,1.2,84.0,3.0,4.0
2024-01-01,도봉구,2.0,85.0,6.0,6.0
2024-01-01,도봉구,3.5,80.0,4.0,5.0
2024-01-01,도봉구,3.1,83.0,15.0,16.0
2024-01-01,도봉구,3.0,84.0,1.0,2.0
2024-01-01,도봉구,0.6,86.0,1.0,2.0
2024-01-01,도봉구,-0.3,91.0,5.0,6.0
2024-01-01,도봉구,-0.4,89.0,13.0,14.0
2024-01-01,도봉구,2.8,84.0,1.0,2.0
2024-01-01,도봉구,4.0,80.0,5.0,6.0
2024-01-01,도봉구,2.8,84.0,5.0,6.0
2024-01-01,도봉구,2.5,84.0,8.0,9.0
2024-01-01,도봉구,2.9,85.0,1.0,2.0
2024-01-01,도봉구,1.2,88.0,6.0,7.0
2024-01-01,도봉구,2.1,86.0,12.0,13.0
