ds,자치구,기온,상대습도,초미세먼지,미세먼지
2024-01-01,동대문구,3.8,79.0,13.0,14.0
2024-01-01,동대문구,3.2,83.0,9.0,10.0
2024-01-01,동대문구,1.9,89.0,15.0,16.0
2024-01-01,동대문구,2.9,87.0,12.0,13.0
2024-01-01,동대문구,3.6,85.0,72.0,78.0
2024-01-01,동대문구,2.6,87.0,23.0,25.0
2024-01-01,동대문구,4.1,79.0,18.0,19.0
2024-01-01,동대문구,2.4,88.0,12.0,13.0
2024-01-01,동대문구,3.8,81.0,16.0,17.0
2024-01-01,동대문구,3.2,84.0,23.0,25.0
2024-01-01,동대문구,2.0,90.0,16.0,17.0
2024-01-01,동대문구,2.8,84.0,1.0,2.0
2024-01-01,동대문구,3.2,84.0,14.0,15.0
2024-01-01,동대문구,3.8,83.0,12.0,13.0
2024-01-01,동대문구,3.3,83.0,19.0,20.0
2024-01-01,동대문구,1.6,92.0,28.0,30.0
2024-01-01,동대문구,2.4,88.0,0.0,1000.0
2024-01-01,동대문구,2.6,88.0,15.0,16.0
2024-01-01,동대문구,3.7,85.0,1.0,2.0
2024-01-01,동대문구,2.8,85.0,22.0,24.0
2024-01-01,동대문구,,,2.0,3.0
2024-01-01,동대문구,0.1,89.0,28.0,30.0
2024-01-01,동대문구,-0.4,100.0,24.0,26.0
2024-01-01,동대문구,2.9,87.0,13.0,14.0
2024-01-01,동대문구,2.5,100.0,49.0,53.0
2024-01-01,동대문구,2.9,83.0,9.0,10.0
2024-01-01,동대문구,3.0,86.0,2.0,3.0
2024-01-01,동대문구,2.4,87.0,22.0,24.0
2024-01-01,동대문구,2.7,86.0,11.0,12.0
2024-01-01,동대문구,2.1,88.0,12.0,13.0
2024-01-01,동대문구,3.4,81.0,18.0,19.0
2024-01-01,동대문구,1.7,89.0,0.0,1000.0
2024-01-01,동대문구,2.2,84.0,1.0,2.0
2024-01-01,동대문구,3.2,80.0,12.0,13.0
2024-01-01,동대문구,3.3,82.0,15.0,16.0
2024-01-01,동대문구,2.6,85.0,22.0,24.0
2024-01-01,동대문구,3.0,86.0,15.0,16.0
2024-01-01,동대문구,1.5,90.0,15.0,16.0
2024-01-01,동대문구,0.1,89.0,27.0,29.0
2024-01-01,동대문구,2.6,88.0,14.0,15.0
2024-01-01,동대문구,2.2,86.0,23.0,25.0
2024-01-01,동대문구,2.9,84.0,14.0,15.0
2024-01-01,동대문구,2.5,85.0,17.0,18.0
2024-01-01,동대문구,2.1,88.0,12.0,13.0
2024-01-01,동대문구,1.0,93.0,27.0,29.0
2024-01-01,동대문구,3.1,84.0,10.0,11.0
2024-01-01,동대문구,-0.5,100.0,20.0,22.0
2024-01-01,동대문구,1.7,90.0,14.0,15.0
2024-01-01,동대문구,,,1.0,2.0
2024-01-01,동대문구,1.9,100.0,43.0,47.0
2024-01-01,동대문구,1.7,87.0,14.0,15.0
2024-01-01,동대문구,1.2,89.0,0.0,1000.0
2024-01-01,동대문구,1.2,90.0,17.0,18.0
2024-01-01,동대문구,1.8,88.0,19.0,21.0
2024-01-01,동대문구,2.5,82.0,11.0,12.0
2024-01-01,동대문구,2.6,83.0,17.0,18.0
2024-01-01,동대문구,1.7,88.0,12.0,13.0
2024-01-01,동대문구,1.7,88.0,12.0,13.0
2024-01-01,동대문구,1.4,90.0,16.0,17.0
2024-01-01,동대문구,0.5,93.0,28.0,30.0
2024-01-01,동대문구,2.8,82.0,18.0,19.0
2024-01-01,동대문구,2.3,85.0,28.0,31.0
2024-01-01,동대문구,2.6,84.0,13.0,14.0
2024-01-01,동대문구,2.5,84.0,10.0,11.0
2024-01-01,동대문구,2.5,87.0,15.0,16.0
2024-01-01,동대문구,2.2,84.0,1.0,2.0
2024-01-01,동대문구,1.9,86.0,30.0,33.0
2024-01-01,동대문구,1.4,90.0,11.0,12.0
2024-01-01,동대문구,2.8,86.0,2.0,3.0
2024-01-01,동대문구,2.1,85.0,20.0,22.0
2024-01-01,동대문구,,,1.0,2.0
2024-01-01,동대문구,2.1,88.0,15.0,16.0
2024-01-01,동대문구,-0.8,100.0,17.0,18.0
2024-01-01,동대문구,-0.4,89.0,25.0,27.0
2024-01-01,동대문구,1.1,100.0,46.0,51.0
2024-01-01,동대문구,2.8,82.0,23.0,25.0
2024-01-01,동대문구,1.3,85.0,1.0,2.0
2024-01-01,동대문구,-0.3,89.0,29.0,32.0
2024-01-01,동대문구,1.3,90.0,19.0,20.0
2024-01-01,동대문구,2.0,86.0,34.0,37.0
2024-01-01,동대문구,2.2,86.0,13.0,14.0
2024-01-01,동대문구,1.5,87.0,12.0,13.0
2024-01-01,동대문구,2.3,82.0,12.0,13.0
2024-01-01,동대문구,0.8,90.0,0.0,1000.0
2024-01-01,동대문구,1.8,89.0,16.0,17.0
2024-01-01,동대문구,1.8,88.0,25.0,27.0
2024-01-01,동대문구,1.6,90.0,17.0,18.0
2024-01-01,동대문구,0.7,90.0,12.0,13.0
2024-01-01,동대문구,1.8,88.0,33.0,35.0
2024-01-01,동대문구,1.1,93.0,33.0,36.0
2024-01-01,동대문구,1.5,89.0,13.0,16.0
2024-01-01,동대문구,2.4,88.0,20.0,22.0
2024-01-01,동대문구,,,2.0,3.0
2024-01-01,동대문구,1.8,88.0,24.0,39.0
2024-01-01,동대문구,2.1,86.0,18.0,20.0
2024-01-01,동대문구,1.7,90.0,18.0,20.0
2024-01-01,동대문구,2.7,82.0,17.0,18.0
2024-01-01,동대문구,-0.7,100.0,28.0,30.0
2024-01-01,동대문구,2.5,88.0,1.0,2.0
2024-01-01,동대문구,1.0,100.0,50.0,54.0
2024-01-01,동대문구,1.1,89.0,14.0,15.0
2024-01-01,동대문구,1.8,87.0,27.0,29.0
2024-01-01,동대문구,2.4,84.0,19.0,20.0
2024-01-01,동대문구,1.9,87.0,30.0,32.0
2024-01-01,동대문구,1.9,88.0,24.0,26.0
2024-01-01,동대문구,1.9,88.0,15.0,16.0
2024-01-01,동대문구,2.3,85.0,12.0,13.0
2024-01-01,동대문구,2.6,87.0,1.0,2.0
2024-01-01,동대문구,0.6,91.0,0.0,1000.0
2024-01-01,동대문구,2.1,82.0,13.0,14.0
2024-01-01,동대문구,2.2,85.0,22.0,24.0
2024-01-01,동대문구,2.0,86.0,22.0,24.0
2024-01-01,동대문구,2.3,86.0,20.0,21.0
2024-01-01,동대문구,1.3,90.0,17.0,18.0
2024-01-01,동대문구,0.9,91.0,14.0,15.0
2024-01-01,동대문구,1.1,86.0,1.0,2.0
2024-01-01,동대문구,1.3,92.0,31.0,34.0
2024-01-01,동대문구,0.2,89.0,30.0,33.0
2024-01-01,동대문구,2.1,88.0,15.0,16.0
2024-01-01,동대문구,2.4,88.0,22.0,24.0
2024-01-01,동대문구,,,2.0,3.0
2024-01-01,동대문구,-1.5,100.0,23.0,25.0
2024-01-01,동대문구,1.7,89.0,17.0,18.0
2024-01-01,동대문구,2.2,89.0,19.0,20.0
2024-01-01,동대문구,1.3,100.0,41.0,46.0
