측정일,지역,지역 상세,도로명,평균 농도
2022-01-04,경기,이천시,구만리로,768
2022-01-04,경기,이천시,이섭대천로,217
2022-01-04,경기,이천시,증신로,314
2022-01-14,경기,김포시,중구로,324
2022-01-14,경기,김포시,중구로,324
2022-01-18,충남,아산시,온천대로,313
2022-01-18,경기,오산시,경기대로,269
2022-01-18,충남,예산군,아리랑로,381
2022-01-18,경기,수원시 영통구,영통로,631
2022-01-21,경기,시흥시,시화벤처로,402
2022-01-21,경기,양주시,고읍남로,401
2022-01-21,경기,시흥시,계수로,234
2022-01-21,경기,의정부시,천보로,211
2022-01-26,경기,광주시,경안로,246
2022-01-26,경기,광주시,광여로,598
2022-01-27,경기,포천시,태봉로,284
2022-01-27,경기,포천시,중앙로,582
2022-01-27,경기,동두천시,상패로,313
2022-01-27,경기,동두천시,삼육사로,222
2022-01-27,경기,동두천시,이담로,525
2022-02-03,충북,음성군,원중로,405
2022-02-03,충북,충주시,계명대로,266
2022-02-04,충북,제천시,의림대로,1177
2022-02-04,충북,단양군,여천덕천로,5031
2022-02-09,경기,고양시 덕양구,은빛로,214
2022-02-09,서울,마포구,연남로,213
2022-02-09,경기,김포시,중구로,308
2022-02-09,인천,강화군,강화대로,451
2022-02-10,경기,이천시,구만리로,220
2022-02-10,경기,안성시,장기로,263
2022-02-11,경기,파주시,방촌로,395
2022-02-11,경기,파주시,개포래로,205
2022-02-11,경기,파주시,문산역로,429
2022-02-11,경기,파주시,평화로,305
2022-02-15,경기,구리시,건원대로,234
2022-02-15,경기,구리시,검배로,232
2022-02-15,경기,구리시,벌말로,208
2022-02-15,경기,남양주시,늘을3로,445
2022-02-15,경기,의정부시,경의로,318
2022-02-16,서울,강서구,마곡중앙로,384
2022-02-17,충남,홍성군,충남대로,323
2022-02-18,충남,태안군,후곡로,445
2022-02-18,충남,태안군,중앙로,213
2022-02-21,충북,단양군,여천덕천로,289
2022-02-21,충북,충주시,계명대로,464
2022-02-22,충북,제천시,의림대로,2008
2022-02-22,충북,음성군,원중로,583
2022-02-23,충남,아산시,용연로,619
2022-02-23,충남,아산시,새아산로,615
2022-02-23,충남,아산시,연화로,349
2022-02-23,충남,아산시,온천대로,290
2022-02-23,충남,아산시,문화로,220
2022-03-02,경기,화성시,여울로,303
2022-03-02,경기,화성시,동화길,323
2022-03-02,경기,화성시,최루백로,303
