"측정일자","측정시간","지역","지역명","도로명","시작점","종점","기온","습도","재비산먼지 평균농도","오염범례"
"2022-12-01","10:38","서울","금천구","독산로(남→북)","서울특별시 금천구 시흥동 1000-92도","서울특별시 금천구 독산동 996도","-3","30","25","매우좋음"
"2022-12-01","15:59","서울","금천구","시흥대로(북→남)","서울특별시 관악구 신림동 1674-6도","서울특별시 금천구 시흥동 1001-42도","-1","43","102","보통"
"2022-12-01","13:00","서울","송파구","충민로(동→서)","서울특별시 송파구 장지동 839-7 도","서울특별시 송파구 문정동 305-24 도","-2","36","22","매우좋음"
"2022-12-01","13:08","서울","송파구","새말로(서→동)","서울특별시 송파구 문정동 446-4 천","서울특별시 송파구 문정동 114-2도","-2","39","13","매우좋음"
"2022-12-01","13:14","서울","송파구","송이로(남→북)","서울특별시 송파구 장지동 839-7 도","서울특별시 송파구 송파동 152-1도","-1","38","20","매우좋음"
"2022-12-01","13:36","서울","송파구","마천로(서→동)","서울특별시 송파구 방이동 209-7도","서울특별시 송파구 거여동 575전","-1","38","43","매우좋음"
"2022-12-01","13:56","서울","송파구","오금로(동→서)","서울특별시 송파구 거여동 산63-2 구","서울특별시 송파구 신천동 15도","-1","39","38","매우좋음"
"2022-12-01","14:26","서울","송파구","석촌호수로(서→동)","서울특별시 송파구 잠실동 18-1도","서울특별시 송파구 송파동 62도","-1","38","14","매우좋음"
"2022-12-01","14:52","서울","송파구","올림픽로35길(서→동)","서울특별시 송파구 신천동 3도","서울특별시 송파구 신천동 26도","-1","39","36","매우좋음"
"2022-12-01","15:15","서울","송파구","위례성대로(서→동)","서울특별시 송파구 신천동 26도","서울특별시 송파구 방이동 452-17 도","-1","40","56","좋음"
"2022-12-01","15:27","서울","송파구","문정로(북→남)","서울특별시 송파구 마천동 산21-1 도","서울특별시 송파구 문정동 119-4 도","-1","41","20","매우좋음"
