지역명,도로명,차선,도로등급,도로유형,최고속도,링크연장,업데이트
마포구,대흥로,2,104,0,30,217.335418221667,20230519
마포구,선유로,4,103,3,60,574.569588543501,20230519
양천구,목동중앙로,2,104,0,30,232.876077646848,20230519
용산구,서빙고로51길,2,104,0,30,170.185071367953,20230519
용산구,녹사평대로,3,104,0,50,249.361644601688,20230519
성동구,마조로,1,104,0,60,178.498305356089,20230519
서초구,동작대로,1,104,0,30,53.553679474976,20230519
양천구,노들로,1,103,0,60,105.636043127273,20230519
강북구,SK북한산시티아파트내부길,1,104,0,10,360.393501991738,20230519
강남구,선릉로129길,1,104,0,30,144.926593138631,20230519
송파구,오금로,3,104,3,50,255.501293111538,20230519
노원구,광운로2나길,1,104,0,10,457.130316607956,20230519
영등포구,의사당대로,4,104,0,60,21.391622035305,20230519
성북구,선잠로,1,104,0,30,140.053415659508,20230519
강남구,헌릉로569길,1,104,0,40,170.915308453353,20230519
서대문구,연희맛로,1,104,0,30,250.459996595941,20230519
서초구,양재대로,4,103,0,60,88.654782225926,20230519
강서구,등촌로,3,104,0,50,79.57397741747,20230519
양천구,목동중앙북로,1,104,0,30,292.133640667845,20230519
도봉구,노해로63길,1,104,0,30,32.230087774992,20230519
성동구,강변북로,1,102,0,40,70.263146357102,20230519
강서구,개화동로,1,104,0,30,168.472352963075,20230519
동대문구,약령시로,1,104,0,30,527.166187411486,20230519
송파구,오금로,3,104,0,60,404.750320005737,20230519
송파구,양재대로,4,104,0,50,269.084732186115,20230519
서초구,강남순환도시고속도로,3,102,4,80,2719.60540038419,20230519
성동구,마조로1길,1,104,0,10,160.212929522475,20230519
강남구,개포로,2,104,0,30,268.835893013762,20230519
동대문구,천호대로,4,107,0,50,153.661748995769,20230519
성동구,성수일로,1,104,0,40,419.364657241045,20230519
강동구,상일로,3,104,0,50,217.344984050688,20230519
강동구,올림픽로91길,1,104,0,10,346.995447945648,20230519
강북구,오현로31길,1,104,0,30,213.154381654137,20230519
도봉구,도봉로146길,1,104,0,50,160.263981992399,20230519
은평구,서오릉로,2,104,0,50,207.748657132897,20230519
노원구,노원로26가길,1,104,0,30,152.640301789656,20230519
도봉구,도봉로,3,104,0,50,344.670511736578,20230519
송파구,감일남로,3,107,0,50,240.418443495783,20230519
강남구,압구정로11길,1,104,0,10,125.479331626211,20230519
영등포구,양평로30길.인접길,1,104,0,30,87.751333535838,20230519
강남구,헌릉로,5,104,0,60,104.492683076323,20230519
서초구,서운로,2,104,0,30,101.191790480146,20230519
동대문구,왕산로,1,103,0,60,71.574579420984,20230519
중랑구,동일로129길,1,104,0,30,150.43109226158,20230519
구로구,남부순환로,2,104,0,30,58.129865461116,20230519
금천구,벚꽃로18길,1,104,0,30,197.293399158767,20230519
노원구,광운로,2,104,0,30,36.47927499543,20230519
강남구,헌릉로569길,1,104,0,30,202.352380453882,20230519
구로구,서해안로,3,104,0,50,599.169195702849,20230519
중구,난계로,2,104,0,50,73.955805057233,20230519
강남구,삼성로4길,1,104,0,30,311.443164978322,20230519
양천구,신정이펜1로,2,104,0,50,90.611333588938,20230519
중랑구,면목로,2,104,0,50,199.360834444818,20230519
강남구,개포로,2,104,0,30,626.897567993942,20230519
서초구,강남순환도시고속도로,1,102,0,30,447.981990785509,20230519
영등포구,올림픽대로,2,102,0,40,208.36520014157,20230519
서초구,반포대로,2,104,0,50,278.781058483586,20230519
노원구,동일로191길,1,104,0,40,81.341833078502,20230519
강남구,남부순환로,4,104,0,60,302.892624990303,20230519
도봉구,노해로,2,104,0,30,225.043649998478,20230519
영등포구,영신로,1,104,0,50,170.466862590151,20230519
서초구,양재대로12길,2,104,2,50,480.721634074481,20230519
노원구,동일로228길,1,104,0,30,72.106890456447,20230519
서초구,서초중앙로,3,104,0,50,271.09516134685,20230519
서초구,올림픽대로,2,102,0,40,111.787693176375,20230519
마포구,매봉산로,2,104,0,40,98.442244309954,20230519
구로구,가마산로,3,104,0,50,538.327787207757,20230519
강북구,월계로37길,1,104,0,30,89.918332529284,20230519
용산구,한남대로21길,1,104,0,30,109.901533966434,20230519
용산구,회나무로,2,104,0,50,31.690521179357,20230519
성동구,동호로,2,104,4,50,185.301226423833,20230519
