지역명,도로명,차선,최고속도
마포구,대흥로,2,30
마포구,선유로,4,60
양천구,목동중앙로,2,30
용산구,서빙고로51길,2,30
용산구,녹사평대로,3,50
성동구,마조로,1,60
서초구,동작대로,1,30
양천구,노들로,1,60
강북구,SK북한산시티아파트내부길,1,10
강남구,선릉로129길,1,30
송파구,오금로,3,50
노원구,광운로2나길,1,10
영등포구,의사당대로,4,60
성북구,선잠로,1,30
강남구,헌릉로569길,1,40
서대문구,연희맛로,1,30
서초구,양재대로,4,60
강서구,등촌로,3,50
양천구,목동중앙북로,1,30
도봉구,노해로63길,1,30
성동구,강변북로,1,40
강서구,개화동로,1,30
동대문구,약령시로,1,30
송파구,오금로,3,60
송파구,양재대로,4,50
서초구,강남순환도시고속도로,3,80
성동구,마조로1길,1,10
강남구,개포로,2,30
동대문구,천호대로,4,50
성동구,성수일로,1,40
강동구,상일로,3,50
강동구,올림픽로91길,1,10
강북구,오현로31길,1,30
도봉구,도봉로146길,1,50
은평구,서오릉로,2,50
노원구,노원로26가길,1,30
도봉구,도봉로,3,50
송파구,감일남로,3,50
강남구,압구정로11길,1,10
영등포구,양평로30길.인접길,1,30
강남구,헌릉로,5,60
서초구,서운로,2,30
동대문구,왕산로,1,60
중랑구,동일로129길,1,30
구로구,남부순환로,2,30
금천구,벚꽃로18길,1,30
노원구,광운로,2,30
강남구,헌릉로569길,1,30
구로구,서해안로,3,50
중구,난계로,2,50
강남구,삼성로4길,1,30
양천구,신정이펜1로,2,50
중랑구,면목로,2,50
강남구,개포로,2,30
서초구,강남순환도시고속도로,1,30
영등포구,올림픽대로,2,40
서초구,반포대로,2,50
노원구,동일로191길,1,40
강남구,남부순환로,4,60
도봉구,노해로,2,30
영등포구,영신로,1,50
서초구,양재대로12길,2,50
노원구,동일로228길,1,30
서초구,서초중앙로,3,50
서초구,올림픽대로,2,40
마포구,매봉산로,2,40
구로구,가마산로,3,50
강북구,월계로37길,1,30
용산구,한남대로21길,1,30
용산구,회나무로,2,50
성동구,동호로,2,50
서초구,서운로,2,30
동대문구,답십리로,3,60
강북구,삼양로77가길,1,30
종로구,사직로,1,30
