,hour,SO2,CO,O3,NO2,PM10,PM25,지역,지역명,year,month,day,도로명,시작점,종점,기온,습도,재비산먼지 평균농도,오염범례,minute,기준치초과 유무
0,13,0.003,0.67,0.0238,0.0369,64.0,45.0,서울,광진구,2023,12,27,광나루로,서울특별시 광진구 구의동 562천,서울특별시 광진구 군자동 355-9 도,6.0,89.0,3.0,5.0,21.0,0.0
1,13,0.003,0.67,0.0238,0.0369,64.0,45.0,서울,광진구,2023,12,27,천호대로,서울특별시 광진구 중곡동 680-16제,서울특별시 광진구 광장동 557-1천,6.0,91.0,3.0,5.0,0.0,0.0
2,12,0.0027,0.75,0.0134,0.0439,57.0,43.0,서울,광진구,2023,12,27,자양로,서울특별시 광진구 자양동 753-2도,서울특별시 광진구 구의동 84-2도,5.0,94.0,3.0,5.0,39.0,0.0
3,12,0.0027,0.75,0.0134,0.0439,57.0,43.0,서울,광진구,2023,12,27,구의강변로,서울특별시 광진구 구의동 200-10 도,서울특별시 광진구 구의동 625-4도,4.0,97.0,7.0,5.0,33.0,0.0
4,11,0.0028,0.8,0.0084,0.0456,67.0,44.0,서울,광진구,2023,12,27,뚝섬로,서울특별시 광진구 자양동 203-22 도,서울특별시 광진구 구의동 607 도,4.0,97.0,7.0,5.0,58.0,0.0
5,11,0.0028,0.8,0.0084,0.0456,67.0,44.0,서울,광진구,2023,12,27,동일로,서울특별시 광진구 중곡동 587-1도,서울특별시 광진구 중곡동 263-1 도,5.0,96.0,7.0,5.0,37.0,0.0
6,11,0.0028,0.8,0.0084,0.0456,67.0,44.0,서울,광진구,2023,12,27,긴고랑로,서울특별시 광진구 중곡동 263-1 도,서울특별시 광진구 중곡동 143-146 공,3.0,100.0,8.0,5.0,22.0,0.0
7,11,0.0028,0.8,0.0084,0.0456,67.0,44.0,서울,광진구,2023,12,27,용마산로,서울특별시 광진구 중곡동 606-1 도,서울특별시 광진구 중곡동 272-14 도,3.0,100.0,8.0,5.0,10.0,0.0
8,10,0.0031,0.98,0.004,0.0559,57.0,42.0,서울,광진구,2023,12,27,능동로,서울특별시 광진구 자양동 71-2제,서울특별시 광진구 중곡동 298-1 도,3.0,100.0,4.0,5.0,58.0,0.0
9,10,0.0031,0.98,0.004,0.0559,57.0,42.0,서울,광진구,2023,12,27,아차산로,서울특별시 광진구 광장동 2-6임,서울특별시 광진구 자양동 23-11구,2.0,100.0,5.0,5.0,41.0,0.0
10,14,0.0025333333333333,0.5966666666666667,0.0057333333333333,0.0441,26.666666666666668,16.333333333333332,서울,영등포구,2023,12,19,도영로,서울특별시 영등포구 영등포동 647-5도,서울특별시 영등포구 대림동 623-2 제,-1.0,69.0,12.0,5.0,34.0,0.0
11,14,0.0026,0.72,0.0049,0.0512,43.0,23.0,서울,영등포구,2023,12,19,도영로,서울특별시 영등포구 영등포동 647-5도,서울특별시 영등포구 대림동 623-2 제,-1.0,69.0,12.0,5.0,34.0,0.0
12,14,0.0025333333333333,0.5966666666666667,0.0057333333333333,0.0441,26.666666666666668,16.333333333333332,서울,영등포구,2023,12,19,영중로,서울특별시 영등포구 영등포동8가 86-3 도,서울특별시 영등포구 영등포동4가 440-10도,0.0,58.0,10.0,5.0,16.0,0.0
13,14,0.0026,0.72,0.0049,0.0512,43.0,23.0,서울,영등포구,2023,12,19,영중로,서울특별시 영등포구 영등포동8가 86-3 도,서울특별시 영등포구 영등포동4가 440-10도,0.0,58.0,10.0,5.0,16.0,0.0
14,14,0.0025333333333333,0.5966666666666667,0.0057333333333333,0.0441,26.666666666666668,16.333333333333332,서울,영등포구,2023,12,19,버드나루로,서울특별시 영등포구 영등포동2가 174-1도,서울특별시 영등포구 영등포동8가 88-1 도,0.0,56.0,10.0,5.0,10.0,0.0
15,14,0.0026,0.72,0.0049,0.0512,43.0,23.0,서울,영등포구,2023,12,19,버드나루로,서울특별시 영등포구 영등포동2가 174-1도,서울특별시 영등포구 영등포동8가 88-1 도,0.0,56.0,10.0,5.0,10.0,0.0
16,13,0.0024666666666666,0.5933333333333333,0.0069666666666666,0.0414,26.33333333333333,18.666666666666668,서울,영등포구,2023,12,19,경인로,서울특별시 영등포구 문래동2가 68 천,서울특별시 영등포구 여의도동 3-9도,0.0,53.0,10.0,5.0,51.0,0.0
17,13,0.0025,0.68,0.0058,0.0438,41.0,24.0,서울,영등포구,2023,12,19,경인로,서울특별시 영등포구 문래동2가 68 천,서울특별시 영등포구 여의도동 3-9도,0.0,53.0,10.0,5.0,51.0,0.0
18,13,0.0024666666666666,0.5933333333333333,0.0069666666666666,0.0414,26.33333333333333,18.666666666666668,서울,영등포구,2023,12,19,문래로,서울특별시 영등포구 영등포동4가 53-3도,서울특별시 영등포구 문래동6가 45-2도,0.0,51.0,27.0,5.0,35.0,0.0
19,13,0.0025,0.68,0.0058,0.0438,41.0,24.0,서울,영등포구,2023,12,19,문래로,서울특별시 영등포구 영등포동4가 53-3도,서울특별시 영등포구 문래동6가 45-2도,0.0,51.0,27.0,5.0,35.0,0.0
20,12,0.0032,0.69,0.0077,0.0424,38.0,17.0,서울,용산구,2023,12,19,원효로,서울특별시 용산구 원효로1가 109-1도,서울특별시 용산구 청암동 110 도,0.0,41.0,23.0,5.0,32.0,0.0
21,12,0.0024,0.55,0.0106,0.0409,31.0,17.0,서울,용산구,2023,12,19,원효로,서울특별시 용산구 원효로1가 109-1도,서울특별시 용산구 청암동 110 도,0.0,41.0,23.0,5.0,32.0,0.0
22,12,0.0032,0.69,0.0077,0.0424,38.0,17.0,서울,용산구,2023,12,19,백범로,서울특별시 용산구 효창동 5-654도,서울특별시 용산구 한강로1가 97도,-1.0,42.0,51.0,4.0,4.0,0.0
23,12,0.0024,0.55,0.0106,0.0409,31.0,17.0,서울,용산구,2023,12,19,백범로,서울특별시 용산구 효창동 5-654도,서울특별시 용산구 한강로1가 97도,-1.0,42.0,51.0,4.0,4.0,0.0
